#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 1	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 -0.78	 0.25	 0.60	 1	 1	 1	 0	 1499	 1498	 1500	 1007	 0.00	 0.00	 0.00
600	 -1.01	 -0.07	 0.88	 1	 1	 1	 0	 1500	 1497	 1500	 1011	 0.00	 0.00	 0.00
700	 -1.02	 -0.19	 0.95	 1	 1	 1	 0	 1500	 1497	 1500	 1014	 0.00	 0.00	 0.00
800	 -0.91	 -0.60	 0.76	 1	 1	 1	 0	 1501	 1498	 1500	 1014	 0.00	 0.00	 0.00
900	 -0.69	 -0.51	 -0.05	 1	 1	 1	 0	 1501	 1498	 1500	 1005	 0.00	 0.00	 0.00
1000	 -0.59	 -0.46	 0.24	 1	 1	 1	 0	 1500	 1498	 1500	 1009	 0.00	 0.00	 0.00
1100	 -0.88	 -0.47	 0.74	 1	 1	 1	 0	 1500	 1498	 1500	 1015	 0.00	 0.00	 0.00
1200	 -0.73	 -0.39	 0.78	 1	 1	 1	 0	 1500	 1498	 1500	 1017	 0.00	 0.00	 0.00
1300	 0.66	 -0.62	 0.06	 1	 1	 1	 0	 1501	 1501	 1500	 1010	 0.00	 0.00	 0.00
1400	 0.13	 -0.53	 0.47	 1	 1	 1	 0	 1501	 1500	 1500	 1015	 0.00	 0.00	 0.00
1500	 -0.19	 -0.65	 -0.24	 1	 1	 1	 0	 1501	 1499	 1500	 1007	 0.00	 0.00	 0.00
1600	 -0.34	 -0.23	 -0.15	 1	 1	 1	 0	 1500	 1499	 1500	 1008	 0.00	 0.00	 0.00
1700	 -0.37	 -0.21	 0.42	 1	 1	 1	 0	 1500	 1499	 1500	 1015	 0.00	 0.00	 0.00
1800	 -0.38	 -0.26	 0.45	 1	 1	 1	 0	 1500	 1499	 1500	 1016	 0.00	 0.00	 0.00
1900	 -0.34	 -0.55	 0.02	 1	 1	 1	 0	 1501	 1499	 1500	 1012	 0.00	 0.00	 0.00
2000	 -0.33	 -0.55	 0.17	 1	 1	 1	 0	 1501	 1499	 1500	 1013	 0.00	 0.00	 0.00
2100	 -0.39	 -0.49	 0.29	 1	 1	 1	 0	 1500	 1499	 1500	 1015	 0.00	 0.00	 0.00
2200	 -0.39	 -0.71	 0.27	 1	 1	 1	 0	 1501	 1499	 1500	 1016	 0.00	 0.00	 0.00
2300	 -0.15	 -0.67	 0.62	 1	 1	 1	 0	 1501	 1499	 1500	 1020	 0.00	 0.00	 0.00
2400	 -0.29	 -0.29	 0.09	 1	 1	 1	 0	 1500	 1499	 1500	 1015	 0.00	 0.00	 0.00
2500	 -0.33	 -0.55	 0.10	 1	 1	 1	 0	 1501	 1499	 1500	 1015	 0.00	 0.00	 0.00
