#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 4.64	 -66.75	 160.11	 12.00	 20.00	 12.00
300	 4.65	 -66.74	 160.09	 12.00	 22.00	 12.00
400	 4.65	 -66.74	 160.09	 12.00	 22.00	 12.00
500	 4.69	 -66.57	 159.61	 13.00	 21.00	 12.00
600	 4.70	 -66.56	 159.60	 10.00	 18.00	 12.00
700	 4.70	 -66.56	 159.60	 10.00	 18.00	 12.00
800	 4.74	 -66.42	 159.09	 13.00	 22.00	 12.00
900	 4.73	 -66.41	 159.07	 12.00	 22.00	 11.00
1000	 4.73	 -66.41	 159.07	 12.00	 22.00	 11.00
1100	 4.76	 -66.30	 158.57	 11.00	 19.00	 12.00
1200	 4.76	 -66.30	 158.54	 12.00	 21.00	 11.00
1300	 4.76	 -66.30	 158.54	 12.00	 21.00	 11.00
1400	 4.78	 -66.20	 158.02	 12.00	 21.00	 11.00
1500	 4.79	 -66.20	 158.00	 12.00	 19.00	 11.00
1600	 4.79	 -66.20	 158.00	 12.00	 19.00	 11.00
1700	 4.80	 -66.12	 157.49	 11.00	 21.00	 11.00
1800	 4.80	 -66.12	 157.47	 10.00	 21.00	 12.00
1900	 4.80	 -66.12	 157.47	 10.00	 21.00	 12.00
2000	 4.82	 -66.05	 156.97	 12.00	 21.00	 11.00
2100	 4.82	 -66.05	 156.94	 12.00	 21.00	 12.00
2200	 4.82	 -66.05	 156.94	 12.00	 21.00	 12.00
2300	 4.84	 -66.00	 156.40	 12.00	 20.00	 12.00
2400	 4.83	 -66.00	 156.39	 12.00	 20.00	 11.00
2500	 4.83	 -66.00	 156.39	 12.00	 20.00	 11.00
2600	 4.85	 -65.97	 155.85	 11.00	 20.00	 12.00
2700	 4.85	 -65.97	 155.83	 11.00	 21.00	 12.00
2800	 4.85	 -65.97	 155.83	 11.00	 21.00	 12.00
2900	 4.85	 -65.93	 155.32	 11.00	 21.00	 12.00
3000	 4.86	 -65.93	 155.28	 11.00	 20.00	 12.00
3100	 4.86	 -65.93	 155.28	 11.00	 20.00	 12.00
3200	 4.87	 -65.91	 154.74	 13.00	 21.00	 11.00
3300	 4.87	 -65.91	 154.73	 11.00	 19.00	 12.00
