#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason	 SD 
200	 -1.00 	0 	0.00 	1.00 	1 	0	 0.00	 0.00 
300	 2.74 	0 	1.37 	1.37 	1 	1.37	 0.37	 1.92 
400	 1.13 	1 	1.25 	0.12 	1 	-3	 0.50	 1.37 
500	 1.13 	1 	1.19 	0.06 	0 	-3	 0.45	 1.20 
600	 1.13 	1 	1.16 	0.03 	0 	-3	 0.40	 1.15 
700	 1.13 	1 	1.15 	0.02 	0 	-3	 0.36	 1.14 
800	 1.13 	1 	1.15 	0.02 	1 	-3	 0.36	 1.14 
900	 49.37 	0 	25.26 	24.11 	1 	24.11	 5.15	 34.90 
1000	 1.13 	0 	13.19 	12.06 	1 	12.06	 9.46	 11.26 
1100	 1.22 	0 	7.21 	5.99 	0 	5.99	 8.52	 4.23 
1200	 3.36 	0 	5.28 	1.92 	0 	1.92	 7.88	 3.62 
1300	 3.36 	0 	5.28 	1.92 	1 	1.92	 7.88	 3.62 
1400	 1.13 	0 	3.21 	2.08 	1 	2.08	 7.32	 1.88 
1500	 1.13 	0 	2.17 	1.04 	0 	1.04	 6.59	 1.35 
1600	 1.13 	0 	2.17 	1.04 	1 	1.04	 6.59	 1.35 
1700	 0.60 	0 	1.38 	0.78 	0 	0.78	 5.98	 0.83 
1800	 0.60 	0 	1.38 	0.78 	1 	0.78	 5.98	 0.83 
1900	 1.22 	1 	1.30 	0.08 	1 	-3	 5.45	 1.10 
2000	 1.22 	1 	1.26 	0.04 	0 	-3	 4.90	 1.18 
2100	 1.22 	1 	1.24 	0.02 	0 	-3	 4.41	 1.21 
2200	 1.22 	1 	1.23 	0.01 	0 	-3	 3.97	 1.22 
2300	 1.22 	1 	1.23 	0.01 	0 	-3	 3.57	 1.22 
2400	 1.13 	1 	1.18 	0.05 	0 	-3	 3.22	 1.16 
2500	 1.13 	1 	1.15 	0.02 	0 	-3	 2.90	 1.14 
2600	 1.22 	1 	1.19 	0.03 	0 	-3	 2.62	 1.20 
2700	 1.22 	1 	1.19 	0.03 	1 	-3	 2.62	 1.20 
2800	 3.36 	0 	2.27 	1.09 	1 	1.09	 2.57	 2.71 
2900	 1.13 	0 	1.70 	0.57 	1 	0.57	 2.54	 1.60 
