#Time(ms)	 Roll 	 Pitch 	 Yaw 	 xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.34	 3.59	 -0.41	 0.00	 0.00	 2.04	 0	 0	 1	 hover	 1500	 1500	 1500	 1022	 0.00	 0.00	 0.00
300	 0.34	 3.59	 -0.41	 0.00	 0.00	 1.40	 0	 0	 1	 hover	 1500	 1500	 1500	 1017	 0.00	 0.00	 0.00
400	 0.34	 3.59	 -0.41	 0.00	 0.00	 0.93	 0	 0	 1	 hover	 1500	 1500	 1500	 1013	 0.00	 0.00	 0.00
500	 0.19	 3.78	 -0.43	 -2.84	 -1.81	 0.62	 1	 1	 1	 hover	 1501	 1502	 1500	 1011	 0.00	 0.00	 0.00
600	 0.19	 3.79	 -0.43	 -1.56	 -0.59	 0.41	 1	 1	 1	 hover	 1500	 1501	 1500	 1009	 0.00	 0.00	 0.00
700	 0.19	 3.79	 -0.43	 -1.12	 -0.74	 0.23	 1	 1	 1	 hover	 1500	 1501	 1500	 1007	 0.00	 0.00	 0.00
800	 0.08	 3.92	 -0.45	 -0.79	 -0.86	 0.11	 1	 1	 1	 hover	 1500	 1500	 1500	 1006	 0.00	 0.00	 0.00
900	 0.07	 3.93	 -0.45	 -0.52	 -0.86	 0.05	 1	 0	 1	 hover	 1500	 1500	 1500	 1006	 0.00	 0.00	 0.00
1000	 0.07	 3.93	 -0.45	 -0.37	 -0.86	 0.01	 1	 0	 1	 hover	 1500	 1500	 1500	 1005	 0.00	 0.00	 0.00
1100	 -0.01	 4.03	 -0.47	 -0.26	 -0.86	 -0.02	 1	 0	 1	 hover	 1500	 1500	 1500	 1005	 0.00	 0.00	 0.00
