#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 48.27	 13.56	 -7.91	 -105.00	 35.00	 40.00
300	 48.53	 13.67	 -8.03	 1.00	 12.00	 47.00
400	 48.53	 13.67	 -8.03	 1.00	 12.00	 47.00
500	 56.27	 16.20	 -11.03	 -124.00	 51.00	 -17.00
600	 56.51	 16.32	 -11.17	 94.00	 17.00	 65.00
700	 56.51	 16.32	 -11.17	 94.00	 17.00	 65.00
800	 63.66	 18.74	 -14.75	 -153.00	 17.00	 32.00
900	 63.90	 18.82	 -14.90	 -21.00	 -9.00	 21.00
1000	 63.90	 18.82	 -14.90	 -21.00	 -9.00	 21.00
1100	 68.27	 20.84	 -19.23	 102.00	 221.00	 -40.00
1200	 68.30	 20.93	 -19.42	 150.00	 277.00	 -30.00
1300	 68.30	 20.93	 -19.42	 150.00	 277.00	 -30.00
1400	 67.68	 21.06	 -22.66	 -100.00	 115.00	 -313.00
1500	 67.55	 20.97	 -22.69	 -25.00	 199.00	 1.00
1600	 67.55	 20.97	 -22.69	 -25.00	 199.00	 1.00
1700	 62.11	 19.71	 -23.69	 -86.00	 15.00	 75.00
1800	 61.88	 19.73	 -23.77	 -67.00	 58.00	 228.00
1900	 61.88	 19.73	 -23.77	 -67.00	 58.00	 228.00
2000	 52.61	 21.65	 -28.65	 59.00	 -25.00	 209.00
2100	 52.32	 21.72	 -28.85	 -94.00	 -478.00	 242.00
2200	 52.32	 21.72	 -28.85	 -94.00	 -478.00	 242.00
2300	 43.54	 20.96	 -35.89	 79.00	 -107.00	 220.00
2400	 43.28	 20.80	 -36.14	 -88.00	 84.00	 248.00
2500	 43.28	 20.80	 -36.14	 -88.00	 84.00	 248.00
2600	 35.21	 21.45	 -43.16	 -158.00	 58.00	 184.00
2700	 35.04	 21.40	 -43.39	 -237.00	 165.00	 227.00
2800	 35.04	 21.40	 -43.39	 -237.00	 165.00	 227.00
2900	 28.11	 22.15	 -49.61	 -134.00	 170.00	 286.00
3000	 27.92	 22.21	 -49.82	 64.00	 299.00	 222.00
3100	 27.92	 22.21	 -49.82	 64.00	 299.00	 222.00
3200	 22.39	 24.85	 -54.71	 -79.00	 109.00	 237.00
3300	 22.21	 24.85	 -54.85	 -109.00	 17.00	 126.00
3400	 22.21	 24.85	 -54.85	 -109.00	 17.00	 126.00
3500	 17.87	 23.84	 -59.32	 68.00	 -43.00	 217.00
3600	 17.77	 23.83	 -59.47	 -44.00	 -16.00	 253.00
3700	 17.77	 23.83	 -59.47	 -44.00	 -16.00	 253.00
3800	 14.62	 20.97	 -63.68	 -266.00	 -14.00	 146.00
3900	 14.49	 20.84	 -63.84	 -258.00	 -187.00	 292.00
4000	 14.49	 20.84	 -63.84	 -258.00	 -187.00	 292.00
4100	 13.11	 17.51	 -68.08	 -29.00	 25.00	 182.00
4200	 12.98	 17.42	 -68.23	 24.00	 44.00	 257.00
4300	 12.98	 17.42	 -68.23	 24.00	 44.00	 257.00
4400	 10.51	 17.12	 -72.42	 105.00	 13.00	 210.00
4500	 10.38	 17.06	 -72.55	 69.00	 22.00	 184.00
4600	 10.38	 17.06	 -72.55	 69.00	 22.00	 184.00
4700	 7.94	 16.93	 -75.66	 1.00	 49.00	 137.00
4800	 7.88	 16.92	 -75.75	 -217.00	 -40.00	 187.00
4900	 7.88	 16.92	 -75.75	 -217.00	 -40.00	 187.00
5000	 7.27	 15.51	 -78.05	 -72.00	 -246.00	 221.00
5100	 7.25	 15.38	 -78.15	 -82.00	 -54.00	 303.00
5200	 7.25	 15.38	 -78.15	 -82.00	 -54.00	 303.00
5300	 8.07	 13.38	 -82.15	 -171.00	 -11.00	 319.00
5400	 8.08	 13.33	 -82.31	 7.00	 117.00	 326.00
5500	 8.08	 13.33	 -82.31	 7.00	 117.00	 326.00
5600	 6.47	 14.78	 -87.23	 -125.00	 131.00	 280.00
5700	 6.46	 14.85	 -87.42	 -232.00	 -29.00	 329.00
5800	 6.46	 14.85	 -87.42	 -232.00	 -29.00	 329.00
5900	 5.72	 13.58	 -92.98	 -81.00	 -151.00	 166.00
6000	 5.67	 13.40	 -93.20	 32.00	 -18.00	 274.00
6100	 5.67	 13.40	 -93.20	 32.00	 -18.00	 274.00
6200	 5.19	 12.10	 -98.20	 -2.00	 97.00	 248.00
6300	 5.14	 12.14	 -98.35	 82.00	 18.00	 81.00
6400	 5.14	 12.14	 -98.35	 82.00	 18.00	 81.00
6500	 4.14	 12.19	 -100.87	 30.00	 39.00	 -215.00
6600	 4.18	 12.26	 -100.83	 -97.00	 165.00	 -223.00
6700	 4.18	 12.26	 -100.83	 -97.00	 165.00	 -223.00
6800	 5.50	 12.04	 -97.97	 -281.00	 -116.00	 -154.00
6900	 5.52	 11.99	 -97.85	 -318.00	 -121.00	 -112.00
7000	 5.52	 11.99	 -97.85	 -318.00	 -121.00	 -112.00
7100	 7.36	 9.62	 -96.78	 -2.00	 -15.00	 44.00
7200	 7.35	 9.61	 -96.78	 -121.00	 -32.00	 10.00
7300	 7.35	 9.61	 -96.78	 -121.00	 -32.00	 10.00
7400	 6.85	 9.58	 -96.54	 -99.00	 13.00	 -44.00
7500	 6.78	 9.54	 -96.54	 96.00	 190.00	 -103.00
7600	 6.78	 9.54	 -96.54	 96.00	 190.00	 -103.00
7700	 5.56	 9.41	 -96.49	 32.00	 22.00	 -6.00
7800	 5.51	 9.33	 -96.47	 -27.00	 147.00	 48.00
7900	 5.51	 9.33	 -96.47	 -27.00	 147.00	 48.00
8000	 5.46	 9.81	 -95.73	 -4.00	 102.00	 -97.00
8100	 5.50	 9.83	 -95.68	 18.00	 48.00	 -94.00
8200	 5.50	 9.83	 -95.68	 18.00	 48.00	 -94.00
8300	 3.83	 9.72	 -94.33	 -226.00	 -39.00	 -105.00
8400	 3.91	 9.68	 -94.30	 12.00	 149.00	 -68.00
8500	 3.91	 9.68	 -94.30	 12.00	 149.00	 -68.00
8600	 5.63	 9.90	 -93.52	 -159.00	 -1.00	 -48.00
8700	 5.57	 9.94	 -93.48	 -115.00	 -229.00	 -67.00
8800	 5.57	 9.94	 -93.48	 -115.00	 -229.00	 -67.00
8900	 5.01	 7.76	 -91.55	 -456.00	 490.00	 132.00
9000	 5.04	 7.66	 -91.39	 -34.00	 -126.00	 -89.00
9100	 5.04	 7.66	 -91.39	 -34.00	 -126.00	 -89.00
9200	 5.58	 6.94	 -90.17	 -199.00	 95.00	 24.00
9300	 5.19	 6.63	 -90.27	 -23.00	 4.00	 43.00
9400	 5.19	 6.63	 -90.27	 -23.00	 4.00	 43.00
9500	 4.66	 6.20	 -91.07	 -63.00	 4.00	 27.00
