#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 -7.43	 -4.86	 0.00	 1	 1	 1	 hover	 1509	 1485	 1500	 1000	 0.00	 0.00	 0.00
600	 -10.50	 -2.35	 1.04	 1	 1	 1	 hover	 1504	 1478	 1500	 1012	 0.00	 0.00	 0.00
700	 -5.22	 -1.43	 1.52	 1	 1	 1	 hover	 1502	 1489	 1500	 1020	 0.00	 0.00	 0.00
800	 -2.12	 -1.50	 1.44	 1	 1	 1	 hover	 1503	 1495	 1500	 1022	 0.00	 0.00	 0.00
900	 6.27	 -0.33	 0.99	 1	 1	 1	 hover	 1500	 1512	 1500	 1019	 0.00	 0.00	 0.00
1000	 -1.61	 -1.02	 0.74	 1	 1	 1	 hover	 1502	 1496	 1500	 1018	 0.00	 0.00	 0.00
1100	 -8.97	 -1.11	 0.10	 1	 1	 1	 hover	 1502	 1482	 1500	 1012	 0.00	 0.00	 0.00
1200	 -22.60	 -1.79	 0.50	 1	 1	 1	 hover	 1503	 1454	 1500	 1017	 0.00	 0.00	 0.00
1300	 -5.61	 -0.60	 0.86	 1	 1	 1	 hover	 1501	 1488	 1500	 1023	 0.00	 0.00	 0.00
1400	 -1.45	 -1.12	 -1.36	 1	 1	 1	 hover	 1502	 1497	 1500	 998	 0.00	 0.00	 0.00
1500	 -9.55	 -1.74	 0.96	 1	 1	 1	 hover	 1503	 1480	 1500	 1023	 0.00	 0.00	 0.00
1600	 -5.29	 -1.33	 1.68	 1	 1	 1	 hover	 1502	 1489	 1500	 1033	 0.00	 0.00	 0.00
1700	 -2.06	 -2.02	 1.58	 1	 1	 1	 hover	 1504	 1495	 1500	 1035	 0.00	 0.00	 0.00
1800	 -9.16	 -2.01	 1.06	 1	 1	 1	 hover	 1504	 1481	 1500	 1032	 0.00	 0.00	 0.00
1900	 -6.85	 -0.13	 1.78	 1	 1	 1	 hover	 1500	 1486	 1500	 1043	 0.00	 0.00	 0.00
2000	 -6.60	 -5.36	 1.22	 1	 1	 1	 hover	 1510	 1486	 1500	 1040	 0.00	 0.00	 0.00
2100	 -6.46	 -11.09	 0.95	 1	 1	 1	 hover	 1522	 1487	 1500	 1039	 0.00	 0.00	 0.00
2200	 -0.81	 -6.76	 -0.11	 1	 1	 1	 hover	 1513	 1498	 1500	 1028	 0.00	 0.00	 0.00
2300	 -6.28	 -5.52	 -0.11	 1	 1	 1	 hover	 1511	 1487	 1500	 1028	 0.00	 0.00	 0.00
2400	 -30.18	 -5.52	 -0.49	 1	 1	 1	 hover	 1511	 1439	 1500	 1023	 0.00	 0.00	 0.00
2500	 -6.74	 -4.12	 -1.08	 1	 1	 1	 hover	 1508	 1486	 1500	 1015	 0.00	 0.00	 0.00
