#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 1	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 -0.16	 0.21	 0.08	 1	 1	 1	 0	 1499	 1499	 1500	 1000	 0.00	 0.00	 0.00
600	 0.37	 0.71	 -0.11	 1	 1	 1	 0	 1498	 1500	 1500	 998	 0.00	 0.00	 0.00
700	 0.78	 0.85	 -0.13	 1	 1	 1	 0	 1498	 1501	 1500	 998	 0.00	 0.00	 0.00
800	 0.04	 0.89	 -0.44	 1	 1	 1	 0	 1498	 1500	 1500	 994	 0.00	 0.00	 0.00
900	 0.29	 0.92	 0.07	 1	 1	 1	 0	 1498	 1500	 1500	 999	 0.00	 0.00	 0.00
1000	 0.33	 0.89	 0.10	 1	 1	 1	 0	 1498	 1500	 1500	 1000	 0.00	 0.00	 0.00
1100	 0.99	 0.87	 -0.09	 1	 1	 1	 0	 1498	 1501	 1500	 998	 0.00	 0.00	 0.00
1200	 0.24	 0.91	 -0.08	 1	 1	 1	 0	 1498	 1500	 1500	 997	 0.00	 0.00	 0.00
1300	 1.17	 0.63	 0.17	 1	 1	 1	 0	 1498	 1502	 1500	 1000	 0.00	 0.00	 0.00
1400	 -0.22	 0.47	 0.28	 1	 1	 1	 0	 1499	 1499	 1500	 1002	 0.00	 0.00	 0.00
1500	 -0.54	 0.53	 0.07	 1	 1	 1	 0	 1498	 1498	 1500	 1000	 0.00	 0.00	 0.00
1600	 0.85	 0.51	 0.14	 1	 1	 1	 0	 1498	 1501	 1500	 1001	 0.00	 0.00	 0.00
1700	 0.31	 0.50	 -0.15	 1	 1	 1	 0	 1498	 1500	 1500	 998	 0.00	 0.00	 0.00
1800	 0.71	 0.48	 -0.20	 1	 1	 1	 0	 1499	 1501	 1500	 997	 0.00	 0.00	 0.00
1900	 1.25	 0.48	 -0.42	 1	 1	 1	 0	 1499	 1502	 1500	 994	 0.00	 0.00	 0.00
2000	 0.22	 0.48	 -0.27	 1	 1	 1	 0	 1499	 1500	 1500	 995	 0.00	 0.00	 0.00
2100	 -0.50	 0.42	 -0.65	 1	 1	 1	 0	 1499	 1498	 1500	 990	 0.00	 0.00	 0.00
2200	 0.71	 0.41	 -0.17	 1	 1	 1	 0	 1499	 1501	 1500	 994	 0.00	 0.00	 0.00
2300	 0.76	 1.17	 -0.29	 1	 1	 1	 0	 1497	 1501	 1500	 992	 0.00	 0.00	 0.00
2400	 0.74	 1.32	 0.14	 1	 1	 1	 0	 1497	 1501	 1500	 997	 0.00	 0.00	 0.00
2500	 0.58	 1.24	 0.37	 1	 1	 1	 0	 1497	 1501	 1500	 1000	 0.00	 0.00	 0.00
2600	 0.56	 1.24	 0.44	 1	 1	 1	 0	 1497	 1501	 1500	 1002	 0.00	 0.00	 0.00
