#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 -5.90	 82.87	 42.14	 11.00	 20.00	 10.00
300	 -5.91	 82.86	 42.04	 12.00	 19.00	 11.00
400	 -5.91	 82.86	 42.04	 12.00	 19.00	 11.00
500	 -5.97	 82.72	 39.77	 10.00	 17.00	 10.00
600	 -5.97	 82.71	 39.73	 9.00	 18.00	 9.00
700	 -5.97	 82.71	 39.73	 9.00	 18.00	 9.00
800	 -6.02	 82.60	 37.68	 10.00	 18.00	 10.00
900	 -6.02	 82.60	 37.68	 12.00	 19.00	 10.00
1000	 -6.02	 82.60	 37.68	 12.00	 19.00	 10.00
1100	 -6.07	 82.50	 35.74	 10.00	 20.00	 10.00
1200	 -6.07	 82.50	 35.67	 12.00	 18.00	 9.00
1300	 -6.07	 82.50	 35.67	 12.00	 18.00	 9.00
1400	 -6.09	 82.44	 33.90	 10.00	 18.00	 10.00
1500	 -6.09	 82.43	 33.86	 11.00	 17.00	 10.00
1600	 -6.09	 82.43	 33.86	 11.00	 17.00	 10.00
1700	 -6.11	 82.38	 32.21	 12.00	 19.00	 9.00
1800	 -6.11	 82.38	 32.21	 11.00	 18.00	 10.00
1900	 -6.11	 82.38	 32.21	 11.00	 18.00	 10.00
2000	 -6.13	 82.34	 30.54	 10.00	 18.00	 10.00
2100	 -6.13	 82.34	 30.50	 12.00	 19.00	 10.00
2200	 -6.13	 82.34	 30.50	 12.00	 19.00	 10.00
2300	 -6.14	 82.31	 28.90	 10.00	 19.00	 10.00
2400	 -6.15	 82.31	 28.85	 10.00	 19.00	 9.00
2500	 -6.15	 82.31	 28.85	 10.00	 19.00	 9.00
2600	 -6.15	 82.28	 27.15	 11.00	 19.00	 10.00
2700	 -6.15	 82.28	 27.11	 12.00	 19.00	 10.00
2800	 -6.15	 82.28	 27.11	 12.00	 19.00	 10.00
2900	 -6.16	 82.26	 25.48	 12.00	 18.00	 10.00
3000	 -6.16	 82.26	 25.39	 12.00	 18.00	 9.00
3100	 -6.16	 82.26	 25.39	 12.00	 18.00	 9.00
3200	 -6.17	 82.24	 23.80	 11.00	 19.00	 9.00
3300	 -6.17	 82.24	 23.71	 11.00	 18.00	 10.00
3400	 -6.17	 82.24	 23.71	 11.00	 18.00	 10.00
3500	 -6.18	 82.23	 22.08	 11.00	 19.00	 10.00
3600	 -6.19	 82.22	 22.03	 11.00	 18.00	 10.00
3700	 -6.19	 82.22	 22.03	 11.00	 18.00	 10.00
3800	 -6.19	 82.21	 20.30	 10.00	 18.00	 10.00
3900	 -6.19	 82.21	 20.26	 12.00	 20.00	 10.00
4000	 -6.19	 82.21	 20.26	 12.00	 20.00	 10.00
4100	 -6.20	 82.20	 18.53	 11.00	 20.00	 10.00
4200	 -6.20	 82.20	 18.43	 11.00	 17.00	 10.00
4300	 -6.20	 82.20	 18.43	 11.00	 17.00	 10.00
4400	 -6.20	 82.20	 16.71	 11.00	 18.00	 11.00
4500	 -6.19	 82.20	 16.66	 10.00	 18.00	 10.00
4600	 -6.19	 82.20	 16.66	 10.00	 18.00	 10.00
4700	 -6.20	 82.18	 14.81	 11.00	 19.00	 11.00
4800	 -6.20	 82.18	 14.71	 11.00	 19.00	 10.00
4900	 -6.20	 82.18	 14.71	 11.00	 19.00	 10.00
5000	 -6.21	 82.17	 12.85	 11.00	 19.00	 9.00
5100	 -6.20	 82.17	 12.80	 11.00	 18.00	 11.00
5200	 -6.20	 82.17	 12.80	 11.00	 18.00	 11.00
5300	 -6.21	 82.17	 10.91	 11.00	 19.00	 9.00
5400	 -6.21	 82.17	 10.80	 10.00	 19.00	 10.00
5500	 -6.21	 82.17	 10.80	 10.00	 19.00	 10.00
5600	 -6.21	 82.16	 8.95	 11.00	 19.00	 10.00
5700	 -6.21	 82.16	 8.84	 11.00	 19.00	 10.00
5800	 -6.21	 82.16	 8.84	 11.00	 19.00	 10.00
5900	 -6.21	 82.16	 6.94	 11.00	 19.00	 10.00
6000	 -6.21	 82.16	 6.89	 11.00	 18.00	 10.00
6100	 -6.21	 82.16	 6.89	 11.00	 18.00	 10.00
6200	 -6.21	 82.16	 4.93	 11.00	 19.00	 9.00
6300	 -6.21	 82.16	 4.81	 11.00	 19.00	 9.00
6400	 -6.21	 82.16	 4.81	 11.00	 19.00	 9.00
6500	 -6.20	 82.16	 2.81	 10.00	 19.00	 9.00
6600	 -6.21	 82.16	 2.75	 11.00	 18.00	 9.00
6700	 -6.21	 82.16	 2.75	 11.00	 18.00	 9.00
6800	 -6.21	 82.16	 0.74	 10.00	 19.00	 10.00
6900	 -6.20	 82.17	 0.69	 12.00	 18.00	 11.00
7000	 -6.20	 82.17	 0.69	 12.00	 18.00	 11.00
7100	 -6.20	 82.17	 -1.29	 12.00	 19.00	 9.00
7200	 -6.20	 82.17	 -1.41	 10.00	 19.00	 10.00
7300	 -6.20	 82.17	 -1.41	 10.00	 19.00	 10.00
7400	 -6.20	 82.16	 -3.46	 11.00	 19.00	 11.00
7500	 -6.20	 82.16	 -3.57	 11.00	 18.00	 10.00
7600	 -6.20	 82.16	 -3.57	 11.00	 18.00	 10.00
7700	 -6.20	 82.17	 -5.58	 11.00	 19.00	 9.00
7800	 -6.20	 82.17	 -5.69	 12.00	 19.00	 10.00
7900	 -6.20	 82.17	 -5.69	 12.00	 19.00	 10.00
8000	 -6.20	 82.17	 -7.74	 11.00	 19.00	 10.00
8100	 -6.21	 82.16	 -7.80	 11.00	 18.00	 11.00
