#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	0 
300	 -1.00 	0 	0.00 	1.00 	1 	0 
400	 -1.00 	0 	0.00 	1.00 	2 	0 
500	 -1.00 	0 	0.00 	1.00 	3 	0 
600	 163.18 	0 	97.91 	65.27 	3 	65.27 
700	 202.87 	0 	160.89 	41.98 	3 	41.98 
800	 206.16 	0 	188.05 	18.11 	0 	18.11 
900	 194.15 	0 	191.71 	2.44 	0 	-1 
1000	 194.15 	0 	191.71 	2.44 	1 	-1 
1100	 180.00 	0 	184.68 	4.68 	0 	4.68 
1200	 180.00 	0 	184.68 	4.68 	1 	4.68 
1300	 180.00 	0 	184.68 	4.68 	2 	4.68 
1400	 189.43 	0 	187.53 	1.90 	0 	-1 
1500	 189.43 	0 	187.53 	1.90 	1 	-1 
1600	 189.43 	0 	187.53 	1.90 	2 	-1 
1700	 189.43 	0 	187.53 	1.90 	3 	-1 
1800	 132.57 	0 	154.55 	21.98 	3 	21.98 
1900	 222.00 	0 	195.02 	26.98 	3 	26.98 
2000	 160.07 	0 	174.05 	13.98 	3 	13.98 
2100	 164.61 	0 	168.39 	3.78 	0 	3.78 
2200	 184.00 	0 	177.75 	6.25 	0 	6.25 
2300	 184.00 	0 	177.75 	6.25 	1 	6.25 
2400	 201.54 	0 	192.03 	9.51 	0 	9.51 
2500	 192.10 	0 	192.07 	0.03 	0 	-1 
2600	 192.10 	0 	192.07 	0.03 	1 	-1 
2700	 176.00 	0 	182.43 	6.43 	0 	6.43 
2800	 195.13 	0 	190.05 	5.08 	0 	5.08 
2900	 195.13 	0 	190.05 	5.08 	1 	5.08 
3000	 195.13 	0 	190.05 	5.08 	2 	5.08 
3100	 195.13 	0 	190.05 	5.08 	3 	5.08 
3200	 187.83 	0 	188.72 	0.89 	0 	-1 
3300	 187.83 	0 	188.72 	0.89 	1 	-1 
3400	 205.09 	0 	198.54 	6.55 	0 	6.55 
3500	 205.09 	0 	198.54 	6.55 	1 	6.55 
3600	 209.10 	0 	204.88 	4.22 	0 	4.22 
3700	 209.10 	0 	204.88 	4.22 	1 	4.22 
3800	 196.82 	0 	200.04 	3.22 	0 	3.22 
3900	 206.07 	0 	203.66 	2.41 	0 	-1 
4000	 206.07 	0 	203.66 	2.41 	1 	-1 
