#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 10.48 	0 	6.29 	4.19 	0 	4.19 
300	 10.83 	0 	9.01 	1.82 	0 	-1 
400	 8.43 	0 	8.66 	0.23 	0 	-1 
500	 10.12 	0 	9.54 	0.58 	0 	-1 
600	 8.43 	0 	8.87 	0.44 	0 	-1 
700	 10.75 	0 	10.00 	0.75 	0 	-1 
800	 10.75 	0 	10.45 	0.30 	0 	-1 
900	 7.99 	0 	8.97 	0.98 	0 	-1 
1000	 8.52 	0 	8.70 	0.18 	0 	-1 
1100	 10.30 	0 	9.66 	0.64 	0 	-1 
1200	 9.59 	0 	9.62 	0.03 	0 	-1 
1300	 13.86 	0 	12.16 	1.70 	0 	-1 
1400	 15.28 	0 	14.03 	1.25 	0 	-1 
1500	 19.11 	0 	17.08 	2.03 	0 	-1 
1600	 24.27 	0 	21.39 	2.88 	0 	-1 
1700	 27.65 	0 	25.15 	2.50 	0 	-1 
1800	 32.81 	0 	29.74 	3.07 	0 	3.07 
1900	 32.90 	0 	31.64 	1.26 	0 	-1 
2000	 34.68 	0 	33.46 	1.22 	0 	-1 
2100	 34.68 	0 	34.19 	0.49 	0 	-1 
2200	 36.37 	0 	35.50 	0.87 	0 	-1 
2300	 34.51 	0 	34.91 	0.40 	0 	-1 
2400	 34.06 	0 	34.40 	0.34 	0 	-1 
2500	 32.19 	0 	33.07 	0.88 	0 	-1 
2600	 31.30 	0 	32.01 	0.71 	0 	-1 
2700	 29.88 	0 	30.73 	0.85 	0 	-1 
2800	 26.94 	0 	28.46 	1.52 	0 	-1 
2900	 30.77 	0 	29.84 	0.93 	0 	-1 
3000	 30.41 	0 	30.18 	0.23 	0 	-1 
3100	 33.70 	0 	32.29 	1.41 	0 	-1 
3200	 34.51 	0 	33.62 	0.89 	0 	-1 
3300	 38.24 	0 	36.39 	1.85 	0 	-1 
3400	 38.78 	0 	37.83 	0.95 	0 	-1 
3500	 41.27 	0 	39.89 	1.38 	0 	-1 
3600	 43.31 	0 	41.94 	1.37 	0 	-1 
3700	 45.36 	0 	43.99 	1.37 	0 	-1 
3800	 47.41 	0 	46.04 	1.37 	0 	-1 
3900	 50.17 	0 	48.52 	1.65 	0 	-1 
4000	 50.97 	0 	49.99 	0.98 	0 	-1 
4100	 52.84 	0 	51.70 	1.14 	0 	-1 
4200	 54.44 	1 	53.34 	1.10 	0 	-3 
4300	 56.40 	1 	55.18 	1.22 	0 	-3 
4400	 56.93 	1 	56.23 	0.70 	0 	-3 
4500	 58.62 	1 	57.66 	0.96 	0 	-3 
4600	 57.02 	1 	57.28 	0.26 	0 	-3 
4700	 57.02 	1 	57.12 	0.10 	0 	-3 
4800	 58.62 	1 	58.02 	0.60 	0 	-3 
4900	 57.11 	1 	57.47 	0.36 	0 	-3 
5000	 54.71 	1 	55.82 	1.11 	0 	-3 
5100	 55.77 	1 	55.79 	0.02 	0 	-3 
5200	 53.28 	1 	54.28 	1.00 	0 	-3 
5300	 51.06 	1 	52.35 	1.29 	0 	-3 
5400	 50.79 	1 	51.41 	0.62 	0 	-3 
5500	 49.01 	1 	49.97 	0.96 	0 	-3 
5600	 49.28 	1 	49.56 	0.28 	0 	-3 
5700	 52.75 	1 	51.47 	1.28 	0 	-3 
5800	 54.17 	1 	53.09 	1.08 	0 	-3 
5900	 58.71 	1 	56.46 	2.25 	0 	-3 
6000	 64.23 	0 	61.12 	3.11 	0 	3.11 
6100	 68.68 	0 	65.66 	3.02 	0 	3.02 
6200	 76.86 	0 	72.38 	4.48 	0 	4.48 
6300	 79.80 	1 	76.83 	2.97 	0 	-3 
6400	 84.96 	0 	81.71 	3.25 	0 	3.25 
6500	 84.96 	0 	81.71 	3.25 	1 	3.25 
6600	 92.79 	0 	88.36 	4.43 	0 	4.43 
6700	 97.51 	0 	93.85 	3.66 	0 	3.66 
6800	 100.09 	1 	97.59 	2.50 	0 	-3 
6900	 103.65 	1 	101.23 	2.42 	0 	-3 
7000	 102.05 	1 	101.72 	0.33 	0 	-3 
7100	 104.00 	1 	103.09 	0.91 	0 	-3 
7200	 106.85 	1 	105.35 	1.50 	0 	-3 
7300	 107.03 	1 	106.36 	0.67 	0 	-3 
7400	 107.03 	1 	106.76 	0.27 	0 	-3 
7500	 108.45 	1 	107.77 	0.68 	0 	-3 
7600	 107.74 	1 	107.75 	0.01 	0 	-3 
7700	 110.23 	1 	109.24 	0.99 	0 	-3 
7800	 109.08 	1 	109.14 	0.06 	0 	-3 
7900	 108.01 	1 	108.46 	0.45 	0 	-3 
8000	 108.36 	1 	108.40 	0.04 	0 	-3 
8100	 107.30 	1 	107.74 	0.44 	0 	-3 
8200	 108.90 	1 	108.44 	0.46 	0 	-3 
8300	 103.92 	1 	105.73 	1.81 	0 	-3 
8400	 104.98 	1 	105.28 	0.30 	0 	-3 
