#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	1 	0 
300	 -1.00 	0 	0.00 	1.00 	2 	0 
400	 -1.00 	0 	0.00 	1.00 	3 	0 
500	 127.85 	0 	76.71 	51.14 	3 	51.14 
600	 138.53 	0 	113.80 	24.73 	0 	24.73 
700	 138.53 	0 	113.80 	24.73 	1 	24.73 
800	 138.53 	0 	113.80 	24.73 	2 	24.73 
900	 120.38 	0 	117.75 	2.63 	0 	-1 
1000	 123.58 	0 	121.25 	2.33 	0 	-1 
1100	 123.58 	0 	121.25 	2.33 	1 	-1 
1200	 111.12 	0 	115.17 	4.05 	0 	4.05 
1300	 99.91 	0 	106.01 	6.10 	0 	6.10 
1400	 97.33 	0 	100.80 	3.47 	0 	3.47 
1500	 116.82 	0 	110.41 	6.41 	0 	6.41 
1600	 121.18 	0 	116.87 	4.31 	0 	4.31 
1700	 121.18 	0 	116.87 	4.31 	1 	4.31 
1800	 121.18 	0 	116.87 	4.31 	2 	4.31 
1900	 121.18 	0 	116.87 	4.31 	3 	4.31 
2000	 145.65 	0 	134.14 	11.51 	3 	11.51 
2100	 98.93 	0 	113.01 	14.08 	3 	14.08 
2200	 91.10 	0 	99.87 	8.77 	0 	8.77 
2300	 80.24 	0 	88.09 	7.85 	0 	7.85 
2400	 80.24 	0 	88.09 	7.85 	1 	7.85 
2500	 92.44 	0 	90.70 	1.74 	0 	-1 
2600	 77.93 	0 	83.04 	5.11 	0 	5.11 
2700	 77.93 	0 	83.04 	5.11 	1 	5.11 
2800	 77.93 	0 	83.04 	5.11 	2 	5.11 
2900	 77.93 	0 	83.04 	5.11 	3 	5.11 
3000	 96.53 	0 	91.13 	5.40 	0 	5.40 
3100	 96.53 	0 	91.13 	5.40 	1 	5.40 
3200	 95.11 	0 	93.52 	1.59 	0 	-1 
3300	 82.29 	0 	86.78 	4.49 	0 	4.49 
3400	 98.49 	0 	93.81 	4.68 	0 	4.68 
3500	 98.49 	0 	93.81 	4.68 	1 	4.68 
3600	 98.49 	0 	93.81 	4.68 	2 	4.68 
3700	 98.49 	0 	93.81 	4.68 	3 	4.68 
3800	 133.99 	0 	117.92 	16.07 	3 	16.07 
3900	 74.99 	0 	92.16 	17.17 	3 	17.17 
4000	 135.33 	0 	118.06 	17.27 	3 	17.27 
4100	 112.46 	0 	114.70 	2.24 	3 	-1 
