#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	0 
300	 -1.00 	0 	0.00 	1.00 	1 	0 
400	 -1.00 	0 	0.00 	1.00 	2 	0 
500	 -1.00 	0 	0.00 	1.00 	3 	0 
600	 288.03 	0 	172.82 	115.21 	3 	115.21 
700	 289.01 	0 	242.53 	46.48 	0 	46.48 
800	 289.01 	0 	242.53 	46.48 	1 	46.48 
900	 288.48 	0 	270.10 	18.38 	0 	18.38 
1000	 287.23 	0 	280.38 	6.85 	0 	6.85 
1100	 287.23 	0 	280.38 	6.85 	1 	6.85 
1200	 287.23 	0 	280.38 	6.85 	2 	6.85 
1300	 285.98 	0 	283.74 	2.24 	0 	-1 
1400	 285.98 	0 	283.74 	2.24 	1 	-1 
1500	 277.89 	0 	280.23 	2.34 	0 	-1 
1600	 277.89 	0 	280.23 	2.34 	1 	-1 
1700	 277.89 	0 	280.23 	2.34 	2 	-1 
1800	 277.89 	0 	280.23 	2.34 	3 	-1 
1900	 207.23 	0 	236.43 	29.20 	3 	29.20 
2000	 222.18 	0 	227.88 	5.70 	0 	5.70 
2100	 -1.00 	0 	227.88 	228.88 	0 	0 
2200	 -1.00 	0 	227.88 	228.88 	1 	0 
2300	 -1.00 	0 	227.88 	228.88 	2 	0 
2400	 -1.00 	0 	227.88 	228.88 	3 	0 
2500	 176.62 	0 	197.12 	20.50 	3 	20.50 
2600	 126.43 	0 	154.71 	28.28 	3 	28.28 
2700	 131.32 	0 	140.68 	9.36 	0 	9.36 
2800	 151.26 	0 	147.03 	4.23 	0 	4.23 
2900	 151.26 	0 	147.03 	4.23 	1 	4.23 
3000	 151.26 	0 	147.03 	4.23 	2 	4.23 
3100	 164.25 	0 	157.36 	6.89 	0 	6.89 
3200	 164.25 	0 	157.36 	6.89 	1 	6.89 
3300	 164.25 	0 	157.36 	6.89 	2 	6.89 
3400	 164.25 	0 	157.36 	6.89 	3 	6.89 
3500	 231.97 	0 	202.13 	29.84 	3 	29.84 
3600	 67.96 	0 	121.63 	53.67 	3 	53.67 
3700	 138.71 	0 	131.88 	6.83 	3 	6.83 
3800	 123.05 	0 	126.58 	3.53 	0 	3.53 
3900	 123.05 	0 	126.58 	3.53 	1 	3.53 
4000	 123.05 	0 	126.58 	3.53 	2 	3.53 
