#Time(ms)	 Roll 	 Pitch 	 Yaw 	 xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 -0.53	 42.68	 -176.54	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 -0.52	 42.45	 -176.55	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 -0.52	 42.45	 -176.55	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 0.42	 36.36	 -177.10	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
600	 0.45	 36.17	 -177.09	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
700	 0.45	 36.17	 -177.09	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
800	 1.21	 31.26	 -177.35	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
900	 1.23	 31.09	 -177.35	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1000	 1.23	 31.09	 -177.35	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1100	 1.87	 27.07	 -177.40	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1200	 1.86	 26.90	 -177.39	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1300	 1.86	 26.90	 -177.39	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1400	 2.41	 23.58	 -177.09	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1500	 2.44	 23.51	 -177.07	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1600	 2.44	 23.51	 -177.07	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1700	 2.96	 21.38	 -175.66	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1800	 2.94	 21.32	 -175.56	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1900	 2.94	 21.32	 -175.56	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2000	 3.27	 19.89	 -172.35	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2100	 3.35	 19.83	 -172.23	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2200	 3.35	 19.83	 -172.23	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2300	 4.18	 18.52	 -168.09	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2400	 4.17	 18.48	 -167.93	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2500	 4.17	 18.48	 -167.93	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2600	 4.51	 13.59	 -163.69	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2700	 4.54	 13.60	 -163.53	 0.00	 -0.73	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2800	 4.54	 13.60	 -163.53	 0.00	 3.39	 -1.96	 1	 1	 1	 hover	 1496	 1500	 1500	 978	 0.00	 0.00	 0.00
2900	 4.50	 13.41	 -159.35	 0.00	 1.25	 -1.87	 0	 1	 1	 hover	 1498	 1500	 1500	 977	 0.00	 0.00	 0.00
3000	 4.52	 13.39	 -159.20	 0.00	 1.25	 -4.98	 0	 0	 1	 hover	 1500	 1500	 1500	 941	 0.00	 0.00	 0.00
3100	 4.52	 13.39	 -159.20	 0.00	 3.92	 -2.85	 1	 1	 1	 hover	 1496	 1500	 1500	 959	 0.00	 0.00	 0.00
3200	 3.07	 12.24	 -155.54	 0.00	 8.55	 -2.13	 1	 1	 1	 hover	 1491	 1500	 1500	 964	 0.00	 0.00	 0.00
3300	 2.97	 12.30	 -155.41	 0.00	 0.05	 -1.60	 0	 1	 1	 hover	 1499	 1500	 1500	 968	 0.00	 0.00	 0.00
3400	 2.97	 12.30	 -155.41	 0.00	 0.05	 -1.95	 1	 0	 1	 hover	 1500	 1500	 1500	 963	 0.00	 0.00	 0.00
3500	 2.31	 14.35	 -152.10	 0.00	 -1.07	 -0.53	 1	 1	 1	 hover	 1501	 1500	 1500	 976	 0.00	 0.00	 0.00
3600	 2.43	 14.31	 -152.01	 0.00	 -1.07	 -0.89	 1	 0	 1	 hover	 1500	 1500	 1500	 972	 0.00	 0.00	 0.00
3700	 2.43	 14.31	 -152.01	 0.00	 -0.33	 -0.89	 1	 1	 1	 hover	 1500	 1500	 1500	 971	 0.00	 0.00	 0.00
3800	 4.70	 13.94	 -148.92	 0.00	 -0.17	 -0.89	 0	 1	 1	 hover	 1500	 1500	 1500	 970	 0.00	 0.00	 0.00
3900	 4.75	 13.91	 -148.79	 0.00	 -0.32	 1.09	 1	 1	 1	 hover	 1500	 1500	 1500	 991	 0.00	 0.00	 0.00
4000	 4.75	 13.91	 -148.79	 0.00	 -1.04	 1.42	 0	 1	 1	 hover	 1501	 1500	 1500	 996	 0.00	 0.00	 0.00
4100	 1.68	 13.05	 -145.51	 0.00	 1.23	 1.87	 0	 1	 1	 hover	 1498	 1500	 1500	 1002	 0.00	 0.00	 0.00
4200	 1.66	 12.97	 -145.41	 0.00	 2.06	 2.40	 0	 1	 1	 hover	 1497	 1500	 1500	 1010	 0.00	 0.00	 0.00
4300	 1.66	 12.97	 -145.41	 0.00	 2.39	 1.25	 0	 1	 1	 hover	 1497	 1500	 1500	 999	 0.00	 0.00	 0.00
4400	 2.81	 9.67	 -143.26	 0.00	 2.39	 0.53	 0	 0	 1	 hover	 1500	 1500	 1500	 993	 0.00	 0.00	 0.00
4500	 2.86	 9.59	 -143.19	 0.00	 2.39	 1.73	 0	 0	 1	 hover	 1500	 1500	 1500	 1007	 0.00	 0.00	 0.00
4600	 2.86	 9.59	 -143.19	 0.00	 2.39	 0.77	 0	 0	 1	 hover	 1500	 1500	 1500	 998	 0.00	 0.00	 0.00
4700	 3.05	 8.50	 -141.19	 0.00	 1.07	 2.71	 0	 1	 1	 hover	 1498	 1500	 1500	 1020	 0.00	 0.00	 0.00
4800	 2.97	 8.57	 -141.13	 0.00	 1.07	 2.71	 0	 0	 0	 hover	 1500	 1500	 1500	 1020	 0.00	 0.00	 0.00
4900	 2.97	 8.57	 -141.13	 0.00	 -1.15	 2.71	 0	 1	 0	 hover	 1501	 1500	 1500	 1020	 0.00	 0.00	 0.00
5000	 4.65	 12.56	 -138.75	 0.00	 -1.15	 -0.45	 1	 0	 1	 hover	 1500	 1500	 1500	 988	 0.00	 0.00	 0.00
5100	 4.68	 12.59	 -138.70	 5.34	 -1.15	 -0.80	 1	 0	 1	 hover	 1500	 1494	 1500	 983	 0.00	 0.00	 0.00
5200	 4.68	 12.59	 -138.70	 8.72	 3.29	 -3.38	 1	 1	 1	 hover	 1496	 1491	 1500	 954	 0.00	 0.00	 0.00
5300	 5.42	 12.96	 -136.84	 8.72	 -2.38	 -3.92	 1	 1	 1	 hover	 1502	 1491	 1500	 945	 0.00	 0.00	 0.00
5400	 5.36	 12.91	 -136.78	 8.72	 -2.38	 -7.74	 0	 0	 1	 hover	 1500	 1500	 1500	 899	 0.00	 0.00	 0.00
5500	 5.36	 12.91	 -136.78	 8.72	 -2.13	 -7.74	 0	 1	 0	 hover	 1502	 1500	 1500	 899	 0.00	 0.00	 0.00
5600	 5.08	 12.08	 -133.63	 8.72	 -1.54	 -7.74	 0	 1	 1	 hover	 1501	 1500	 1500	 891	 0.00	 0.00	 0.00
5700	 4.89	 12.00	 -133.53	 8.72	 3.87	 -12.28	 0	 1	 1	 hover	 1496	 1500	 1500	 834	 0.00	 0.00	 0.00
5800	 4.89	 12.00	 -133.53	 8.72	 5.46	 -16.82	 0	 1	 1	 hover	 1494	 1500	 1500	 771	 0.00	 0.00	 0.00
5900	 1.92	 8.05	 -131.13	 8.72	 -1.82	 -16.82	 0	 1	 0	 hover	 1501	 1500	 1500	 771	 0.00	 0.00	 0.00
6000	 1.84	 8.24	 -131.03	 8.72	 -1.82	 -16.82	 0	 0	 1	 hover	 1500	 1500	 1500	 755	 0.00	 0.00	 0.00
6100	 1.84	 8.24	 -131.03	 8.72	 -8.63	 -16.82	 0	 1	 1	 hover	 1508	 1500	 1500	 738	 0.00	 0.00	 0.00
6200	 0.42	 10.54	 -128.65	 8.72	 -14.15	 -21.36	 0	 1	 1	 hover	 1514	 1500	 1500	 671	 0.00	 0.00	 0.00
6300	 0.42	 10.58	 -128.57	 8.72	 -14.86	 -25.36	 0	 1	 1	 hover	 1514	 1500	 1500	 606	 0.00	 0.00	 0.00
6400	 0.42	 10.58	 -128.57	 8.72	 -18.69	 -26.61	 0	 1	 1	 hover	 1518	 1500	 1500	 567	 0.00	 0.00	 0.00
6500	 1.70	 11.78	 -126.93	 8.72	 -20.64	 -28.57	 0	 1	 1	 hover	 1520	 1500	 1500	 518	 0.00	 0.00	 0.00
6600	 1.75	 11.83	 -126.87	 8.72	 -20.64	 -27.33	 0	 1	 1	 hover	 1520	 1500	 1500	 503	 0.00	 0.00	 0.00
6700	 1.75	 11.83	 -126.87	 8.72	 -22.89	 -29.37	 0	 1	 1	 hover	 1522	 1500	 1500	 454	 0.00	 0.00	 0.00
6800	 4.59	 12.53	 -125.18	 8.72	 -22.89	 -30.26	 0	 0	 1	 hover	 1500	 1500	 1500	 414	 0.00	 0.00	 0.00
6900	 4.65	 12.46	 -125.14	 8.72	 -23.70	 -28.12	 0	 1	 1	 hover	 1523	 1500	 1500	 408	 0.00	 0.00	 0.00
7000	 4.65	 12.46	 -125.14	 8.72	 -23.70	 -27.59	 0	 0	 1	 hover	 1500	 1500	 1500	 385	 0.00	 0.00	 0.00
7100	 5.09	 8.11	 -124.55	 8.72	 -16.64	 -27.68	 0	 1	 1	 hover	 1516	 1500	 1500	 357	 0.00	 0.00	 0.00
7200	 5.07	 8.05	 -124.51	 8.72	 -22.07	 -27.50	 0	 1	 1	 hover	 1522	 1500	 1500	 331	 0.00	 0.00	 0.00
7300	 5.07	 8.05	 -124.51	 8.72	 -19.31	 -24.56	 1	 1	 1	 hover	 1519	 1491	 1500	 336	 0.00	 0.00	 0.00
7400	 3.74	 9.98	 -123.35	 8.72	 -19.31	 -23.67	 1	 0	 1	 hover	 1500	 1491	 1500	 321	 0.00	 0.00	 0.00
7500	 3.75	 10.02	 -123.30	 10.86	 -21.88	 -23.23	 1	 1	 1	 hover	 1521	 1489	 1500	 302	 0.00	 0.00	 0.00
7600	 3.75	 10.02	 -123.30	 6.94	 -21.88	 -21.71	 1	 1	 1	 hover	 1521	 1493	 1500	 296	 0.00	 0.00	 0.00
7700	 3.72	 9.12	 -122.02	 9.97	 -21.88	 -17.00	 1	 0	 1	 hover	 1500	 1490	 1500	 326	 0.00	 0.00	 0.00
7800	 3.72	 9.11	 -121.96	 10.15	 -21.88	 -17.00	 1	 0	 0	 hover	 1500	 1489	 1500	 326	 0.00	 0.00	 0.00
7900	 3.72	 9.11	 -121.96	 11.93	 -28.39	 -17.00	 1	 1	 1	 hover	 1528	 1488	 1500	 309	 0.00	 0.00	 0.00
8000	 3.14	 9.88	 -119.69	 11.93	 -27.76	 -16.74	 1	 1	 1	 hover	 1527	 1488	 1500	 295	 0.00	 0.00	 0.00
8100	 3.17	 9.89	 -119.59	 11.93	 -25.27	 -17.63	 1	 1	 1	 hover	 1525	 1488	 1500	 268	 0.00	 0.00	 0.00
8200	 3.17	 9.89	 -119.59	 14.24	 -21.44	 -17.63	 1	 1	 0	 hover	 1521	 1485	 1500	 268	 0.00	 0.00	 0.00
8300	 4.00	 11.91	 -117.15	 17.18	 -25.09	 -8.10	 1	 1	 1	 hover	 1525	 1482	 1500	 356	 0.00	 0.00	 0.00
8400	 4.01	 11.99	 -117.07	 17.18	 -25.09	 -4.55	 1	 1	 1	 hover	 1525	 1482	 1500	 387	 0.00	 0.00	 0.00
8500	 4.01	 11.99	 -117.07	 19.93	 -4.55	 -3.57	 1	 1	 1	 hover	 1504	 1480	 1500	 393	 0.00	 0.00	 0.00
8600	 3.59	 12.53	 -115.55	 19.93	 -10.16	 -1.79	 1	 1	 1	 hover	 1510	 1480	 1500	 409	 0.00	 0.00	 0.00
8700	 3.60	 12.55	 -115.51	 19.93	 -10.16	 -1.25	 1	 1	 1	 hover	 1510	 1480	 1500	 413	 0.00	 0.00	 0.00
8800	 3.60	 12.55	 -115.51	 19.93	 -10.96	 -0.90	 1	 1	 1	 hover	 1510	 1480	 1500	 416	 0.00	 0.00	 0.00
8900	 3.50	 12.18	 -114.85	 20.29	 -10.83	 1.42	 1	 1	 1	 hover	 1510	 1479	 1500	 440	 0.00	 0.00	 0.00
9000	 3.42	 12.10	 -114.84	 20.29	 -11.47	 -1.16	 1	 1	 1	 hover	 1511	 1479	 1500	 413	 0.00	 0.00	 0.00
9100	 3.42	 12.10	 -114.84	 20.29	 -11.47	 -0.54	 1	 0	 1	 hover	 1500	 1479	 1500	 419	 0.00	 0.00	 0.00
9200	 3.54	 8.97	 -113.85	 20.29	 -11.47	 1.33	 0	 0	 1	 hover	 1500	 1500	 1500	 439	 0.00	 0.00	 0.00
9300	 3.59	 8.88	 -113.79	 20.29	 1.33	 -4.37	 0	 1	 1	 hover	 1498	 1500	 1500	 377	 0.00	 0.00	 0.00
9400	 3.59	 8.88	 -113.79	 20.29	 4.71	 -4.37	 0	 1	 0	 hover	 1495	 1500	 1500	 377	 0.00	 0.00	 0.00
9500	 3.79	 8.20	 -112.01	 20.29	 3.82	 -4.37	 0	 1	 0	 hover	 1496	 1500	 1500	 377	 0.00	 0.00	 0.00
9600	 3.80	 8.19	 -111.94	 20.29	 3.82	 -4.37	 0	 1	 0	 hover	 1496	 1500	 1500	 377	 0.00	 0.00	 0.00
9700	 3.80	 8.19	 -111.94	 20.29	 3.82	 -4.37	 0	 1	 1	 hover	 1496	 1500	 1500	 373	 0.00	 0.00	 0.00
9800	 4.00	 9.24	 -109.77	 20.29	 3.82	 -4.37	 0	 1	 1	 hover	 1496	 1500	 1500	 369	 0.00	 0.00	 0.00
9900	 3.97	 9.30	 -109.72	 20.29	 3.82	 -7.66	 1	 0	 1	 hover	 1500	 1479	 1500	 328	 0.00	 0.00	 0.00
10000	 3.97	 9.30	 -109.72	 19.14	 3.82	 -8.46	 1	 0	 1	 hover	 1500	 1480	 1500	 312	 0.00	 0.00	 0.00
10100	 3.57	 10.50	 -108.13	 21.09	 3.82	 -9.35	 1	 0	 1	 hover	 1500	 1478	 1500	 293	 0.00	 0.00	 0.00
10200	 3.61	 10.57	 -108.06	 22.96	 3.82	 -14.24	 1	 0	 1	 hover	 1500	 1477	 1500	 230	 0.00	 0.00	 0.00
10300	 3.61	 10.57	 -108.06	 21.89	 3.82	 -14.24	 1	 0	 0	 hover	 1500	 1478	 1500	 230	 0.00	 0.00	 0.00
10400	 3.05	 12.10	 -107.19	 19.94	 3.82	 -14.24	 1	 0	 1	 hover	 1500	 1480	 1500	 216	 0.00	 0.00	 0.00
10500	 3.04	 12.06	 -107.19	 19.94	 3.82	 -15.94	 1	 1	 1	 hover	 1496	 1480	 1500	 183	 0.00	 0.00	 0.00
10600	 3.04	 12.06	 -107.19	 19.94	 -15.94	 -15.94	 1	 1	 0	 hover	 1515	 1480	 1500	 183	 0.00	 0.00	 0.00
10700	 3.30	 11.94	 -107.80	 19.94	 -15.40	 -20.20	 1	 1	 1	 hover	 1515	 1480	 1500	 120	 0.00	 0.00	 0.00
10800	 3.30	 11.97	 -107.83	 19.94	 -18.96	 -25.54	 0	 1	 1	 hover	 1518	 1500	 1500	 41	 0.00	 0.00	 0.00
10900	 3.30	 11.97	 -107.83	 19.94	 -13.27	 -28.39	 0	 1	 1	 hover	 1513	 1500	 1500	 -14	 0.00	 0.00	 0.00
11000	 3.30	 11.47	 -109.73	 19.94	 -13.27	 -28.39	 0	 1	 1	 hover	 1513	 1500	 1500	 -43	 0.00	 0.00	 0.00
