#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 -0.53	 42.68	 -176.54	 -50.00	 -21.00	 -23.00
300	 -0.52	 42.45	 -176.55	 -44.00	 -37.00	 -15.00
400	 -0.52	 42.45	 -176.55	 -44.00	 -37.00	 -15.00
500	 0.42	 36.36	 -177.10	 -102.00	 -72.00	 -20.00
600	 0.45	 36.17	 -177.09	 -52.00	 4.00	 -24.00
700	 0.45	 36.17	 -177.09	 -52.00	 4.00	 -24.00
800	 1.21	 31.26	 -177.35	 -52.00	 -72.00	 11.00
900	 1.23	 31.09	 -177.35	 -13.00	 -5.00	 5.00
1000	 1.23	 31.09	 -177.35	 -13.00	 -5.00	 5.00
1100	 1.87	 27.07	 -177.40	 -84.00	 -55.00	 -43.00
1200	 1.86	 26.90	 -177.39	 14.00	 -22.00	 -43.00
1300	 1.86	 26.90	 -177.39	 14.00	 -22.00	 -43.00
1400	 2.41	 23.58	 -177.09	 104.00	 11.00	 -76.00
1500	 2.44	 23.51	 -177.07	 -78.00	 -31.00	 -78.00
1600	 2.44	 23.51	 -177.07	 -78.00	 -31.00	 -78.00
1700	 2.96	 21.38	 -175.66	 34.00	 100.00	 -207.00
1800	 2.94	 21.32	 -175.56	 -12.00	 -11.00	 -180.00
1900	 2.94	 21.32	 -175.56	 -12.00	 -11.00	 -180.00
2000	 3.27	 19.89	 -172.35	 -147.00	 103.00	 -234.00
2100	 3.35	 19.83	 -172.23	 -6.00	 -98.00	 -219.00
2200	 3.35	 19.83	 -172.23	 -6.00	 -98.00	 -219.00
2300	 4.18	 18.52	 -168.09	 -113.00	 -409.00	 -270.00
2400	 4.17	 18.48	 -167.93	 45.00	 -350.00	 -252.00
2500	 4.17	 18.48	 -167.93	 45.00	 -350.00	 -252.00
2600	 4.51	 13.59	 -163.69	 -54.00	 -28.00	 -228.00
2700	 4.54	 13.60	 -163.53	 -29.00	 67.00	 -246.00
2800	 4.54	 13.60	 -163.53	 -29.00	 67.00	 -246.00
2900	 4.50	 13.41	 -159.35	 17.00	 -209.00	 -166.00
3000	 4.52	 13.39	 -159.20	 154.00	 -154.00	 -132.00
3100	 4.52	 13.39	 -159.20	 154.00	 -154.00	 -132.00
3200	 3.07	 12.24	 -155.54	 169.00	 184.00	 -93.00
3300	 2.97	 12.30	 -155.41	 47.00	 50.00	 -132.00
3400	 2.97	 12.30	 -155.41	 47.00	 50.00	 -132.00
3500	 2.31	 14.35	 -152.10	 -275.00	 16.00	 -229.00
3600	 2.43	 14.31	 -152.01	 -169.00	 6.00	 -220.00
3700	 2.43	 14.31	 -152.01	 -169.00	 6.00	 -220.00
3800	 4.70	 13.94	 -148.92	 265.00	 -24.00	 -184.00
3900	 4.75	 13.91	 -148.79	 296.00	 -104.00	 -118.00
4000	 4.75	 13.91	 -148.79	 296.00	 -104.00	 -118.00
4100	 1.68	 13.05	 -145.51	 -120.00	 -208.00	 -130.00
4200	 1.66	 12.97	 -145.41	 -62.00	 -207.00	 -132.00
4300	 1.66	 12.97	 -145.41	 -62.00	 -207.00	 -132.00
4400	 2.81	 9.67	 -143.26	 -116.00	 -184.00	 -105.00
4500	 2.86	 9.59	 -143.19	 106.00	 -153.00	 -94.00
4600	 2.86	 9.59	 -143.19	 106.00	 -153.00	 -94.00
4700	 3.05	 8.50	 -141.19	 -103.00	 264.00	 -91.00
4800	 2.97	 8.57	 -141.13	 -84.00	 163.00	 -109.00
4900	 2.97	 8.57	 -141.13	 -84.00	 163.00	 -109.00
5000	 4.65	 12.56	 -138.75	 -193.00	 83.00	 -127.00
5100	 4.68	 12.59	 -138.70	 -38.00	 -61.00	 -81.00
5200	 4.68	 12.59	 -138.70	 -38.00	 -61.00	 -81.00
5300	 5.42	 12.96	 -136.84	 -109.00	 51.00	 -253.00
5400	 5.36	 12.91	 -136.78	 -9.00	 -69.00	 -220.00
5500	 5.36	 12.91	 -136.78	 -9.00	 -69.00	 -220.00
5600	 5.08	 12.08	 -133.63	 89.00	 -603.00	 -185.00
5700	 4.89	 12.00	 -133.53	 276.00	 -305.00	 -133.00
5800	 4.89	 12.00	 -133.53	 276.00	 -305.00	 -133.00
5900	 1.92	 8.05	 -131.13	 27.00	 40.00	 -107.00
6000	 1.84	 8.24	 -131.03	 100.00	 107.00	 -111.00
6100	 1.84	 8.24	 -131.03	 100.00	 107.00	 -111.00
6200	 0.42	 10.54	 -128.65	 -68.00	 32.00	 -122.00
6300	 0.42	 10.58	 -128.57	 6.00	 26.00	 -90.00
6400	 0.42	 10.58	 -128.57	 6.00	 26.00	 -90.00
6500	 1.70	 11.78	 -126.93	 -235.00	 148.00	 -132.00
6600	 1.75	 11.83	 -126.87	 -338.00	 72.00	 -121.00
6700	 1.75	 11.83	 -126.87	 -338.00	 72.00	 -121.00
6800	 4.59	 12.53	 -125.18	 -142.00	 -289.00	 -65.00
6900	 4.65	 12.46	 -125.14	 -10.00	 -453.00	 -79.00
7000	 4.65	 12.46	 -125.14	 -10.00	 -453.00	 -79.00
7100	 5.09	 8.11	 -124.55	 57.00	 57.00	 -68.00
7200	 5.07	 8.05	 -124.51	 93.00	 64.00	 -57.00
7300	 5.07	 8.05	 -124.51	 93.00	 64.00	 -57.00
7400	 3.74	 9.98	 -123.35	 10.00	 -29.00	 -80.00
7500	 3.75	 10.02	 -123.30	 -205.00	 -28.00	 -129.00
7600	 3.75	 10.02	 -123.30	 -205.00	 -28.00	 -129.00
7700	 3.72	 9.12	 -122.02	 -20.00	 26.00	 -131.00
7800	 3.72	 9.11	 -121.96	 -42.00	 30.00	 -128.00
7900	 3.72	 9.11	 -121.96	 -42.00	 30.00	 -128.00
8000	 3.14	 9.88	 -119.69	 -29.00	 10.00	 -120.00
8100	 3.17	 9.89	 -119.59	 -133.00	 111.00	 -125.00
8200	 3.17	 9.89	 -119.59	 -133.00	 111.00	 -125.00
8300	 4.00	 11.91	 -117.15	 -4.00	 46.00	 -139.00
8400	 4.01	 11.99	 -117.07	 -28.00	 12.00	 -40.00
8500	 4.01	 11.99	 -117.07	 -28.00	 12.00	 -40.00
8600	 3.59	 12.53	 -115.55	 18.00	 -69.00	 -25.00
8700	 3.60	 12.55	 -115.51	 -126.00	 -45.00	 -22.00
8800	 3.60	 12.55	 -115.51	 -126.00	 -45.00	 -22.00
8900	 3.50	 12.18	 -114.85	 -64.00	 -254.00	 -116.00
9000	 3.42	 12.10	 -114.84	 -76.00	 -174.00	 -94.00
9100	 3.42	 12.10	 -114.84	 -76.00	 -174.00	 -94.00
9200	 3.54	 8.97	 -113.85	 -47.00	 -109.00	 -135.00
9300	 3.59	 8.88	 -113.79	 -6.00	 -109.00	 -84.00
9400	 3.59	 8.88	 -113.79	 -6.00	 -109.00	 -84.00
9500	 3.79	 8.20	 -112.01	 -29.00	 -51.00	 -110.00
9600	 3.80	 8.19	 -111.94	 -99.00	 146.00	 -183.00
9700	 3.80	 8.19	 -111.94	 -99.00	 146.00	 -183.00
9800	 4.00	 9.24	 -109.77	 -43.00	 -61.00	 -64.00
9900	 3.97	 9.30	 -109.72	 -56.00	 136.00	 -129.00
10000	 3.97	 9.30	 -109.72	 -56.00	 136.00	 -129.00
10100	 3.57	 10.50	 -108.13	 17.00	 202.00	 -80.00
10200	 3.61	 10.57	 -108.06	 -29.00	 42.00	 -62.00
10300	 3.61	 10.57	 -108.06	 -29.00	 42.00	 -62.00
10400	 3.05	 12.10	 -107.19	 88.00	 44.00	 -1.00
10500	 3.04	 12.06	 -107.19	 -234.00	 74.00	 -6.00
10600	 3.04	 12.06	 -107.19	 -234.00	 74.00	 -6.00
10700	 3.30	 11.94	 -107.80	 -31.00	 -49.00	 112.00
10800	 3.30	 11.97	 -107.83	 -95.00	 -49.00	 115.00
10900	 3.30	 11.97	 -107.83	 -95.00	 -49.00	 115.00
11000	 3.30	 11.47	 -109.73	 -224.00	 -66.00	 100.00
11100	 3.26	 11.42	 -109.83	 -230.00	 -311.00	 164.00
11200	 3.26	 11.42	 -109.83	 -230.00	 -311.00	 164.00
11300	 5.37	 9.40	 -112.43	 -87.00	 -183.00	 126.00
