#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	0 
300	 -1.00 	0 	0.00 	1.00 	1 	0 
400	 -1.00 	0 	0.00 	1.00 	2 	0 
500	 -1.00 	0 	0.00 	1.00 	3 	0 
600	 180.98 	0 	108.59 	72.39 	3 	72.39 
700	 179.73 	0 	151.27 	28.46 	0 	28.46 
800	 174.57 	0 	165.25 	9.32 	0 	9.32 
900	 184.09 	0 	176.55 	7.54 	0 	7.54 
1000	 182.94 	0 	180.39 	2.55 	0 	-1 
1100	 172.79 	0 	175.83 	3.04 	0 	3.04 
1200	 172.79 	0 	175.83 	3.04 	1 	3.04 
1300	 172.79 	0 	175.83 	3.04 	2 	3.04 
1400	 190.41 	0 	184.58 	5.83 	0 	5.83 
1500	 190.41 	0 	188.08 	2.33 	0 	-1 
1600	 172.53 	0 	178.75 	6.22 	0 	6.22 
1700	 183.20 	0 	181.42 	1.78 	0 	-1 
1800	 171.10 	0 	175.23 	4.13 	0 	4.13 
1900	 171.10 	0 	175.23 	4.13 	1 	4.13 
2000	 171.10 	0 	175.23 	4.13 	2 	4.13 
2100	 171.10 	0 	175.23 	4.13 	3 	4.13 
2200	 184.54 	0 	180.82 	3.72 	0 	3.72 
2300	 184.54 	0 	180.82 	3.72 	1 	3.72 
2400	 171.81 	0 	175.41 	3.60 	0 	3.60 
2500	 166.21 	0 	169.89 	3.68 	0 	3.68 
2600	 173.15 	1 	171.85 	1.30 	0 	-3 
2700	 170.75 	1 	171.19 	0.44 	0 	-3 
2800	 155.26 	0 	161.63 	6.37 	0 	6.37 
2900	 175.02 	0 	169.66 	5.36 	0 	5.36 
3000	 166.47 	1 	167.75 	1.28 	0 	-3 
3100	 156.77 	0 	161.16 	4.39 	0 	4.39 
3200	 168.88 	0 	165.79 	3.09 	0 	3.09 
3300	 163.80 	1 	164.60 	0.80 	0 	-3 
3400	 163.54 	1 	163.96 	0.42 	0 	-3 
3500	 162.65 	1 	163.18 	0.53 	0 	-3 
3600	 160.69 	1 	161.68 	0.99 	0 	-3 
3700	 167.90 	1 	165.41 	2.49 	0 	-3 
3800	 156.86 	0 	160.28 	3.42 	0 	3.42 
3900	 162.29 	1 	161.49 	0.80 	0 	-3 
4000	 160.78 	1 	161.06 	0.28 	0 	-3 
