#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	1 	0 
300	 -1.00 	0 	0.00 	1.00 	2 	0 
400	 -1.00 	0 	0.00 	1.00 	3 	0 
500	 133.82 	0 	80.29 	53.53 	3 	53.53 
600	 115.93 	0 	101.67 	14.26 	0 	14.26 
700	 120.20 	0 	112.79 	7.41 	0 	7.41 
800	 120.20 	0 	112.79 	7.41 	1 	7.41 
900	 138.26 	0 	128.07 	10.19 	0 	10.19 
1000	 139.96 	0 	135.20 	4.76 	0 	4.76 
1100	 122.07 	0 	127.32 	5.25 	0 	5.25 
1200	 120.38 	0 	123.16 	2.78 	0 	-1 
1300	 105.25 	0 	112.41 	7.16 	0 	7.16 
1400	 105.25 	0 	112.41 	7.16 	1 	7.16 
1500	 111.75 	0 	112.02 	0.27 	0 	-1 
1600	 120.20 	0 	116.93 	3.27 	0 	3.27 
1700	 120.20 	0 	116.93 	3.27 	1 	3.27 
1800	 138.00 	0 	129.57 	8.43 	0 	8.43 
1900	 138.00 	0 	129.57 	8.43 	1 	8.43 
2000	 118.69 	0 	123.04 	4.35 	0 	4.35 
2100	 136.75 	0 	131.27 	5.48 	0 	5.48 
2200	 133.73 	0 	132.74 	0.99 	0 	-1 
2300	 133.73 	0 	132.74 	0.99 	1 	-1 
2400	 133.73 	0 	132.74 	0.99 	2 	-1 
2500	 133.73 	0 	132.74 	0.99 	3 	-1 
2600	 128.48 	1 	130.19 	1.71 	0 	-3 
2700	 128.12 	1 	128.95 	0.83 	0 	-3 
2800	 125.09 	1 	126.63 	1.54 	0 	-3 
2900	 127.23 	1 	126.99 	0.24 	0 	-3 
3000	 125.27 	1 	125.96 	0.69 	0 	-3 
3100	 124.56 	1 	125.12 	0.56 	0 	-3 
3200	 119.93 	1 	122.01 	2.08 	0 	-3 
3300	 126.87 	1 	124.92 	1.95 	0 	-3 
3400	 125.45 	1 	125.24 	0.21 	0 	-3 
3500	 126.96 	1 	126.27 	0.69 	0 	-3 
3600	 126.61 	1 	126.47 	0.14 	0 	-3 
3700	 129.90 	1 	128.53 	1.37 	0 	-3 
3800	 128.65 	1 	128.60 	0.05 	0 	-3 
3900	 128.74 	1 	128.68 	0.06 	0 	-3 
4000	 129.28 	1 	129.04 	0.24 	0 	-3 
4100	 127.14 	1 	127.90 	0.76 	0 	-3 
4200	 126.96 	1 	127.34 	0.38 	0 	-3 
