#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 3.87	 2.35	 0.00	 1	 1	 1	 hover	 1495	 1507	 1500	 1000	 0.00	 0.00	 0.00
600	 3.27	 6.99	 0.32	 1	 1	 1	 hover	 1486	 1506	 1500	 1003	 0.00	 0.00	 0.00
700	 -1.01	 11.61	 -1.35	 1	 1	 1	 hover	 1476	 1497	 1500	 984	 0.00	 0.00	 0.00
800	 -22.91	 5.19	 -0.63	 1	 1	 1	 hover	 1489	 1454	 1500	 990	 0.00	 0.00	 0.00
900	 -23.97	 1.91	 -0.31	 1	 1	 1	 hover	 1496	 1452	 1500	 992	 0.00	 0.00	 0.00
1000	 -40.44	 1.27	 -1.85	 1	 1	 1	 hover	 1497	 1419	 1500	 973	 0.00	 0.00	 0.00
1100	 -23.17	 -3.93	 -1.12	 1	 1	 1	 hover	 1507	 1453	 1500	 978	 0.00	 0.00	 0.00
1200	 -18.50	 -5.06	 -0.84	 1	 1	 1	 hover	 1510	 1462	 1500	 980	 0.00	 0.00	 0.00
1300	 19.52	 0.73	 -0.67	 1	 1	 1	 hover	 1498	 1539	 1500	 980	 0.00	 0.00	 0.00
1400	 34.38	 0.24	 -2.48	 1	 1	 1	 hover	 1499	 1568	 1500	 957	 0.00	 0.00	 0.00
1500	 6.33	 -3.11	 0.05	 1	 1	 1	 hover	 1506	 1512	 1500	 982	 0.00	 0.00	 0.00
1600	 21.30	 0.01	 -0.81	 1	 1	 1	 hover	 1499	 1542	 1500	 972	 0.00	 0.00	 0.00
1700	 0.27	 1.74	 -1.11	 1	 1	 1	 hover	 1496	 1500	 1500	 967	 0.00	 0.00	 0.00
1800	 -2.21	 2.66	 0.39	 1	 1	 1	 hover	 1494	 1495	 1500	 983	 0.00	 0.00	 0.00
1900	 13.58	 3.73	 0.86	 1	 1	 1	 hover	 1492	 1527	 1500	 989	 0.00	 0.00	 0.00
2000	 22.61	 4.89	 0.96	 1	 1	 1	 hover	 1490	 1545	 1500	 992	 0.00	 0.00	 0.00
2100	 4.51	 2.76	 1.08	 1	 1	 1	 hover	 1494	 1509	 1500	 995	 0.00	 0.00	 0.00
2200	 -13.11	 3.41	 0.54	 1	 1	 1	 hover	 1493	 1473	 1500	 991	 0.00	 0.00	 0.00
2300	 -2.87	 -0.06	 0.55	 1	 1	 1	 hover	 1500	 1494	 1500	 992	 0.00	 0.00	 0.00
2400	 -3.30	 4.20	 0.89	 1	 1	 1	 hover	 1491	 1493	 1500	 997	 0.00	 0.00	 0.00
2500	 2.98	 4.28	 0.47	 1	 1	 1	 hover	 1491	 1505	 1500	 994	 0.00	 0.00	 0.00
