#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 0	 1	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 0.00	 -1.60	 0.00	 1	 1	 0	 hover	 1503	 1500	 1500	 1000	 0.00	 0.00	 0.00
600	 3.25	 0.56	 0.00	 1	 1	 1	 hover	 1498	 1506	 1500	 1000	 0.00	 0.00	 0.00
700	 9.89	 -0.11	 0.10	 1	 1	 1	 hover	 1500	 1519	 1500	 1001	 0.00	 0.00	 0.00
800	 9.03	 -1.28	 -0.14	 1	 1	 1	 hover	 1502	 1518	 1500	 998	 0.00	 0.00	 0.00
900	 15.16	 4.06	 -0.21	 1	 1	 1	 hover	 1491	 1530	 1500	 997	 0.00	 0.00	 0.00
1000	 9.64	 -7.30	 -0.50	 1	 1	 1	 hover	 1514	 1519	 1500	 993	 0.00	 0.00	 0.00
1100	 18.09	 7.40	 -0.48	 1	 1	 1	 hover	 1485	 1536	 1500	 992	 0.00	 0.00	 0.00
1200	 8.53	 6.78	 -0.98	 1	 1	 1	 hover	 1486	 1517	 1500	 985	 0.00	 0.00	 0.00
1300	 10.21	 3.23	 -1.05	 1	 1	 1	 hover	 1493	 1520	 1500	 983	 0.00	 0.00	 0.00
1400	 12.57	 -5.26	 -3.79	 1	 1	 1	 hover	 1510	 1525	 1500	 948	 0.00	 0.00	 0.00
1500	 10.69	 6.91	 -21.74	 1	 1	 1	 hover	 1486	 1521	 1500	 725	 0.00	 0.00	 0.00
1600	 20.69	 5.91	 -21.74	 1	 1	 1	 hover	 1488	 1541	 1500	 681	 0.00	 0.00	 0.00
1700	 3.85	 10.05	 -21.74	 1	 1	 0	 hover	 1479	 1507	 1500	 681	 0.00	 0.00	 0.00
1800	 19.68	 17.71	 -21.74	 1	 1	 1	 hover	 1464	 1539	 1500	 638	 0.00	 0.00	 0.00
1900	 12.05	 4.77	 -21.79	 1	 1	 1	 hover	 1490	 1524	 1500	 593	 0.00	 0.00	 0.00
2000	 -15.11	 3.74	 -28.42	 1	 1	 1	 hover	 1492	 1469	 1500	 470	 0.00	 0.00	 0.00
2100	 -6.70	 -4.25	 -32.88	 1	 1	 1	 hover	 1508	 1486	 1500	 360	 0.00	 0.00	 0.00
2200	 4.29	 5.16	 -41.09	 1	 1	 1	 hover	 1489	 1508	 1500	 196	 0.00	 0.00	 0.00
2300	 0.21	 -13.48	 -42.65	 1	 1	 1	 hover	 1526	 1500	 1500	 95	 0.00	 0.00	 0.00
2400	 -3.54	 -16.78	 -46.89	 1	 1	 1	 hover	 1533	 1492	 1500	 -40	 0.00	 0.00	 0.00
2500	 5.43	 -18.95	 -48.98	 1	 1	 1	 hover	 1537	 1510	 1500	 -159	 0.00	 0.00	 0.00
