#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 57.62	 32.18	 -30.52	 35.00	 4.00	 -3.00
300	 57.56	 32.29	 -30.84	 55.00	 48.00	 -16.00
400	 57.56	 32.29	 -30.84	 55.00	 48.00	 -16.00
500	 55.41	 32.77	 -37.95	 99.00	 -10.00	 24.00
600	 55.25	 32.77	 -38.19	 -66.00	 65.00	 -45.00
700	 55.25	 32.77	 -38.19	 -66.00	 65.00	 -45.00
800	 49.50	 31.54	 -44.20	 -30.00	 125.00	 -58.00
900	 49.28	 31.49	 -44.37	 -6.00	 18.00	 -69.00
1000	 49.28	 31.49	 -44.37	 -6.00	 18.00	 -69.00
1100	 42.55	 28.46	 -48.18	 -102.00	 -32.00	 -166.00
1200	 42.32	 28.33	 -48.25	 -26.00	 -54.00	 -183.00
1300	 42.32	 28.33	 -48.25	 -26.00	 -54.00	 -183.00
1400	 36.60	 23.07	 -48.67	 168.00	 84.00	 -242.00
1500	 36.47	 22.93	 -48.62	 136.00	 36.00	 -128.00
1600	 36.47	 22.93	 -48.62	 136.00	 36.00	 -128.00
1700	 29.89	 19.11	 -48.43	 98.00	 -40.00	 -29.00
1800	 29.67	 19.04	 -48.46	 157.00	 84.00	 -30.00
1900	 29.67	 19.04	 -48.46	 157.00	 84.00	 -30.00
2000	 23.87	 17.08	 -49.69	 31.00	 -34.00	 89.00
2100	 23.67	 17.01	 -49.75	 39.00	 -120.00	 107.00
2200	 23.67	 17.01	 -49.75	 39.00	 -120.00	 107.00
2300	 19.01	 15.58	 -51.39	 -13.00	 -3.00	 87.00
2400	 18.82	 15.50	 -51.43	 -35.00	 102.00	 12.00
2500	 18.82	 15.50	 -51.43	 -35.00	 102.00	 12.00
2600	 14.70	 14.28	 -52.50	 216.00	 55.00	 72.00
2700	 14.54	 14.19	 -52.57	 256.00	 77.00	 84.00
2800	 14.54	 14.19	 -52.57	 256.00	 77.00	 84.00
2900	 8.22	 13.00	 -54.75	 192.00	 17.00	 126.00
3000	 8.10	 13.01	 -54.84	 14.00	 -78.00	 154.00
3100	 8.10	 13.01	 -54.84	 14.00	 -78.00	 154.00
3200	 5.10	 11.85	 -57.25	 -30.00	 157.00	 64.00
3300	 5.01	 11.79	 -57.32	 105.00	 -14.00	 156.00
3400	 5.01	 11.79	 -57.32	 105.00	 -14.00	 156.00
3500	 3.78	 11.44	 -59.19	 -15.00	 119.00	 48.00
3600	 3.75	 11.37	 -59.23	 -36.00	 149.00	 12.00
3700	 3.75	 11.37	 -59.23	 -36.00	 149.00	 12.00
3800	 2.72	 11.00	 -59.99	 42.00	 -47.00	 20.00
3900	 2.71	 10.94	 -59.98	 4.00	 -8.00	 0.00
4000	 2.71	 10.94	 -59.98	 4.00	 -8.00	 0.00
4100	 2.62	 9.98	 -59.69	 87.00	 -33.00	 -13.00
4200	 2.65	 9.95	 -59.68	 -52.00	 6.00	 -8.00
4300	 2.65	 9.95	 -59.68	 -52.00	 6.00	 -8.00
4400	 2.18	 8.43	 -59.86	 -1.00	 -146.00	 17.00
4500	 2.14	 8.33	 -59.87	 47.00	 -157.00	 16.00
4600	 2.14	 8.33	 -59.87	 47.00	 -157.00	 16.00
4700	 1.46	 6.06	 -60.47	 80.00	 181.00	 77.00
4800	 1.43	 6.02	 -60.51	 51.00	 -11.00	 133.00
4900	 1.43	 6.02	 -60.51	 51.00	 -11.00	 133.00
5000	 -0.03	 7.15	 -62.03	 18.00	 69.00	 35.00
5100	 -0.02	 7.15	 -62.07	 35.00	 -70.00	 88.00
5200	 -0.02	 7.15	 -62.07	 35.00	 -70.00	 88.00
5300	 -0.61	 7.38	 -62.78	 23.00	 174.00	 98.00
5400	 -0.60	 7.44	 -62.81	 75.00	 190.00	 33.00
5500	 -0.60	 7.44	 -62.81	 75.00	 190.00	 33.00
5600	 -0.93	 9.91	 -63.54	 41.00	 -63.00	 10.00
5700	 -0.93	 9.82	 -63.56	 119.00	 -12.00	 61.00
5800	 -0.93	 9.82	 -63.56	 119.00	 -12.00	 61.00
5900	 -1.11	 8.37	 -64.43	 10.00	 171.00	 13.00
6000	 -1.15	 8.36	 -64.46	 77.00	 -102.00	 157.00
6100	 -1.15	 8.36	 -64.46	 77.00	 -102.00	 157.00
6200	 -1.80	 8.38	 -65.66	 66.00	 -20.00	 -20.00
6300	 -1.86	 8.38	 -65.66	 122.00	 9.00	 -75.00
6400	 -1.86	 8.38	 -65.66	 122.00	 9.00	 -75.00
6500	 -2.10	 8.34	 -64.50	 11.00	 -73.00	 -45.00
6600	 -2.10	 8.33	 -64.45	 84.00	 84.00	 -79.00
6700	 -2.10	 8.33	 -64.45	 84.00	 84.00	 -79.00
6800	 -2.02	 7.40	 -63.48	 104.00	 -56.00	 57.00
6900	 -1.99	 7.35	 -63.48	 -5.00	 -32.00	 90.00
7000	 -1.99	 7.35	 -63.48	 -5.00	 -32.00	 90.00
7100	 -1.82	 6.71	 -64.34	 18.00	 -194.00	 105.00
7200	 -1.80	 6.75	 -64.38	 129.00	 -229.00	 106.00
7300	 -1.80	 6.75	 -64.38	 129.00	 -229.00	 106.00
7400	 -2.67	 5.31	 -64.99	 209.00	 10.00	 34.00
7500	 -2.73	 5.31	 -65.01	 189.00	 83.00	 -30.00
7600	 -2.73	 5.31	 -65.01	 189.00	 83.00	 -30.00
7700	 -5.15	 6.05	 -64.93	 3.00	 59.00	 -23.00
7800	 -5.13	 6.09	 -64.90	 -99.00	 187.00	 -81.00
7900	 -5.13	 6.09	 -64.90	 -99.00	 187.00	 -81.00
8000	 -3.74	 7.33	 -64.53	 37.00	 187.00	 -22.00
8100	 -3.66	 7.39	 -64.53	 86.00	 169.00	 -34.00
8200	 -3.66	 7.39	 -64.53	 86.00	 169.00	 -34.00
8300	 -2.62	 8.73	 -64.60	 5.00	 59.00	 -60.00
8400	 -2.64	 8.73	 -64.57	 101.00	 -62.00	 -187.00
8500	 -2.64	 8.73	 -64.57	 101.00	 -62.00	 -187.00
8600	 -2.40	 7.73	 -62.45	 63.00	 -22.00	 -194.00
8700	 -2.38	 7.74	 -62.33	 59.00	 -55.00	 -92.00
8800	 -2.38	 7.74	 -62.33	 59.00	 -55.00	 -92.00
8900	 -2.63	 6.98	 -59.86	 -13.00	 117.00	 -1.00
9000	 -2.67	 6.95	 -59.83	 -66.00	 97.00	 12.00
9100	 -2.67	 6.95	 -59.83	 -66.00	 97.00	 12.00
9200	 -2.23	 7.67	 -60.09	 80.00	 -208.00	 31.00
9300	 -2.22	 7.63	 -60.13	 139.00	 -140.00	 32.00
9400	 -2.22	 7.63	 -60.13	 139.00	 -140.00	 32.00
9500	 -2.12	 4.38	 -61.30	 110.00	 -50.00	 192.00
9600	 -2.14	 4.33	 -61.36	 81.00	 -111.00	 230.00
9700	 -2.14	 4.33	 -61.36	 81.00	 -111.00	 230.00
9800	 -2.74	 3.99	 -64.29	 23.00	 -184.00	 231.00
9900	 -2.78	 3.99	 -64.39	 -30.00	 29.00	 165.00
10000	 -2.78	 3.99	 -64.39	 -30.00	 29.00	 165.00
10100	 -3.35	 4.57	 -66.94	 98.00	 142.00	 78.00
10200	 -3.38	 4.65	 -67.01	 71.00	 209.00	 -10.00
10300	 -3.38	 4.65	 -67.01	 71.00	 209.00	 -10.00
10400	 -4.43	 6.10	 -68.24	 40.00	 5.00	 84.00
10500	 -4.45	 6.11	 -68.28	 95.00	 -5.00	 65.00
10600	 -4.45	 6.11	 -68.28	 95.00	 -5.00	 65.00
10700	 -4.49	 4.92	 -69.69	 143.00	 -71.00	 111.00
10800	 -4.52	 4.91	 -69.77	 180.00	 108.00	 113.00
10900	 -4.52	 4.91	 -69.77	 180.00	 108.00	 113.00
11000	 -6.78	 4.25	 -72.09	 14.00	 -9.00	 181.00
11100	 -6.92	 4.28	 -72.18	 63.00	 200.00	 124.00
11200	 -6.92	 4.28	 -72.18	 63.00	 200.00	 124.00
11300	 -6.68	 5.54	 -75.09	 39.00	 -50.00	 144.00
11400	 -6.65	 5.60	 -75.20	 -64.00	 -12.00	 135.00
11500	 -6.65	 5.60	 -75.20	 -64.00	 -12.00	 135.00
11600	 -5.09	 6.27	 -76.87	 35.00	 -30.00	 -30.00
11700	 -5.08	 6.34	 -76.87	 6.00	 45.00	 -167.00
11800	 -5.08	 6.34	 -76.87	 6.00	 45.00	 -167.00
11900	 -3.84	 7.30	 -75.34	 241.00	 33.00	 -220.00
12000	 -2.66	 7.66	 -75.21	 851.00	 -16.00	 -227.00
12100	 -2.66	 7.66	 -75.21	 851.00	 -16.00	 -227.00
12200	 0.94	 6.71	 -71.23	 272.00	 -256.00	 -200.00
