#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 0.86	 -2.53	 1.02	 1	 1	 1	 hover	 1505	 1501	 1500	 1012	 0.00	 0.00	 0.00
600	 7.24	 -7.33	 0.37	 1	 1	 1	 hover	 1514	 1514	 1500	 1006	 0.00	 0.00	 0.00
700	 7.55	 -4.22	 0.17	 1	 1	 1	 hover	 1508	 1515	 1500	 1004	 0.00	 0.00	 0.00
800	 5.17	 -5.30	 0.90	 1	 1	 1	 hover	 1510	 1510	 1500	 1013	 0.00	 0.00	 0.00
900	 2.66	 -7.59	 1.20	 1	 1	 1	 hover	 1515	 1505	 1500	 1019	 0.00	 0.00	 0.00
1000	 3.30	 -8.38	 -0.55	 1	 1	 1	 hover	 1516	 1506	 1500	 1000	 0.00	 0.00	 0.00
1100	 4.35	 -3.13	 0.22	 1	 1	 1	 hover	 1506	 1508	 1500	 1008	 0.00	 0.00	 0.00
1200	 10.20	 -5.78	 0.10	 1	 1	 1	 hover	 1511	 1520	 1500	 1007	 0.00	 0.00	 0.00
1300	 23.09	 -8.46	 -0.69	 1	 1	 1	 hover	 1516	 1546	 1500	 998	 0.00	 0.00	 0.00
1400	 27.87	 -4.81	 0.07	 1	 1	 1	 hover	 1509	 1555	 1500	 1006	 0.00	 0.00	 0.00
1500	 16.79	 -5.59	 -1.13	 1	 1	 1	 hover	 1511	 1533	 1500	 992	 0.00	 0.00	 0.00
1600	 15.10	 -6.97	 1.03	 1	 1	 1	 hover	 1513	 1530	 1500	 1015	 0.00	 0.00	 0.00
1700	 15.09	 -4.89	 0.09	 1	 1	 1	 hover	 1509	 1530	 1500	 1006	 0.00	 0.00	 0.00
1800	 15.28	 -7.28	 1.51	 1	 1	 1	 hover	 1514	 1530	 1500	 1023	 0.00	 0.00	 0.00
1900	 16.46	 -3.94	 1.47	 1	 1	 1	 hover	 1507	 1532	 1500	 1026	 0.00	 0.00	 0.00
2000	 18.07	 6.65	 -0.13	 1	 1	 1	 hover	 1486	 1536	 1500	 1010	 0.00	 0.00	 0.00
2100	 12.83	 2.18	 -0.95	 1	 1	 1	 hover	 1495	 1525	 1500	 999	 0.00	 0.00	 0.00
2200	 26.56	 -9.34	 -2.07	 1	 1	 1	 hover	 1518	 1553	 1500	 984	 0.00	 0.00	 0.00
2300	 24.74	 -10.37	 -5.61	 1	 1	 1	 hover	 1520	 1549	 1500	 937	 0.00	 0.00	 0.00
2400	 16.13	 -11.82	 -5.61	 1	 1	 0	 hover	 1523	 1532	 1500	 937	 0.00	 0.00	 0.00
2500	 20.79	 -4.38	 -5.61	 1	 1	 1	 hover	 1508	 1541	 1500	 926	 0.00	 0.00	 0.00
