#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 10.52	 51.99	 -143.79	 -14.00	 -39.00	 22.00
300	 10.42	 51.66	 -144.03	 3.00	 -27.00	 33.00
400	 10.42	 51.66	 -144.03	 3.00	 -27.00	 33.00
500	 9.41	 43.06	 -149.17	 -129.00	 -61.00	 34.00
600	 9.35	 42.75	 -149.31	 -91.00	 -31.00	 19.00
700	 9.35	 42.75	 -149.31	 -91.00	 -31.00	 19.00
800	 8.44	 35.39	 -152.48	 -48.00	 -42.00	 20.00
900	 8.43	 35.20	 -152.55	 13.00	 -26.00	 52.00
1000	 8.43	 35.20	 -152.55	 13.00	 -26.00	 52.00
1100	 7.68	 29.04	 -154.69	 -88.00	 -40.00	 72.00
1200	 7.65	 28.78	 -154.74	 8.00	 -35.00	 153.00
1300	 7.65	 28.78	 -154.74	 8.00	 -35.00	 153.00
1400	 7.09	 23.83	 -156.31	 -119.00	 -53.00	 96.00
1500	 7.10	 23.67	 -156.36	 -76.00	 -20.00	 -31.00
1600	 7.10	 23.67	 -156.36	 -76.00	 -20.00	 -31.00
1700	 6.78	 19.48	 -157.24	 67.00	 28.00	 -83.00
1800	 6.80	 19.37	 -157.27	 -130.00	 -55.00	 -49.00
1900	 6.80	 19.37	 -157.27	 -130.00	 -55.00	 -49.00
2000	 6.98	 15.87	 -156.51	 -171.00	 -143.00	 -112.00
2100	 7.03	 15.78	 -156.45	 95.00	 81.00	 -220.00
2200	 7.03	 15.78	 -156.45	 95.00	 81.00	 -220.00
2300	 7.24	 12.37	 -153.90	 25.00	 66.00	 -177.00
2400	 7.23	 12.25	 -153.82	 -110.00	 -25.00	 -51.00
2500	 7.23	 12.25	 -153.82	 -110.00	 -25.00	 -51.00
2600	 7.28	 10.76	 -151.67	 -106.00	 96.00	 -167.00
2700	 7.27	 10.66	 -151.62	 6.00	 -58.00	 -77.00
2800	 7.27	 10.66	 -151.62	 6.00	 -58.00	 -77.00
2900	 7.78	 9.42	 -149.98	 -11.00	 -48.00	 -128.00
3000	 7.78	 9.36	 -149.92	 9.00	 -128.00	 -72.00
3100	 7.78	 9.36	 -149.92	 9.00	 -128.00	 -72.00
3200	 7.70	 7.63	 -148.13	 -74.00	 -39.00	 -114.00
3300	 7.75	 7.59	 -148.06	 -124.00	 74.00	 -177.00
3400	 7.75	 7.59	 -148.06	 -124.00	 74.00	 -177.00
3500	 7.65	 6.39	 -146.08	 -94.00	 59.00	 -140.00
3600	 7.64	 6.37	 -146.02	 -160.00	 -60.00	 -128.00
3700	 7.64	 6.37	 -146.02	 -160.00	 -60.00	 -128.00
3800	 8.17	 5.75	 -143.91	 237.00	 -119.00	 -131.00
3900	 8.10	 5.73	 -143.83	 224.00	 -261.00	 -41.00
4000	 8.10	 5.73	 -143.83	 224.00	 -261.00	 -41.00
4100	 5.18	 4.02	 -141.66	 -74.00	 -156.00	 -59.00
4200	 5.23	 4.06	 -141.60	 -25.00	 -111.00	 -19.00
