#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 12.55	 35.40	 -129.23	 11.00	 -10.00	 -6.00
300	 12.48	 35.18	 -129.31	 3.00	 -12.00	 -18.00
400	 12.48	 35.18	 -129.31	 3.00	 -12.00	 -18.00
500	 10.63	 29.51	 -131.11	 8.00	 -16.00	 -9.00
600	 10.55	 29.33	 -131.16	 -9.00	 -4.00	 -2.00
700	 10.55	 29.33	 -131.16	 -9.00	 -4.00	 -2.00
800	 8.93	 24.67	 -132.27	 -52.00	 4.00	 -16.00
900	 8.86	 24.51	 -132.31	 56.00	 -14.00	 16.00
1000	 8.86	 24.51	 -132.31	 56.00	 -14.00	 16.00
1100	 7.57	 20.84	 -132.99	 47.00	 -36.00	 41.00
1200	 7.46	 20.67	 -133.02	 50.00	 -21.00	 -17.00
1300	 7.46	 20.67	 -133.02	 50.00	 -21.00	 -17.00
1400	 6.32	 17.70	 -133.47	 9.00	 12.00	 -28.00
1500	 6.22	 17.61	 -133.47	 -2.00	 10.00	 -31.00
1600	 6.22	 17.61	 -133.47	 -2.00	 10.00	 -31.00
1700	 5.40	 15.10	 -133.76	 110.00	 -11.00	 -3.00
1800	 5.42	 15.06	 -133.76	 32.00	 -40.00	 54.00
1900	 5.42	 15.06	 -133.76	 32.00	 -40.00	 54.00
2000	 4.61	 13.04	 -133.97	 -16.00	 -10.00	 -1.00
2100	 4.64	 12.97	 -133.98	 45.00	 70.00	 -98.00
2200	 4.64	 12.97	 -133.98	 45.00	 70.00	 -98.00
2300	 4.04	 11.35	 -134.14	 29.00	 -86.00	 50.00
2400	 4.01	 11.29	 -134.14	 19.00	 -49.00	 72.00
2500	 4.01	 11.29	 -134.14	 19.00	 -49.00	 72.00
2600	 3.16	 9.99	 -134.27	 35.00	 -65.00	 -127.00
2700	 3.11	 9.92	 -134.25	 148.00	 -24.00	 -141.00
2800	 3.11	 9.92	 -134.25	 148.00	 -24.00	 -141.00
2900	 1.01	 8.68	 -132.48	 82.00	 -105.00	 -171.00
3000	 0.98	 8.64	 -132.38	 -197.00	 30.00	 -51.00
3100	 0.98	 8.64	 -132.38	 -197.00	 30.00	 -51.00
3200	 0.83	 7.20	 -130.61	 58.00	 5.00	 27.00
3300	 0.83	 7.20	 -130.59	 -4.00	 -72.00	 77.00
3400	 0.83	 7.20	 -130.59	 -4.00	 -72.00	 77.00
3500	 0.04	 6.53	 -131.43	 -9.00	 22.00	 90.00
3600	 0.02	 6.56	 -131.49	 57.00	 11.00	 61.00
3700	 0.02	 6.56	 -131.49	 57.00	 11.00	 61.00
3800	 0.02	 6.79	 -132.56	 50.00	 50.00	 94.00
3900	 -0.05	 6.76	 -132.60	 -11.00	 25.00	 108.00
4000	 -0.05	 6.76	 -132.60	 -11.00	 25.00	 108.00
4100	 -0.38	 6.45	 -133.97	 -120.00	 60.00	 116.00
4200	 -0.41	 6.43	 -134.04	 126.00	 -34.00	 197.00
4300	 -0.41	 6.43	 -134.04	 126.00	 -34.00	 197.00
4400	 -0.43	 6.39	 -136.42	 -137.00	 -57.00	 85.00
4500	 -0.45	 6.39	 -136.49	 -11.00	 -70.00	 92.00
4600	 -0.45	 6.39	 -136.49	 -11.00	 -70.00	 92.00
4700	 -0.40	 5.96	 -138.30	 27.00	 -62.00	 62.00
4800	 -0.47	 5.92	 -138.35	 162.00	 -68.00	 36.00
4900	 -0.47	 5.92	 -138.35	 162.00	 -68.00	 36.00
5000	 -0.79	 5.88	 -139.44	 -164.00	 -9.00	 82.00
5100	 -0.79	 5.90	 -139.49	 6.00	 -63.00	 141.00
5200	 -0.79	 5.90	 -139.49	 6.00	 -63.00	 141.00
5300	 0.08	 5.64	 -141.47	 -189.00	 -39.00	 81.00
5400	 0.17	 5.59	 -141.55	 -7.00	 -40.00	 2.00
5500	 0.17	 5.59	 -141.55	 -7.00	 -40.00	 2.00
5600	 1.09	 5.14	 -142.51	 -15.00	 -107.00	 -57.00
5700	 1.16	 5.11	 -142.50	 -79.00	 -98.00	 -71.00
5800	 1.16	 5.11	 -142.50	 -79.00	 -98.00	 -71.00
5900	 1.76	 4.80	 -141.68	 78.00	 -141.00	 -30.00
6000	 1.70	 4.73	 -141.66	 272.00	 73.00	 -2.00
6100	 1.70	 4.73	 -141.66	 272.00	 73.00	 -2.00
6200	 0.19	 4.80	 -141.10	 64.00	 44.00	 3.00
