#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 0.64	 -4.51	 -0.16	 1	 1	 1	 hover	 1509	 1501	 1500	 998	 0.00	 0.00	 0.00
600	 1.01	 -1.63	 -0.21	 1	 1	 1	 hover	 1503	 1502	 1500	 997	 0.00	 0.00	 0.00
700	 -7.27	 -0.22	 -1.18	 1	 1	 1	 hover	 1500	 1485	 1500	 985	 0.00	 0.00	 0.00
800	 -0.36	 -0.50	 -1.44	 1	 1	 1	 hover	 1500	 1499	 1500	 979	 0.00	 0.00	 0.00
900	 -1.10	 -0.61	 -0.13	 1	 1	 1	 hover	 1501	 1497	 1500	 992	 0.00	 0.00	 0.00
1000	 -11.40	 -0.58	 0.14	 1	 1	 1	 hover	 1501	 1477	 1500	 995	 0.00	 0.00	 0.00
1100	 -2.37	 -0.54	 -1.39	 1	 1	 1	 hover	 1501	 1495	 1500	 977	 0.00	 0.00	 0.00
1200	 -2.25	 -0.55	 -2.11	 1	 1	 1	 hover	 1501	 1495	 1500	 965	 0.00	 0.00	 0.00
1300	 -3.94	 -0.55	 0.64	 1	 1	 1	 hover	 1501	 1492	 1500	 994	 0.00	 0.00	 0.00
1400	 0.31	 -0.39	 -1.57	 1	 1	 1	 hover	 1500	 1500	 1500	 969	 0.00	 0.00	 0.00
1500	 1.62	 -0.79	 -0.01	 1	 1	 1	 hover	 1501	 1503	 1500	 984	 0.00	 0.00	 0.00
1600	 2.39	 -1.37	 -0.44	 1	 1	 1	 hover	 1502	 1504	 1500	 979	 0.00	 0.00	 0.00
1700	 2.82	 -0.62	 -1.23	 1	 1	 1	 hover	 1501	 1505	 1500	 969	 0.00	 0.00	 0.00
1800	 3.30	 -2.00	 -0.12	 1	 1	 1	 hover	 1504	 1506	 1500	 980	 0.00	 0.00	 0.00
1900	 -0.34	 -1.86	 0.05	 1	 1	 1	 hover	 1503	 1499	 1500	 982	 0.00	 0.00	 0.00
2000	 -0.14	 -4.23	 -2.48	 1	 1	 1	 hover	 1508	 1499	 1500	 951	 0.00	 0.00	 0.00
2100	 -1.65	 -6.26	 -1.57	 1	 1	 1	 hover	 1512	 1496	 1500	 957	 0.00	 0.00	 0.00
2200	 -0.11	 -1.15	 -1.71	 1	 1	 1	 hover	 1502	 1499	 1500	 953	 0.00	 0.00	 0.00
2300	 1.87	 -5.83	 -3.67	 1	 1	 1	 hover	 1511	 1503	 1500	 926	 0.00	 0.00	 0.00
2400	 -10.54	 -4.65	 -5.43	 1	 1	 1	 hover	 1509	 1478	 1500	 897	 0.00	 0.00	 0.00
2500	 -4.73	 -5.23	 -6.27	 1	 1	 1	 hover	 1510	 1490	 1500	 876	 0.00	 0.00	 0.00
