#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 6.66	 46.15	 -144.44	 -67.00	 193.00	 -68.00
300	 6.68	 45.95	 -144.40	 -26.00	 240.00	 -331.00
400	 6.68	 45.95	 -144.40	 -26.00	 240.00	 -331.00
500	 7.87	 41.23	 -142.55	 63.00	 143.00	 -166.00
600	 7.99	 41.09	 -142.44	 132.00	 -92.00	 -143.00
700	 7.99	 41.09	 -142.44	 132.00	 -92.00	 -143.00
800	 7.63	 37.15	 -140.61	 4.00	 491.00	 62.00
900	 7.52	 37.05	 -140.58	 -72.00	 175.00	 158.00
1000	 7.52	 37.05	 -140.58	 -72.00	 175.00	 158.00
1100	 4.93	 34.75	 -141.73	 -52.00	 101.00	 168.00
1200	 4.83	 34.72	 -141.82	 -240.00	 360.00	 178.00
1300	 4.83	 34.72	 -141.82	 -240.00	 360.00	 178.00
1400	 3.82	 32.88	 -144.71	 -86.00	 -77.00	 64.00
1500	 3.67	 32.76	 -144.77	 -162.00	 132.00	 38.00
1600	 3.67	 32.76	 -144.77	 -162.00	 132.00	 38.00
1700	 4.12	 29.05	 -146.69	 -40.00	 304.00	 60.00
1800	 4.01	 29.13	 -146.66	 -123.00	 388.00	 109.00
1900	 4.01	 29.13	 -146.66	 -123.00	 388.00	 109.00
2000	 2.50	 29.52	 -147.26	 -188.00	 360.00	 124.00
2100	 2.46	 29.57	 -147.29	 -192.00	 25.00	 74.00
2200	 2.46	 29.57	 -147.29	 -192.00	 25.00	 74.00
2300	 2.48	 27.50	 -148.86	 -131.00	 89.00	 -94.00
2400	 2.45	 27.35	 -148.85	 41.00	 -209.00	 -208.00
2500	 2.45	 27.35	 -148.85	 41.00	 -209.00	 -208.00
2600	 3.82	 25.60	 -145.71	 108.00	 491.00	 -296.00
2700	 3.82	 25.44	 -145.56	 -27.00	 466.00	 -210.00
2800	 3.82	 25.44	 -145.56	 -27.00	 466.00	 -210.00
2900	 5.14	 25.68	 -140.46	 327.00	 -87.00	 -209.00
3000	 5.12	 25.58	 -140.33	 -19.00	 134.00	 -260.00
3100	 5.12	 25.58	 -140.33	 -19.00	 134.00	 -260.00
3200	 5.44	 25.71	 -136.20	 -341.00	 559.00	 -198.00
3300	 5.52	 25.69	 -136.10	 -333.00	 -311.00	 -203.00
3400	 5.52	 25.69	 -136.10	 -333.00	 -311.00	 -203.00
3500	 10.89	 24.72	 -135.12	 105.00	 0.00	 -65.00
3600	 11.00	 24.66	 -135.10	 293.00	 -6.00	 -23.00
3700	 11.00	 24.66	 -135.10	 293.00	 -6.00	 -23.00
3800	 6.91	 23.20	 -133.31	 124.00	 137.00	 -30.00
3900	 6.80	 23.16	 -133.28	 182.00	 315.00	 -205.00
4000	 6.80	 23.16	 -133.28	 182.00	 315.00	 -205.00
4100	 4.42	 23.29	 -130.35	 168.00	 -240.00	 -352.00
4200	 4.31	 23.21	 -130.14	 -12.00	 -369.00	 -343.00
4300	 4.31	 23.21	 -130.14	 -12.00	 -369.00	 -343.00
4400	 5.50	 19.14	 -124.71	 -54.00	 497.00	 -140.00
4500	 5.52	 18.92	 -124.58	 121.00	 342.00	 -20.00
4600	 5.52	 18.92	 -124.58	 121.00	 342.00	 -20.00
4700	 5.06	 22.95	 -123.06	 144.00	 653.00	 196.00
4800	 4.94	 22.84	 -123.19	 -32.00	 348.00	 175.00
4900	 4.94	 22.84	 -123.19	 -32.00	 348.00	 175.00
5000	 3.10	 23.46	 -127.28	 -287.00	 198.00	 141.00
5100	 3.08	 23.48	 -127.48	 -153.00	 541.00	 201.00
5200	 3.08	 23.48	 -127.48	 -153.00	 541.00	 201.00
5300	 4.41	 25.01	 -130.73	 111.00	 -6.00	 -20.00
5400	 4.39	 25.06	 -130.78	 -68.00	 672.00	 -19.00
5500	 4.39	 25.06	 -130.78	 -68.00	 672.00	 -19.00
5600	 3.87	 25.87	 -130.94	 411.00	 -310.00	 56.00
5700	 3.75	 25.74	 -130.96	 -90.00	 -145.00	 49.00
5800	 3.75	 25.74	 -130.96	 -90.00	 -145.00	 49.00
5900	 2.98	 21.25	 -132.65	 -227.00	 -46.00	 80.00
6000	 3.13	 20.99	 -132.78	 -37.00	 357.00	 256.00
6100	 3.13	 20.99	 -132.78	 -37.00	 357.00	 256.00
6200	 3.53	 19.77	 -136.14	 -7.00	 232.00	 55.00
6300	 3.38	 19.89	 -136.20	 -41.00	 -31.00	 54.00
6400	 3.38	 19.89	 -136.20	 -41.00	 -31.00	 54.00
6500	 3.15	 23.89	 -137.14	 -114.00	 324.00	 -94.00
6600	 3.13	 23.92	 -137.15	 104.00	 706.00	 -108.00
6700	 3.13	 23.92	 -137.15	 104.00	 706.00	 -108.00
6800	 3.01	 24.84	 -134.99	 68.00	 -37.00	 -201.00
6900	 3.09	 24.87	 -134.85	 196.00	 -165.00	 -191.00
7000	 3.09	 24.87	 -134.85	 196.00	 -165.00	 -191.00
7100	 4.37	 25.77	 -130.71	 213.00	 -33.00	 -75.00
7200	 4.37	 25.81	 -130.59	 -113.00	 31.00	 -50.00
7300	 4.37	 25.81	 -130.59	 -113.00	 31.00	 -50.00
7400	 4.94	 23.57	 -130.19	 -62.00	 -531.00	 196.00
7500	 4.91	 23.41	 -130.31	 -166.00	 73.00	 211.00
7600	 4.91	 23.41	 -130.31	 -166.00	 73.00	 211.00
7700	 5.22	 19.16	 -133.86	 340.00	 124.00	 143.00
7800	 5.27	 19.23	 -133.96	 459.00	 -66.00	 133.00
7900	 5.27	 19.23	 -133.96	 459.00	 -66.00	 133.00
8000	 1.06	 23.94	 -133.77	 -86.00	 165.00	 -66.00
8100	 1.04	 24.05	 -133.73	 135.00	 -94.00	 -48.00
8200	 1.04	 24.05	 -133.73	 135.00	 -94.00	 -48.00
8300	 2.12	 24.54	 -133.01	 203.00	 -415.00	 15.00
8400	 2.05	 24.49	 -133.04	 -49.00	 -193.00	 -14.00
8500	 2.05	 24.49	 -133.04	 -49.00	 -193.00	 -14.00
8600	 3.16	 21.72	 -133.50	 -140.00	 -40.00	 -74.00
8700	 3.41	 21.51	 -133.55	 210.00	 593.00	 -80.00
8800	 3.41	 21.51	 -133.55	 210.00	 593.00	 -80.00
8900	 3.60	 22.33	 -132.05	 -14.00	 425.00	 -156.00
9000	 3.65	 22.50	 -131.98	 -57.00	 107.00	 -98.00
9100	 3.65	 22.50	 -131.98	 -57.00	 107.00	 -98.00
9200	 5.29	 26.44	 -128.87	 -112.00	 468.00	 -208.00
9300	 5.30	 26.56	 -128.71	 -199.00	 -192.00	 -92.00
9400	 5.30	 26.56	 -128.71	 -199.00	 -192.00	 -92.00
9500	 6.81	 26.19	 -127.06	 -81.00	 -150.00	 147.00
9600	 6.82	 25.97	 -127.12	 -79.00	 65.00	 31.00
9700	 6.82	 25.97	 -127.12	 -79.00	 65.00	 31.00
9800	 5.26	 21.05	 -130.03	 19.00	 151.00	 -86.00
9900	 5.07	 20.92	 -130.09	 19.00	 483.00	 -147.00
10000	 5.07	 20.92	 -130.09	 19.00	 483.00	 -147.00
10100	 3.49	 21.08	 -128.68	 49.00	 559.00	 -37.00
10200	 3.36	 21.11	 -128.59	 535.00	 -290.00	 3.00
10300	 3.36	 21.11	 -128.59	 535.00	 -290.00	 3.00
10400	 -1.62	 24.35	 -126.66	 52.00	 458.00	 32.00
