#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 1	 0	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 6.06	 0.35	 0.50	 1	 1	 1	 0	 1499	 1512	 1500	 1005	 0.00	 0.00	 0.00
600	 9.54	 0.26	 -0.23	 1	 1	 1	 0	 1499	 1519	 1500	 998	 0.00	 0.00	 0.00
700	 11.05	 0.65	 -0.83	 1	 1	 1	 0	 1498	 1522	 1500	 990	 0.00	 0.00	 0.00
800	 15.84	 0.75	 -1.01	 1	 1	 1	 0	 1498	 1531	 1500	 986	 0.00	 0.00	 0.00
900	 14.62	 0.48	 -2.12	 1	 1	 1	 0	 1499	 1529	 1500	 971	 0.00	 0.00	 0.00
1000	 14.27	 0.86	 -1.63	 1	 1	 1	 0	 1498	 1528	 1500	 973	 0.00	 0.00	 0.00
1100	 14.27	 1.02	 -1.44	 0	 1	 1	 0	 1497	 1500	 1500	 972	 0.00	 0.00	 0.00
1200	 14.27	 1.07	 -2.56	 1	 1	 1	 0	 1497	 1528	 1500	 955	 0.00	 0.00	 0.00
1300	 14.13	 1.08	 -2.40	 1	 1	 1	 0	 1497	 1528	 1500	 952	 0.00	 0.00	 0.00
1400	 14.63	 0.75	 -0.84	 1	 1	 1	 0	 1498	 1529	 1500	 966	 0.00	 0.00	 0.00
1500	 14.62	 0.82	 -1.24	 1	 1	 1	 0	 1498	 1529	 1500	 959	 0.00	 0.00	 0.00
1600	 12.85	 0.87	 -1.70	 1	 1	 1	 0	 1498	 1525	 1500	 951	 0.00	 0.00	 0.00
1700	 12.85	 -0.13	 -0.95	 1	 1	 1	 0	 1500	 1525	 1500	 957	 0.00	 0.00	 0.00
1800	 13.55	 -0.11	 -1.27	 1	 1	 1	 0	 1500	 1527	 1500	 951	 0.00	 0.00	 0.00
1900	 13.55	 -0.97	 -1.21	 1	 1	 1	 0	 1501	 1527	 1500	 950	 0.00	 0.00	 0.00
2000	 13.55	 -1.07	 -0.88	 0	 1	 1	 0	 1502	 1500	 1500	 951	 0.00	 0.00	 0.00
2100	 13.55	 -0.97	 -0.40	 0	 1	 1	 0	 1501	 1500	 1500	 955	 0.00	 0.00	 0.00
2200	 13.55	 -1.23	 0.85	 1	 1	 1	 0	 1502	 1527	 1500	 969	 0.00	 0.00	 0.00
2300	 13.55	 -1.08	 0.34	 0	 1	 1	 0	 1502	 1500	 1500	 965	 0.00	 0.00	 0.00
2400	 13.55	 -1.65	 1.56	 1	 1	 1	 0	 1503	 1527	 1500	 980	 0.00	 0.00	 0.00
2500	 18.05	 -1.82	 1.50	 1	 1	 1	 0	 1503	 1536	 1500	 983	 0.00	 0.00	 0.00
2600	 6.42	 -2.02	 -0.82	 1	 1	 1	 0	 1504	 1512	 1500	 958	 0.00	 0.00	 0.00
