#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 0.00 	1 	0.00 	0.00 	1 	-3 
300	 0.00 	1 	0.00 	0.00 	2 	-3 
400	 0.00 	1 	0.00 	0.00 	3 	-3 
500	 33.53 	0 	20.12 	13.41 	3 	13.41 
600	 33.53 	0 	28.17 	5.36 	0 	5.36 
700	 33.53 	1 	31.38 	2.15 	0 	-3 
800	 32.99 	1 	32.35 	0.64 	0 	-3 
900	 33.53 	1 	33.06 	0.47 	0 	-3 
1000	 32.99 	1 	33.02 	0.03 	0 	-3 
1100	 32.99 	1 	33.00 	0.01 	0 	-3 
1200	 33.08 	1 	33.05 	0.03 	0 	-3 
1300	 32.99 	1 	33.01 	0.02 	0 	-3 
1400	 32.99 	1 	33.00 	0.01 	0 	-3 
1500	 33.53 	1 	33.32 	0.21 	0 	-3 
1600	 32.99 	1 	33.12 	0.13 	0 	-3 
1700	 32.99 	1 	33.04 	0.05 	0 	-3 
1800	 33.53 	1 	33.33 	0.20 	0 	-3 
1900	 33.53 	1 	33.45 	0.08 	0 	-3 
2000	 33.62 	1 	33.55 	0.07 	0 	-3 
2100	 33.53 	1 	33.54 	0.01 	0 	-3 
2200	 33.53 	1 	33.53 	0.00 	0 	-3 
2300	 33.44 	1 	33.48 	0.04 	0 	-3 
2400	 33.53 	1 	33.51 	0.02 	0 	-3 
2500	 33.44 	1 	33.47 	0.03 	0 	-3 
2600	 33.53 	1 	33.51 	0.02 	0 	-3 
2700	 33.53 	1 	33.52 	0.01 	0 	-3 
2800	 33.53 	1 	33.53 	0.00 	0 	-3 
2900	 28.36 	1 	30.43 	2.07 	0 	-3 
3000	 33.53 	1 	32.29 	1.24 	0 	-3 
3100	 33.53 	1 	33.03 	0.50 	0 	-3 
3200	 33.62 	1 	33.39 	0.23 	0 	-3 
3300	 33.53 	1 	33.47 	0.06 	0 	-3 
3400	 33.53 	1 	33.51 	0.02 	0 	-3 
3500	 28.36 	1 	30.42 	2.06 	0 	-3 
3600	 33.53 	1 	32.29 	1.24 	0 	-3 
3700	 33.53 	1 	33.03 	0.50 	0 	-3 
3800	 33.53 	1 	33.33 	0.20 	0 	-3 
3900	 33.62 	1 	33.50 	0.12 	0 	-3 
4000	 33.53 	1 	33.52 	0.01 	0 	-3 
4100	 33.53 	1 	33.53 	0.00 	0 	-3 
4200	 33.53 	1 	33.53 	0.00 	0 	-3 
4300	 33.53 	1 	33.53 	0.00 	0 	-3 
4400	 33.53 	1 	33.53 	0.00 	0 	-3 
4500	 33.62 	1 	33.58 	0.04 	0 	-3 
4600	 33.53 	1 	33.55 	0.02 	0 	-3 
4700	 33.53 	1 	33.54 	0.01 	0 	-3 
4800	 28.28 	1 	30.38 	2.10 	0 	-3 
4900	 33.53 	1 	32.27 	1.26 	0 	-3 
5000	 33.53 	1 	33.03 	0.50 	0 	-3 
5100	 33.53 	1 	33.33 	0.20 	0 	-3 
5200	 33.53 	1 	33.45 	0.08 	0 	-3 
5300	 33.62 	1 	33.55 	0.07 	0 	-3 
5400	 33.62 	1 	33.59 	0.03 	0 	-3 
5500	 33.62 	1 	33.61 	0.01 	0 	-3 
5600	 33.53 	1 	33.56 	0.03 	0 	-3 
5700	 33.62 	1 	33.60 	0.02 	0 	-3 
5800	 33.53 	1 	33.56 	0.03 	0 	-3 
5900	 33.62 	1 	33.59 	0.03 	0 	-3 
6000	 33.53 	1 	33.56 	0.03 	0 	-3 
6100	 33.62 	1 	33.59 	0.03 	0 	-3 
6200	 28.36 	1 	30.45 	2.09 	0 	-3 
6300	 33.62 	1 	32.35 	1.27 	0 	-3 
6400	 33.62 	1 	33.11 	0.51 	0 	-3 
6500	 33.62 	1 	33.42 	0.20 	0 	-3 
6600	 33.62 	1 	33.54 	0.08 	0 	-3 
6700	 33.62 	1 	33.59 	0.03 	0 	-3 
6800	 33.62 	1 	33.61 	0.01 	0 	-3 
6900	 28.36 	1 	30.46 	2.10 	0 	-3 
7000	 33.53 	1 	32.30 	1.23 	0 	-3 
7100	 28.45 	1 	29.99 	1.54 	0 	-3 
7200	 33.70 	1 	32.22 	1.48 	0 	-3 
7300	 33.62 	1 	33.06 	0.56 	0 	-3 
7400	 33.62 	1 	33.40 	0.22 	0 	-3 
7500	 33.53 	1 	33.48 	0.05 	0 	-3 
7600	 28.28 	1 	30.36 	2.08 	0 	-3 
7700	 33.62 	1 	32.32 	1.30 	0 	-3 
7800	 33.62 	1 	33.10 	0.52 	0 	-3 
7900	 33.53 	1 	33.36 	0.17 	0 	-3 
8000	 33.53 	1 	33.46 	0.07 	0 	-3 
8100	 33.62 	1 	33.56 	0.06 	0 	-3 
8200	 33.62 	1 	33.59 	0.03 	0 	-3 
8300	 33.62 	1 	33.61 	0.01 	0 	-3 
