#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	0 
300	 4.87 	1 	2.92 	1.95 	0 	-3 
400	 4.78 	1 	4.04 	0.74 	0 	-3 
500	 -1.00 	0 	4.04 	5.04 	0 	0 
600	 -1.00 	0 	4.04 	5.04 	0 	0 
700	 -1.00 	0 	4.04 	5.04 	0 	0 
800	 -1.00 	0 	4.04 	5.04 	0 	0 
900	 -1.00 	0 	4.04 	5.04 	0 	0 
1000	 4.78 	1 	4.48 	0.30 	0 	-3 
1100	 -1.00 	0 	4.48 	5.48 	0 	0 
1200	 4.87 	1 	4.72 	0.15 	0 	-3 
1300	 4.87 	1 	4.81 	0.06 	0 	-3 
1400	 4.87 	1 	4.85 	0.02 	0 	-3 
1500	 -1.00 	0 	4.85 	5.85 	0 	0 
1600	 -1.00 	0 	4.85 	5.85 	0 	0 
1700	 4.78 	1 	4.81 	0.03 	0 	-3 
1800	 4.78 	1 	4.79 	0.01 	0 	-3 
1900	 4.87 	1 	4.84 	0.03 	0 	-3 
2000	 4.78 	1 	4.80 	0.02 	0 	-3 
2100	 4.87 	1 	4.84 	0.03 	0 	-3 
2200	 -1.00 	0 	4.84 	5.84 	0 	0 
2300	 -1.00 	0 	4.84 	5.84 	0 	0 
2400	 4.87 	1 	4.86 	0.01 	0 	-3 
2500	 4.87 	1 	4.87 	0.00 	0 	-3 
2600	 4.87 	1 	4.87 	0.00 	0 	-3 
2700	 -1.00 	0 	4.87 	5.87 	0 	0 
2800	 -1.00 	0 	4.87 	5.87 	0 	0 
2900	 5.41 	1 	5.19 	0.22 	0 	-3 
3000	 -1.00 	0 	5.19 	6.19 	0 	0 
3100	 4.87 	1 	5.00 	0.13 	0 	-3 
3200	 4.87 	1 	4.92 	0.05 	0 	-3 
3300	 -1.00 	0 	4.92 	5.92 	0 	0 
3400	 4.78 	1 	4.84 	0.06 	0 	-3 
3500	 -1.00 	0 	4.84 	5.84 	0 	0 
3600	 -1.00 	0 	4.84 	5.84 	0 	0 
3700	 -1.00 	0 	4.84 	5.84 	0 	0 
3800	 4.87 	1 	4.86 	0.01 	0 	-3 
3900	 -1.00 	0 	4.86 	5.86 	0 	0 
4000	 -1.00 	0 	4.86 	5.86 	0 	0 
4100	 4.87 	1 	4.86 	0.01 	0 	-3 
4200	 4.87 	1 	4.87 	0.00 	0 	-3 
4300	 -1.00 	0 	4.87 	5.87 	0 	0 
4400	 -1.00 	0 	4.87 	5.87 	0 	0 
4500	 -1.00 	0 	4.87 	5.87 	0 	0 
4600	 4.78 	1 	4.82 	0.04 	0 	-3 
4700	 4.87 	1 	4.85 	0.02 	0 	-3 
4800	 5.49 	1 	5.23 	0.26 	0 	-3 
4900	 4.87 	1 	5.02 	0.15 	0 	-3 
5000	 4.78 	1 	4.87 	0.09 	0 	-3 
5100	 4.78 	1 	4.82 	0.04 	0 	-3 
5200	 4.87 	1 	4.85 	0.02 	0 	-3 
5300	 4.87 	1 	4.86 	0.01 	0 	-3 
5400	 4.87 	1 	4.87 	0.00 	0 	-3 
5500	 -1.00 	0 	4.87 	5.87 	0 	0 
5600	 4.87 	1 	4.87 	0.00 	0 	-3 
5700	 -1.00 	0 	4.87 	5.87 	0 	0 
5800	 4.78 	1 	4.82 	0.04 	0 	-3 
5900	 -1.00 	0 	4.82 	5.82 	0 	0 
6000	 4.87 	1 	4.85 	0.02 	0 	-3 
6100	 4.78 	1 	4.81 	0.03 	0 	-3 
6200	 5.49 	1 	5.22 	0.27 	0 	-3 
6300	 4.78 	1 	4.95 	0.17 	0 	-3 
6400	 4.87 	1 	4.90 	0.03 	0 	-3 
6500	 -1.00 	0 	4.90 	5.90 	0 	0 
6600	 4.78 	1 	4.83 	0.05 	0 	-3 
6700	 -1.00 	0 	4.83 	5.83 	0 	0 
6800	 4.87 	1 	4.85 	0.02 	0 	-3 
6900	 -1.00 	0 	4.85 	5.85 	0 	0 
7000	 4.87 	1 	4.86 	0.01 	0 	-3 
7100	 5.49 	1 	5.24 	0.25 	0 	-3 
7200	 -1.00 	0 	5.24 	6.24 	0 	0 
7300	 4.78 	1 	4.96 	0.18 	0 	-3 
7400	 -1.00 	0 	4.96 	5.96 	0 	0 
7500	 4.87 	1 	4.91 	0.04 	0 	-3 
7600	 -1.00 	0 	4.91 	5.91 	0 	0 
7700	 4.78 	1 	4.83 	0.05 	0 	-3 
7800	 -1.00 	0 	4.83 	5.83 	0 	0 
7900	 -1.00 	0 	4.83 	5.83 	0 	0 
8000	 4.87 	1 	4.85 	0.02 	0 	-3 
8100	 4.87 	1 	4.86 	0.01 	0 	-3 
8200	 4.87 	1 	4.87 	0.00 	0 	-3 
8300	 4.78 	1 	4.82 	0.04 	0 	-3 
8400	 4.87 	1 	4.85 	0.02 	0 	-3 
8500	 5.49 	1 	5.23 	0.26 	0 	-3 
8600	 -1.00 	0 	5.23 	6.23 	0 	0 
8700	 -1.00 	0 	5.23 	6.23 	0 	0 
8800	 -1.00 	0 	5.23 	6.23 	0 	0 
8900	 4.87 	1 	5.02 	0.15 	0 	-3 
9000	 4.78 	1 	4.87 	0.09 	0 	-3 
9100	 -1.00 	0 	4.87 	5.87 	0 	0 
9200	 -1.00 	0 	4.87 	5.87 	0 	0 
9300	 4.87 	1 	4.87 	0.00 	0 	-3 
9400	 -1.00 	0 	4.87 	5.87 	0 	0 
9500	 -1.00 	0 	4.87 	5.87 	0 	0 
9600	 5.41 	1 	5.19 	0.22 	0 	-3 
9700	 -1.00 	0 	5.19 	6.19 	0 	0 
9800	 -1.00 	0 	5.19 	6.19 	0 	0 
9900	 -1.00 	0 	5.19 	6.19 	0 	0 
10000	 4.78 	1 	4.95 	0.17 	0 	-3 
10100	 4.78 	1 	4.85 	0.07 	0 	-3 
