#Time(ms)	 Roll 	 Pitch 	 Yaw 	 xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 -1.45	 0.04	 -0.24	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 -1.45	 0.04	 -0.24	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 -1.45	 0.04	 -0.24	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 -1.45	 0.09	 -0.29	 0.00	 0.00	 0.00	 1	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
600	 -1.45	 0.09	 -0.29	 0.00	 0.00	 0.00	 1	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
700	 -1.45	 0.09	 -0.29	 0.00	 0.00	 0.00	 1	 1	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
800	 -1.45	 0.12	 -0.34	 -0.01	 0.08	 0.00	 1	 1	 1	 hover	 1499	 1500	 1500	 1000	 0.00	 0.00	 0.00
900	 -1.45	 0.12	 -0.34	 0.00	 -0.19	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1000	 -1.45	 0.12	 -0.34	 -0.13	 0.02	 -1.10	 1	 1	 1	 hover	 1499	 1500	 1500	 987	 0.00	 0.00	 0.00
1100	 -1.46	 0.16	 -0.38	 -0.13	 0.09	 0.00	 1	 1	 1	 hover	 1499	 1500	 1500	 998	 0.00	 0.00	 0.00
1200	 -1.46	 0.16	 -0.39	 -0.12	 0.02	 -0.38	 1	 1	 1	 hover	 1499	 1500	 1500	 994	 0.00	 0.00	 0.00
1300	 -1.46	 0.16	 -0.39	 -0.09	 0.04	 0.13	 1	 1	 1	 hover	 1499	 1500	 1500	 999	 0.00	 0.00	 0.00
1400	 -1.45	 0.18	 -0.43	 -0.09	 -0.68	 0.56	 1	 1	 1	 hover	 1500	 1500	 1500	 1004	 0.00	 0.00	 0.00
1500	 -1.45	 0.18	 -0.44	 -0.08	 -0.24	 2.22	 1	 1	 1	 hover	 1500	 1500	 1500	 1023	 0.00	 0.00	 0.00
1600	 -1.45	 0.18	 -0.44	 -0.11	 0.07	 0.53	 1	 1	 1	 hover	 1499	 1500	 1500	 1007	 0.00	 0.00	 0.00
1700	 -1.46	 0.20	 -0.48	 -0.11	 0.10	 0.17	 1	 1	 1	 hover	 1499	 1500	 1500	 1003	 0.00	 0.00	 0.00
1800	 -1.45	 0.20	 -0.49	 -0.09	 0.14	 1.19	 1	 1	 1	 hover	 1499	 1500	 1500	 1015	 0.00	 0.00	 0.00
1900	 -1.45	 0.20	 -0.49	 0.00	 -0.10	 0.36	 1	 1	 1	 hover	 1500	 1500	 1500	 1007	 0.00	 0.00	 0.00
2000	 -1.46	 0.22	 -0.53	 -0.04	 -0.31	 0.30	 1	 1	 1	 hover	 1500	 1500	 1500	 1007	 0.00	 0.00	 0.00
2100	 -1.46	 0.22	 -0.54	 0.00	 -0.83	 0.15	 1	 1	 1	 hover	 1500	 1500	 1500	 1005	 0.00	 0.00	 0.00
2200	 -1.46	 0.22	 -0.54	 -0.02	 -0.57	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1004	 0.00	 0.00	 0.00
2300	 -1.46	 0.24	 -0.58	 -0.05	 0.26	 0.00	 1	 1	 1	 hover	 1499	 1500	 1500	 1004	 0.00	 0.00	 0.00
2400	 -1.46	 0.24	 -0.58	 0.00	 -0.25	 1.31	 1	 1	 1	 hover	 1500	 1500	 1500	 1018	 0.00	 0.00	 0.00
2500	 -1.46	 0.24	 -0.58	 -0.01	 -0.07	 0.04	 1	 1	 1	 hover	 1500	 1500	 1500	 1005	 0.00	 0.00	 0.00
2600	 -1.46	 0.24	 -0.63	 0.00	 -0.20	 0.04	 1	 1	 1	 hover	 1500	 1500	 1500	 1005	 0.00	 0.00	 0.00
2700	 -1.46	 0.24	 -0.63	 0.00	 -0.47	 0.09	 1	 1	 1	 hover	 1500	 1500	 1500	 1006	 0.00	 0.00	 0.00
2800	 -1.46	 0.24	 -0.63	 0.00	 -0.44	 1.15	 1	 1	 1	 hover	 1500	 1500	 1500	 1018	 0.00	 0.00	 0.00
2900	 -1.46	 0.26	 -0.68	 0.00	 -0.50	 2.31	 0	 1	 1	 hover	 1500	 1500	 1500	 1032	 0.00	 0.00	 0.00
3000	 -1.46	 0.26	 -0.68	 0.00	 -0.50	 2.76	 1	 1	 1	 hover	 1500	 1500	 1500	 1039	 0.00	 0.00	 0.00
3100	 -1.46	 0.26	 -0.68	 0.09	 -0.59	 1.10	 1	 1	 1	 hover	 1500	 1499	 1500	 1023	 0.00	 0.00	 0.00
3200	 -1.46	 0.26	 -0.72	 0.09	 -0.48	 2.22	 1	 1	 1	 hover	 1500	 1499	 1500	 1037	 0.00	 0.00	 0.00
3300	 -1.46	 0.26	 -0.72	 0.00	 -0.54	 1.69	 1	 1	 1	 hover	 1500	 1500	 1500	 1033	 0.00	 0.00	 0.00
3400	 -1.46	 0.26	 -0.72	 -0.06	 -0.51	 2.23	 1	 1	 1	 hover	 1500	 1500	 1500	 1041	 0.00	 0.00	 0.00
3500	 -1.46	 0.26	 -0.77	 -0.06	 -0.27	 1.96	 0	 1	 1	 hover	 1500	 1500	 1500	 1040	 0.00	 0.00	 0.00
3600	 -1.46	 0.26	 -0.77	 0.09	 -0.24	 1.15	 1	 1	 1	 hover	 1500	 1499	 1500	 1033	 0.00	 0.00	 0.00
3700	 -1.46	 0.26	 -0.77	 0.00	 -0.17	 0.53	 1	 1	 1	 hover	 1500	 1500	 1500	 1028	 0.00	 0.00	 0.00
3800	 -1.47	 0.26	 -0.82	 -0.08	 -0.09	 1.58	 1	 1	 1	 hover	 1500	 1500	 1500	 1040	 0.00	 0.00	 0.00
3900	 -1.47	 0.26	 -0.82	 0.02	 -0.57	 1.69	 1	 1	 1	 hover	 1500	 1499	 1500	 1042	 0.00	 0.00	 0.00
4000	 -1.47	 0.26	 -0.82	 -0.06	 -0.54	 2.31	 1	 1	 1	 hover	 1500	 1500	 1500	 1051	 0.00	 0.00	 0.00
4100	 -1.46	 0.27	 -0.87	 -0.06	 -0.52	 0.63	 1	 1	 1	 hover	 1500	 1500	 1500	 1035	 0.00	 0.00	 0.00
4200	 -1.46	 0.27	 -0.87	 0.00	 0.08	 2.31	 1	 1	 1	 hover	 1499	 1500	 1500	 1054	 0.00	 0.00	 0.00
4300	 -1.46	 0.27	 -0.87	 0.00	 -0.31	 1.07	 1	 1	 1	 hover	 1500	 1500	 1500	 1043	 0.00	 0.00	 0.00
4400	 -1.46	 0.27	 -0.91	 -0.01	 -0.54	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1032	 0.00	 0.00	 0.00
4500	 -1.46	 0.27	 -0.91	 0.05	 0.28	 1.69	 1	 1	 1	 hover	 1499	 1499	 1500	 1050	 0.00	 0.00	 0.00
4600	 -1.46	 0.27	 -0.91	 -0.04	 0.03	 1.84	 1	 1	 1	 hover	 1499	 1500	 1500	 1054	 0.00	 0.00	 0.00
4700	 -1.46	 0.27	 -0.96	 0.00	 -0.14	 0.74	 1	 1	 1	 hover	 1500	 1500	 1500	 1043	 0.00	 0.00	 0.00
4800	 -1.46	 0.27	 -0.97	 0.00	 0.20	 0.60	 0	 1	 1	 hover	 1499	 1500	 1500	 1043	 0.00	 0.00	 0.00
4900	 -1.46	 0.27	 -0.97	 -0.09	 -0.07	 0.54	 1	 1	 1	 hover	 1500	 1500	 1500	 1043	 0.00	 0.00	 0.00
