#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 14.66 	0 	8.80 	5.86 	0 	5.86 
300	 14.57 	1 	12.26 	2.31 	0 	-3 
400	 14.48 	1 	13.59 	0.89 	0 	-3 
500	 14.57 	1 	14.18 	0.39 	0 	-3 
600	 14.57 	1 	14.41 	0.16 	0 	-3 
700	 14.57 	1 	14.51 	0.06 	0 	-3 
800	 14.57 	1 	14.54 	0.03 	0 	-3 
900	 14.57 	1 	14.56 	0.01 	0 	-3 
1000	 14.66 	1 	14.62 	0.04 	0 	-3 
1100	 14.66 	1 	14.64 	0.02 	0 	-3 
1200	 14.57 	1 	14.60 	0.03 	0 	-3 
1300	 14.57 	1 	14.58 	0.01 	0 	-3 
1400	 14.57 	1 	14.57 	0.00 	0 	-3 
1500	 14.66 	1 	14.63 	0.03 	0 	-3 
1600	 14.66 	1 	14.65 	0.01 	0 	-3 
1700	 14.66 	1 	14.65 	0.01 	0 	-3 
1800	 14.66 	1 	14.66 	0.00 	0 	-3 
1900	 14.57 	1 	14.61 	0.04 	0 	-3 
2000	 14.75 	1 	14.69 	0.06 	0 	-3 
2100	 14.57 	1 	14.62 	0.05 	0 	-3 
2200	 14.66 	1 	14.64 	0.02 	0 	-3 
2300	 14.57 	1 	14.60 	0.03 	0 	-3 
2400	 14.57 	1 	14.58 	0.01 	0 	-3 
2500	 14.57 	1 	14.57 	0.00 	0 	-3 
2600	 14.57 	1 	14.57 	0.00 	0 	-3 
2700	 14.57 	1 	14.57 	0.00 	0 	-3 
2800	 14.57 	1 	14.57 	0.00 	0 	-3 
2900	 14.57 	1 	14.57 	0.00 	0 	-3 
3000	 14.57 	1 	14.57 	0.00 	0 	-3 
3100	 14.48 	1 	14.52 	0.04 	0 	-3 
3200	 14.48 	1 	14.49 	0.01 	0 	-3 
3300	 14.57 	1 	14.54 	0.03 	0 	-3 
3400	 14.66 	1 	14.61 	0.05 	0 	-3 
3500	 14.57 	1 	14.59 	0.02 	0 	-3 
3600	 14.48 	1 	14.52 	0.04 	0 	-3 
3700	 14.57 	1 	14.55 	0.02 	0 	-3 
3800	 14.66 	1 	14.62 	0.04 	0 	-3 
3900	 14.57 	1 	14.59 	0.02 	0 	-3 
4000	 14.66 	1 	14.63 	0.03 	0 	-3 
4100	 14.66 	1 	14.65 	0.01 	0 	-3 
4200	 14.57 	1 	14.60 	0.03 	0 	-3 
4300	 14.57 	1 	14.58 	0.01 	0 	-3 
4400	 14.66 	1 	14.63 	0.03 	0 	-3 
4500	 14.57 	1 	14.59 	0.02 	0 	-3 
4600	 14.66 	1 	14.63 	0.03 	0 	-3 
4700	 14.57 	1 	14.60 	0.03 	0 	-3 
4800	 14.57 	1 	14.58 	0.01 	0 	-3 
4900	 14.66 	1 	14.63 	0.03 	0 	-3 
5000	 14.57 	1 	14.59 	0.02 	0 	-3 
5100	 14.66 	1 	14.63 	0.03 	0 	-3 
5200	 14.57 	1 	14.60 	0.03 	0 	-3 
5300	 14.57 	1 	14.58 	0.01 	0 	-3 
5400	 14.57 	1 	14.57 	0.00 	0 	-3 
5500	 14.57 	1 	14.57 	0.00 	0 	-3 
5600	 14.66 	1 	14.62 	0.04 	0 	-3 
5700	 14.57 	1 	14.59 	0.02 	0 	-3 
5800	 14.57 	1 	14.58 	0.01 	0 	-3 
5900	 14.66 	1 	14.63 	0.03 	0 	-3 
6000	 14.57 	1 	14.59 	0.02 	0 	-3 
6100	 14.66 	1 	14.63 	0.03 	0 	-3 
6200	 14.57 	1 	14.60 	0.03 	0 	-3 
6300	 14.57 	1 	14.58 	0.01 	0 	-3 
6400	 14.57 	1 	14.57 	0.00 	0 	-3 
6500	 14.57 	1 	14.57 	0.00 	0 	-3 
6600	 14.66 	1 	14.62 	0.04 	0 	-3 
6700	 14.66 	1 	14.65 	0.01 	0 	-3 
6800	 14.57 	1 	14.60 	0.03 	0 	-3 
6900	 14.66 	1 	14.64 	0.02 	0 	-3 
7000	 14.57 	1 	14.60 	0.03 	0 	-3 
7100	 14.66 	1 	14.63 	0.03 	0 	-3 
7200	 14.57 	1 	14.60 	0.03 	0 	-3 
7300	 14.66 	1 	14.63 	0.03 	0 	-3 
7400	 14.57 	1 	14.60 	0.03 	0 	-3 
7500	 14.57 	1 	14.58 	0.01 	0 	-3 
7600	 14.57 	1 	14.57 	0.00 	0 	-3 
7700	 14.57 	1 	14.57 	0.00 	0 	-3 
7800	 14.66 	1 	14.62 	0.04 	0 	-3 
7900	 14.66 	1 	14.65 	0.01 	0 	-3 
8000	 14.57 	1 	14.60 	0.03 	0 	-3 
8100	 14.57 	1 	14.58 	0.01 	0 	-3 
8200	 14.66 	1 	14.63 	0.03 	0 	-3 
8300	 14.57 	1 	14.59 	0.02 	0 	-3 
8400	 14.57 	1 	14.58 	0.01 	0 	-3 
8500	 14.66 	1 	14.63 	0.03 	0 	-3 
8600	 14.57 	1 	14.59 	0.02 	0 	-3 
8700	 14.66 	1 	14.63 	0.03 	0 	-3 
8800	 14.66 	1 	14.65 	0.01 	0 	-3 
8900	 14.57 	1 	14.60 	0.03 	0 	-3 
9000	 14.57 	1 	14.58 	0.01 	0 	-3 
9100	 14.66 	1 	14.63 	0.03 	0 	-3 
9200	 14.57 	1 	14.59 	0.02 	0 	-3 
9300	 14.57 	1 	14.58 	0.01 	0 	-3 
9400	 14.57 	1 	14.57 	0.00 	0 	-3 
9500	 14.57 	1 	14.57 	0.00 	0 	-3 
9600	 14.75 	1 	14.68 	0.07 	0 	-3 
9700	 14.57 	1 	14.61 	0.04 	0 	-3 
9800	 14.57 	1 	14.59 	0.02 	0 	-3 
