#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 -1.45	 0.04	 -0.24	 5.00	 8.00	 4.00
300	 -1.45	 0.04	 -0.24	 7.00	 9.00	 3.00
400	 -1.45	 0.04	 -0.24	 7.00	 9.00	 3.00
500	 -1.45	 0.09	 -0.29	 6.00	 8.00	 3.00
600	 -1.45	 0.09	 -0.29	 7.00	 8.00	 3.00
700	 -1.45	 0.09	 -0.29	 7.00	 8.00	 3.00
800	 -1.45	 0.12	 -0.34	 7.00	 5.00	 3.00
900	 -1.45	 0.12	 -0.34	 6.00	 8.00	 2.00
1000	 -1.45	 0.12	 -0.34	 6.00	 8.00	 2.00
1100	 -1.46	 0.16	 -0.38	 7.00	 8.00	 3.00
1200	 -1.46	 0.16	 -0.39	 6.00	 8.00	 3.00
1300	 -1.46	 0.16	 -0.39	 6.00	 8.00	 3.00
1400	 -1.45	 0.18	 -0.43	 7.00	 7.00	 3.00
1500	 -1.45	 0.18	 -0.44	 6.00	 7.00	 4.00
1600	 -1.45	 0.18	 -0.44	 6.00	 7.00	 4.00
1700	 -1.46	 0.20	 -0.48	 7.00	 7.00	 4.00
1800	 -1.45	 0.20	 -0.49	 6.00	 7.00	 3.00
1900	 -1.45	 0.20	 -0.49	 6.00	 7.00	 3.00
2000	 -1.46	 0.22	 -0.53	 5.00	 8.00	 2.00
2100	 -1.46	 0.22	 -0.54	 5.00	 8.00	 2.00
2200	 -1.46	 0.22	 -0.54	 5.00	 8.00	 2.00
2300	 -1.46	 0.24	 -0.58	 6.00	 7.00	 3.00
2400	 -1.46	 0.24	 -0.58	 6.00	 8.00	 3.00
2500	 -1.46	 0.24	 -0.58	 6.00	 8.00	 3.00
2600	 -1.46	 0.24	 -0.63	 6.00	 6.00	 3.00
2700	 -1.46	 0.24	 -0.63	 6.00	 8.00	 3.00
2800	 -1.46	 0.24	 -0.63	 6.00	 8.00	 3.00
2900	 -1.46	 0.26	 -0.68	 6.00	 7.00	 2.00
3000	 -1.46	 0.26	 -0.68	 7.00	 7.00	 3.00
3100	 -1.46	 0.26	 -0.68	 7.00	 7.00	 3.00
3200	 -1.46	 0.26	 -0.72	 6.00	 9.00	 2.00
3300	 -1.46	 0.26	 -0.72	 7.00	 8.00	 3.00
3400	 -1.46	 0.26	 -0.72	 7.00	 8.00	 3.00
3500	 -1.46	 0.26	 -0.77	 7.00	 7.00	 3.00
3600	 -1.46	 0.26	 -0.77	 7.00	 9.00	 2.00
3700	 -1.46	 0.26	 -0.77	 7.00	 9.00	 2.00
3800	 -1.47	 0.26	 -0.82	 6.00	 8.00	 2.00
3900	 -1.47	 0.26	 -0.82	 7.00	 8.00	 3.00
4000	 -1.47	 0.26	 -0.82	 7.00	 8.00	 3.00
4100	 -1.46	 0.27	 -0.87	 7.00	 8.00	 3.00
4200	 -1.46	 0.27	 -0.87	 7.00	 9.00	 3.00
4300	 -1.46	 0.27	 -0.87	 7.00	 9.00	 3.00
4400	 -1.46	 0.27	 -0.91	 7.00	 8.00	 3.00
4500	 -1.46	 0.27	 -0.91	 7.00	 8.00	 2.00
4600	 -1.46	 0.27	 -0.91	 7.00	 8.00	 2.00
4700	 -1.46	 0.27	 -0.96	 6.00	 8.00	 2.00
4800	 -1.46	 0.27	 -0.97	 6.00	 7.00	 2.00
4900	 -1.46	 0.27	 -0.97	 6.00	 7.00	 2.00
5000	 -1.47	 0.27	 -1.00	 6.00	 8.00	 3.00
5100	 -1.47	 0.27	 -1.00	 6.00	 7.00	 3.00
5200	 -1.47	 0.27	 -1.00	 6.00	 7.00	 3.00
5300	 -1.47	 0.27	 -1.06	 7.00	 7.00	 3.00
5400	 -1.47	 0.27	 -1.06	 6.00	 8.00	 3.00
