#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 0.00 	1 	0.00 	0.00 	1 	-3 
300	 0.00 	1 	0.00 	0.00 	2 	-3 
400	 0.00 	1 	0.00 	0.00 	3 	-3 
500	 23.20 	0 	13.92 	9.28 	3 	9.28 
600	 23.83 	0 	19.87 	3.96 	0 	3.96 
700	 23.83 	1 	22.24 	1.59 	0 	-3 
800	 23.83 	1 	23.20 	0.63 	0 	-3 
900	 23.29 	1 	23.25 	0.04 	0 	-3 
1000	 23.47 	1 	23.38 	0.09 	0 	-3 
1100	 23.92 	1 	23.71 	0.21 	0 	-3 
1200	 23.03 	1 	23.30 	0.27 	0 	-3 
1300	 22.94 	1 	23.08 	0.14 	0 	-3 
1400	 22.94 	1 	23.00 	0.06 	0 	-3 
1500	 23.29 	1 	23.17 	0.12 	0 	-3 
1600	 23.83 	1 	23.57 	0.26 	0 	-3 
1700	 23.47 	1 	23.51 	0.04 	0 	-3 
1800	 22.94 	1 	23.17 	0.23 	0 	-3 
1900	 22.94 	1 	23.03 	0.09 	0 	-3 
2000	 22.94 	1 	22.98 	0.04 	0 	-3 
2100	 22.94 	1 	22.95 	0.01 	0 	-3 
2200	 23.20 	1 	23.10 	0.10 	0 	-3 
2300	 24.36 	1 	23.86 	0.50 	0 	-3 
2400	 22.94 	1 	23.31 	0.37 	0 	-3 
2500	 24.00 	1 	23.72 	0.28 	0 	-3 
2600	 23.38 	1 	23.52 	0.14 	0 	-3 
2700	 23.29 	1 	23.38 	0.09 	0 	-3 
2800	 23.29 	1 	23.33 	0.04 	0 	-3 
2900	 23.29 	1 	23.30 	0.01 	0 	-3 
3000	 23.29 	1 	23.30 	0.01 	0 	-3 
3100	 22.94 	1 	23.08 	0.14 	0 	-3 
3200	 23.03 	1 	23.05 	0.02 	0 	-3 
3300	 23.29 	1 	23.19 	0.10 	0 	-3 
3400	 22.94 	1 	23.04 	0.10 	0 	-3 
3500	 23.56 	1 	23.35 	0.21 	0 	-3 
3600	 23.83 	1 	23.64 	0.19 	0 	-3 
3700	 23.83 	1 	23.75 	0.08 	0 	-3 
3800	 23.56 	1 	23.64 	0.08 	0 	-3 
3900	 23.20 	1 	23.37 	0.17 	0 	-3 
4000	 23.29 	1 	23.32 	0.03 	0 	-3 
4100	 22.94 	1 	23.09 	0.15 	0 	-3 
4200	 23.47 	1 	23.32 	0.15 	0 	-3 
4300	 23.20 	1 	23.25 	0.05 	0 	-3 
4400	 23.29 	1 	23.27 	0.02 	0 	-3 
4500	 24.36 	1 	23.93 	0.43 	0 	-3 
4600	 24.09 	1 	24.02 	0.07 	0 	-3 
4700	 23.56 	1 	23.75 	0.19 	0 	-3 
4800	 24.45 	1 	24.17 	0.28 	0 	-3 
4900	 24.00 	1 	24.07 	0.07 	0 	-3 
5000	 23.47 	1 	23.71 	0.24 	0 	-3 
5100	 23.47 	1 	23.57 	0.10 	0 	-3 
5200	 23.47 	1 	23.51 	0.04 	0 	-3 
5300	 23.47 	1 	23.49 	0.02 	0 	-3 
5400	 22.85 	1 	23.10 	0.25 	0 	-3 
5500	 24.36 	1 	23.86 	0.50 	0 	-3 
5600	 23.38 	1 	23.57 	0.19 	0 	-3 
5700	 24.36 	1 	24.04 	0.32 	0 	-3 
5800	 23.56 	1 	23.75 	0.19 	0 	-3 
5900	 23.29 	1 	23.48 	0.19 	0 	-3 
6000	 23.47 	1 	23.47 	0.00 	0 	-3 
6100	 23.47 	1 	23.47 	0.00 	0 	-3 
6200	 23.29 	1 	23.36 	0.07 	0 	-3 
6300	 22.94 	1 	23.11 	0.17 	0 	-3 
6400	 22.94 	1 	23.01 	0.07 	0 	-3 
6500	 23.83 	1 	23.50 	0.33 	0 	-3 
6600	 22.94 	1 	23.16 	0.22 	0 	-3 
6700	 23.20 	1 	23.19 	0.01 	0 	-3 
6800	 23.47 	1 	23.36 	0.11 	0 	-3 
6900	 24.09 	1 	23.80 	0.29 	0 	-3 
7000	 23.47 	1 	23.60 	0.13 	0 	-3 
7100	 23.20 	1 	23.36 	0.16 	0 	-3 
7200	 23.29 	1 	23.32 	0.03 	0 	-3 
7300	 22.94 	1 	23.09 	0.15 	0 	-3 
7400	 23.20 	1 	23.16 	0.04 	0 	-3 
7500	 22.94 	1 	23.03 	0.09 	0 	-3 
7600	 23.56 	1 	23.35 	0.21 	0 	-3 
7700	 22.94 	1 	23.10 	0.16 	0 	-3 
7800	 23.83 	1 	23.54 	0.29 	0 	-3 
7900	 23.83 	1 	23.71 	0.12 	0 	-3 
8000	 22.94 	1 	23.25 	0.31 	0 	-3 
8100	 22.94 	1 	23.06 	0.12 	0 	-3 
8200	 22.85 	1 	22.94 	0.09 	0 	-3 
8300	 23.47 	1 	23.26 	0.21 	0 	-3 
