#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 0.00 	1 	0.00 	0.00 	1 	-3 
300	 0.00 	1 	0.00 	0.00 	2 	-3 
400	 0.00 	1 	0.00 	0.00 	3 	-3 
500	 29.88 	0 	17.93 	11.95 	3 	11.95 
600	 29.88 	0 	25.10 	4.78 	0 	4.78 
700	 29.97 	1 	28.02 	1.95 	0 	-3 
800	 29.79 	1 	29.08 	0.71 	0 	-3 
900	 29.88 	1 	29.56 	0.32 	0 	-3 
1000	 29.52 	1 	29.54 	0.02 	0 	-3 
1100	 29.88 	1 	29.74 	0.14 	0 	-3 
1200	 29.52 	1 	29.61 	0.09 	0 	-3 
1300	 29.52 	1 	29.56 	0.04 	0 	-3 
1400	 30.06 	1 	29.86 	0.20 	0 	-3 
1500	 29.97 	1 	29.93 	0.04 	0 	-3 
1600	 29.88 	1 	29.90 	0.02 	0 	-3 
1700	 29.61 	1 	29.73 	0.12 	0 	-3 
1800	 29.52 	1 	29.60 	0.08 	0 	-3 
1900	 29.61 	1 	29.61 	0.00 	0 	-3 
2000	 29.52 	1 	29.55 	0.03 	0 	-3 
2100	 30.06 	1 	29.86 	0.20 	0 	-3 
2200	 30.41 	1 	30.19 	0.22 	0 	-3 
2300	 29.88 	1 	30.00 	0.12 	0 	-3 
2400	 30.06 	1 	30.04 	0.02 	0 	-3 
2500	 30.06 	1 	30.05 	0.01 	0 	-3 
2600	 30.14 	1 	30.10 	0.04 	0 	-3 
2700	 30.41 	1 	30.29 	0.12 	0 	-3 
2800	 30.32 	1 	30.31 	0.01 	0 	-3 
2900	 30.41 	1 	30.37 	0.04 	0 	-3 
3000	 29.88 	1 	30.08 	0.20 	0 	-3 
3100	 30.14 	1 	30.11 	0.03 	0 	-3 
3200	 30.06 	1 	30.08 	0.02 	0 	-3 
3300	 30.50 	1 	30.33 	0.17 	0 	-3 
3400	 29.61 	1 	29.90 	0.29 	0 	-3 
3500	 30.23 	1 	30.10 	0.13 	0 	-3 
3600	 30.50 	1 	30.34 	0.16 	0 	-3 
3700	 30.41 	1 	30.38 	0.03 	0 	-3 
3800	 29.61 	1 	29.92 	0.31 	0 	-3 
3900	 30.41 	1 	30.21 	0.20 	0 	-3 
4000	 30.50 	1 	30.39 	0.11 	0 	-3 
4100	 29.61 	1 	29.92 	0.31 	0 	-3 
4200	 29.61 	1 	29.73 	0.12 	0 	-3 
4300	 29.97 	1 	29.88 	0.09 	0 	-3 
4400	 30.50 	1 	30.25 	0.25 	0 	-3 
4500	 29.88 	1 	30.03 	0.15 	0 	-3 
4600	 30.14 	1 	30.10 	0.04 	0 	-3 
4700	 30.06 	1 	30.07 	0.01 	0 	-3 
4800	 29.88 	1 	29.96 	0.08 	0 	-3 
4900	 30.14 	1 	30.07 	0.07 	0 	-3 
5000	 29.52 	1 	29.74 	0.22 	0 	-3 
5100	 29.52 	1 	29.61 	0.09 	0 	-3 
5200	 30.06 	1 	29.88 	0.18 	0 	-3 
5300	 29.61 	1 	29.72 	0.11 	0 	-3 
5400	 29.52 	1 	29.60 	0.08 	0 	-3 
5500	 29.97 	1 	29.82 	0.15 	0 	-3 
5600	 29.61 	1 	29.69 	0.08 	0 	-3 
5700	 30.41 	1 	30.12 	0.29 	0 	-3 
5800	 30.14 	1 	30.13 	0.01 	0 	-3 
5900	 29.88 	1 	29.98 	0.10 	0 	-3 
6000	 30.06 	1 	30.03 	0.03 	0 	-3 
6100	 29.52 	1 	29.72 	0.20 	0 	-3 
6200	 29.88 	1 	29.82 	0.06 	0 	-3 
6300	 29.52 	1 	29.64 	0.12 	0 	-3 
6400	 30.06 	1 	29.89 	0.17 	0 	-3 
6500	 29.97 	1 	29.94 	0.03 	0 	-3 
6600	 30.06 	1 	30.01 	0.05 	0 	-3 
6700	 29.88 	1 	29.93 	0.05 	0 	-3 
6800	 29.61 	1 	29.74 	0.13 	0 	-3 
6900	 30.23 	1 	30.03 	0.20 	0 	-3 
7000	 30.06 	1 	30.05 	0.01 	0 	-3 
7100	 29.88 	1 	29.95 	0.07 	0 	-3 
7200	 30.41 	1 	30.23 	0.18 	0 	-3 
7300	 30.14 	1 	30.17 	0.03 	0 	-3 
7400	 29.88 	1 	30.00 	0.12 	0 	-3 
7500	 29.52 	1 	29.71 	0.19 	0 	-3 
7600	 30.77 	1 	30.35 	0.42 	0 	-3 
7700	 29.52 	1 	29.85 	0.33 	0 	-3 
7800	 29.88 	1 	29.87 	0.01 	0 	-3 
7900	 29.88 	1 	29.88 	0.00 	0 	-3 
8000	 29.61 	1 	29.72 	0.11 	0 	-3 
8100	 29.61 	1 	29.65 	0.04 	0 	-3 
8200	 30.06 	1 	29.90 	0.16 	0 	-3 
8300	 30.06 	1 	29.99 	0.07 	0 	-3 
