#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 0.00 	1 	0.00 	0.00 	1 	-3 
300	 0.00 	1 	0.00 	0.00 	2 	-3 
400	 0.00 	1 	0.00 	0.00 	3 	-3 
500	 86.56 	0 	51.94 	34.62 	3 	34.62 
600	 85.49 	0 	72.07 	13.42 	0 	13.42 
700	 84.87 	0 	79.75 	5.12 	0 	5.12 
800	 84.34 	1 	82.50 	1.84 	0 	-3 
900	 84.34 	1 	83.61 	0.73 	0 	-3 
1000	 82.83 	1 	83.14 	0.31 	0 	-3 
1100	 84.34 	1 	83.86 	0.48 	0 	-3 
1200	 83.89 	1 	83.88 	0.01 	0 	-3 
1300	 84.52 	1 	84.26 	0.26 	0 	-3 
1400	 85.49 	1 	85.00 	0.49 	0 	-3 
1500	 86.56 	1 	85.94 	0.62 	0 	-3 
1600	 84.87 	1 	85.30 	0.43 	0 	-3 
1700	 84.43 	1 	84.78 	0.35 	0 	-3 
1800	 86.12 	1 	85.58 	0.54 	0 	-3 
1900	 84.52 	1 	84.95 	0.43 	0 	-3 
2000	 83.98 	1 	84.37 	0.39 	0 	-3 
2100	 82.74 	1 	83.39 	0.65 	0 	-3 
2200	 84.34 	1 	83.96 	0.38 	0 	-3 
2300	 84.34 	1 	84.19 	0.15 	0 	-3 
2400	 86.12 	1 	85.35 	0.77 	0 	-3 
2500	 84.43 	1 	84.80 	0.37 	0 	-3 
2600	 84.43 	1 	84.58 	0.15 	0 	-3 
2700	 84.43 	1 	84.58 	0.15 	1 	-3 
2800	 85.49 	1 	85.12 	0.37 	0 	-3 
2900	 87.01 	1 	86.26 	0.75 	0 	-3 
3000	 87.10 	1 	86.76 	0.34 	0 	-3 
3100	 84.96 	1 	85.68 	0.72 	0 	-3 
3200	 86.21 	1 	86.00 	0.21 	0 	-3 
3300	 86.03 	1 	86.02 	0.01 	0 	-3 
3400	 86.65 	1 	86.40 	0.25 	0 	-3 
3500	 86.30 	1 	86.34 	0.04 	0 	-3 
3600	 85.49 	1 	85.83 	0.34 	0 	-3 
3700	 84.87 	1 	85.25 	0.38 	0 	-3 
3800	 86.12 	1 	85.77 	0.35 	0 	-3 
3900	 86.03 	1 	85.93 	0.10 	0 	-3 
4000	 86.65 	1 	86.36 	0.29 	0 	-3 
4100	 84.52 	1 	85.26 	0.74 	0 	-3 
4200	 86.65 	1 	86.09 	0.56 	0 	-3 
4300	 85.41 	1 	85.68 	0.27 	0 	-3 
4400	 84.34 	1 	84.88 	0.54 	0 	-3 
4500	 86.03 	1 	85.57 	0.46 	0 	-3 
4600	 86.21 	1 	85.95 	0.26 	0 	-3 
4700	 84.43 	1 	85.04 	0.61 	0 	-3 
4800	 84.69 	1 	84.83 	0.14 	0 	-3 
4900	 83.89 	1 	84.27 	0.38 	0 	-3 
5000	 86.65 	1 	85.70 	0.95 	0 	-3 
5100	 83.98 	1 	84.67 	0.69 	0 	-3 
5200	 83.36 	1 	83.88 	0.52 	0 	-3 
5300	 84.96 	1 	84.53 	0.43 	0 	-3 
5400	 84.96 	1 	84.79 	0.17 	0 	-3 
5500	 86.03 	1 	85.53 	0.50 	0 	-3 
5600	 83.89 	1 	84.55 	0.66 	0 	-3 
5700	 86.03 	1 	85.44 	0.59 	0 	-3 
5800	 86.21 	1 	85.90 	0.31 	0 	-3 
5900	 86.65 	1 	86.35 	0.30 	0 	-3 
6000	 84.43 	1 	85.20 	0.77 	0 	-3 
6100	 85.58 	1 	85.43 	0.15 	0 	-3 
6200	 85.76 	1 	85.63 	0.13 	0 	-3 
6300	 85.58 	1 	85.60 	0.02 	0 	-3 
6400	 84.43 	1 	84.90 	0.47 	0 	-3 
6500	 86.03 	1 	85.58 	0.45 	0 	-3 
6600	 83.89 	1 	84.56 	0.67 	0 	-3 
6700	 85.49 	1 	85.12 	0.37 	0 	-3 
6800	 84.43 	1 	84.71 	0.28 	0 	-3 
6900	 86.30 	1 	85.66 	0.64 	0 	-3 
7000	 83.89 	1 	84.60 	0.71 	0 	-3 
7100	 83.63 	1 	84.02 	0.39 	0 	-3 
7200	 86.65 	1 	85.60 	1.05 	0 	-3 
7300	 85.05 	1 	85.27 	0.22 	0 	-3 
7400	 86.03 	1 	85.73 	0.30 	0 	-3 
7500	 84.43 	1 	84.95 	0.52 	0 	-3 
7600	 86.83 	1 	86.08 	0.75 	0 	-3 
7700	 86.21 	1 	86.16 	0.05 	0 	-3 
7800	 83.80 	1 	84.74 	0.94 	0 	-3 
7900	 83.80 	1 	84.18 	0.38 	0 	-3 
8000	 85.05 	1 	84.70 	0.35 	0 	-3 
8100	 84.96 	1 	84.86 	0.10 	0 	-3 
8200	 85.05 	1 	84.97 	0.08 	0 	-3 
8300	 86.21 	1 	85.72 	0.49 	0 	-3 
