#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
600	 0.00	 -0.65	 2.08	 0	 1	 1	 hover	 1500	 1500	 1500	 1022	 0.00	 0.00	 0.00
700	 0.00	 -1.07	 3.13	 1	 1	 1	 hover	 1501	 1500	 1500	 1036	 0.00	 0.00	 0.00
800	 -1.19	 -1.53	 1.97	 1	 1	 1	 hover	 1501	 1501	 1500	 1026	 0.00	 0.00	 0.00
900	 -26.65	 -0.56	 2.73	 1	 1	 1	 hover	 1500	 1526	 1500	 1037	 0.00	 0.00	 0.00
1000	 -27.25	 0.78	 3.06	 1	 1	 1	 hover	 1499	 1527	 1500	 1043	 0.00	 0.00	 0.00
1100	 -28.02	 1.16	 3.15	 1	 1	 1	 hover	 1498	 1528	 1500	 1047	 0.00	 0.00	 0.00
1200	 -28.07	 0.62	 3.12	 1	 1	 1	 hover	 1499	 1528	 1500	 1050	 0.00	 0.00	 0.00
1300	 -36.82	 -0.60	 1.83	 1	 1	 1	 hover	 1500	 1536	 1500	 1039	 0.00	 0.00	 0.00
1400	 -31.46	 -0.65	 3.80	 1	 1	 1	 hover	 1500	 1531	 1500	 1062	 0.00	 0.00	 0.00
1500	 -30.91	 -0.12	 3.29	 1	 1	 1	 hover	 1500	 1530	 1500	 1061	 0.00	 0.00	 0.00
1600	 -27.74	 -1.13	 1.93	 1	 1	 1	 hover	 1501	 1527	 1500	 1049	 0.00	 0.00	 0.00
1700	 -24.29	 -1.30	 1.73	 1	 1	 1	 hover	 1501	 1524	 1500	 1049	 0.00	 0.00	 0.00
1800	 -23.62	 -0.61	 2.74	 1	 1	 1	 hover	 1500	 1523	 1500	 1062	 0.00	 0.00	 0.00
1900	 -24.45	 -0.46	 3.04	 1	 1	 1	 hover	 1500	 1524	 1500	 1067	 0.00	 0.00	 0.00
2000	 -13.15	 -1.02	 5.89	 1	 1	 1	 hover	 1501	 1513	 1500	 1102	 0.00	 0.00	 0.00
2100	 -15.78	 -0.56	 5.41	 1	 1	 1	 hover	 1500	 1515	 1500	 1103	 0.00	 0.00	 0.00
2200	 -11.63	 -1.35	 4.13	 1	 1	 1	 hover	 1501	 1511	 1500	 1094	 0.00	 0.00	 0.00
2300	 1.14	 -1.21	 4.89	 1	 1	 1	 hover	 1501	 1498	 1500	 1106	 0.00	 0.00	 0.00
2400	 -21.07	 -0.66	 4.34	 1	 1	 1	 hover	 1500	 1521	 1500	 1105	 0.00	 0.00	 0.00
2500	 -3.62	 -0.50	 5.15	 1	 1	 1	 hover	 1500	 1503	 1500	 1118	 0.00	 0.00	 0.00
