#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
300	 -21.37	 42.76	 107.94	 23.00	 46.00	 -47.00
400	 -21.27	 42.54	 108.13	 -110.00	 18.00	 -14.00
500	 -21.27	 42.54	 108.13	 -110.00	 18.00	 -14.00
600	 -17.06	 36.69	 112.56	 -116.00	 10.00	 -6.00
700	 -16.84	 36.54	 112.69	 -42.00	 53.00	 -40.00
800	 -16.84	 36.54	 112.69	 -42.00	 53.00	 -40.00
900	 -13.08	 31.25	 115.59	 -27.00	 56.00	 -41.00
1000	 -12.98	 31.07	 115.68	 15.00	 20.00	 -16.00
1100	 -12.98	 31.07	 115.68	 15.00	 20.00	 -16.00
1200	 -9.69	 26.71	 117.66	 -59.00	 57.00	 -12.00
1300	 -9.56	 26.58	 117.73	 20.00	 32.00	 -30.00
1400	 -9.56	 26.58	 117.73	 20.00	 32.00	 -30.00
1500	 -6.86	 22.83	 119.18	 8.00	 60.00	 -42.00
1600	 -6.84	 22.72	 119.22	 -7.00	 33.00	 -54.00
1700	 -6.84	 22.72	 119.22	 -7.00	 33.00	 -54.00
1800	 -4.57	 19.74	 120.35	 39.00	 39.00	 -48.00
1900	 -4.56	 19.63	 120.38	 -102.00	 43.00	 -13.00
2000	 -4.56	 19.63	 120.38	 -102.00	 43.00	 -13.00
2100	 -2.76	 17.14	 121.30	 -52.00	 45.00	 -28.00
2200	 -2.70	 17.03	 121.32	 -75.00	 48.00	 -25.00
2300	 -2.70	 17.03	 121.32	 -75.00	 48.00	 -25.00
2400	 -1.30	 15.09	 122.09	 -3.00	 42.00	 -15.00
2500	 -1.28	 15.02	 122.11	 -107.00	 28.00	 -20.00
2600	 -1.28	 15.02	 122.11	 -107.00	 28.00	 -20.00
2700	 -0.11	 13.41	 122.80	 -43.00	 20.00	 -24.00
2800	 -0.07	 13.37	 122.82	 -169.00	 39.00	 -33.00
2900	 -0.07	 13.37	 122.82	 -169.00	 39.00	 -33.00
3000	 0.76	 12.13	 123.43	 -71.00	 16.00	 -32.00
3100	 0.83	 12.07	 123.46	 -31.00	 62.00	 -33.00
3200	 0.83	 12.07	 123.46	 -31.00	 62.00	 -33.00
3300	 1.51	 11.04	 124.03	 -24.00	 1.00	 0.00
3400	 1.59	 11.01	 124.05	 -69.00	 35.00	 -17.00
3500	 1.59	 11.01	 124.05	 -69.00	 35.00	 -17.00
3600	 2.08	 10.18	 124.59	 -79.00	 33.00	 -35.00
3700	 2.10	 10.17	 124.61	 -134.00	 47.00	 -41.00
3800	 2.10	 10.17	 124.61	 -134.00	 47.00	 -41.00
3900	 2.54	 9.52	 125.15	 -55.00	 34.00	 -15.00
4000	 2.60	 9.46	 125.16	 -92.00	 71.00	 -36.00
4100	 2.60	 9.46	 125.16	 -92.00	 71.00	 -36.00
4200	 2.87	 8.95	 125.68	 -47.00	 19.00	 -21.00
4300	 2.94	 8.89	 125.70	 -85.00	 41.00	 2.00
4400	 2.94	 8.89	 125.70	 -85.00	 41.00	 2.00
4500	 3.22	 8.52	 126.20	 -31.00	 32.00	 -21.00
4600	 3.20	 8.52	 126.21	 -55.00	 40.00	 -27.00
4700	 3.20	 8.52	 126.21	 -55.00	 40.00	 -27.00
4800	 3.46	 8.16	 126.71	 54.00	 68.00	 -37.00
4900	 3.40	 8.15	 126.74	 -86.00	 24.00	 -34.00
5000	 3.40	 8.15	 126.74	 -86.00	 24.00	 -34.00
5100	 3.65	 7.91	 127.23	 -3.00	 56.00	 -68.00
5200	 3.60	 7.88	 127.25	 -27.00	 41.00	 -43.00
5300	 3.60	 7.88	 127.25	 -27.00	 41.00	 -43.00
5400	 3.75	 7.67	 127.75	 -82.00	 36.00	 -31.00
5500	 3.74	 7.65	 127.75	 -56.00	 9.00	 -18.00
5600	 3.74	 7.65	 127.75	 -56.00	 9.00	 -18.00
5700	 3.86	 7.46	 128.24	 -112.00	 38.00	 -21.00
5800	 3.89	 7.46	 128.26	 -25.00	 42.00	 -36.00
5900	 3.89	 7.46	 128.26	 -25.00	 42.00	 -36.00
6000	 3.92	 7.36	 128.74	 -118.00	 19.00	 -21.00
6100	 4.02	 7.37	 128.77	 -29.00	 65.00	 -32.00
6200	 4.02	 7.37	 128.77	 -29.00	 65.00	 -32.00
6300	 3.98	 7.25	 129.25	 -103.00	 28.00	 -29.00
