#Time(ms)	  xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 0.00	 0.00	 0.00	 1	 1	 1	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 0.42	 0.27	 -0.39	 1	 1	 1	 hover	 1499	 1500	 1500	 995	 0.00	 0.00	 0.00
600	 0.36	 0.19	 0.67	 1	 1	 1	 hover	 1499	 1500	 1500	 1007	 0.00	 0.00	 0.00
700	 -0.89	 0.00	 0.08	 1	 1	 1	 hover	 1499	 1498	 1500	 1001	 0.00	 0.00	 0.00
800	 0.12	 -25.19	 -0.19	 1	 1	 1	 hover	 1550	 1500	 1500	 998	 0.00	 0.00	 0.00
900	 1.06	 -4.29	 -0.46	 1	 1	 1	 hover	 1508	 1502	 1500	 994	 0.00	 0.00	 0.00
1000	 0.19	 -2.80	 -0.19	 1	 1	 1	 hover	 1505	 1500	 1500	 997	 0.00	 0.00	 0.00
1100	 0.05	 -2.29	 -0.78	 1	 1	 1	 hover	 1504	 1500	 1500	 989	 0.00	 0.00	 0.00
1200	 0.73	 -2.04	 -0.61	 1	 1	 1	 hover	 1504	 1501	 1500	 990	 0.00	 0.00	 0.00
1300	 1.03	 -1.97	 -0.88	 1	 1	 1	 hover	 1503	 1502	 1500	 985	 0.00	 0.00	 0.00
1400	 0.39	 -1.87	 -1.01	 1	 1	 1	 hover	 1503	 1500	 1500	 982	 0.00	 0.00	 0.00
1500	 0.41	 -2.14	 -1.08	 1	 1	 1	 hover	 1504	 1500	 1500	 979	 0.00	 0.00	 0.00
1600	 1.37	 -2.10	 -1.09	 1	 1	 1	 hover	 1504	 1502	 1500	 977	 0.00	 0.00	 0.00
1700	 1.06	 -1.94	 -1.18	 1	 1	 1	 hover	 1503	 1502	 1500	 974	 0.00	 0.00	 0.00
1800	 0.41	 -2.27	 -0.41	 1	 1	 1	 hover	 1504	 1500	 1500	 980	 0.00	 0.00	 0.00
1900	 0.64	 -1.97	 -0.28	 1	 1	 1	 hover	 1503	 1501	 1500	 981	 0.00	 0.00	 0.00
2000	 1.17	 -1.92	 -0.91	 1	 1	 1	 hover	 1503	 1502	 1500	 973	 0.00	 0.00	 0.00
2100	 1.45	 -1.75	 -1.06	 1	 1	 1	 hover	 1503	 1502	 1500	 969	 0.00	 0.00	 0.00
2200	 0.94	 -2.21	 -1.03	 1	 1	 1	 hover	 1504	 1501	 1500	 968	 0.00	 0.00	 0.00
2300	 1.44	 -2.15	 -1.16	 1	 1	 1	 hover	 1504	 1502	 1500	 964	 0.00	 0.00	 0.00
2400	 0.91	 -2.21	 -0.64	 1	 1	 1	 hover	 1504	 1501	 1500	 968	 0.00	 0.00	 0.00
2500	 1.02	 -1.74	 -0.19	 1	 1	 1	 hover	 1503	 1502	 1500	 972	 0.00	 0.00	 0.00
