#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 1.50	 19.02	 -162.68	 10.00	 21.00	 15.00
300	 1.48	 19.01	 -162.70	 10.00	 20.00	 14.00
400	 1.48	 19.01	 -162.70	 10.00	 20.00	 14.00
500	 1.32	 18.61	 -162.92	 11.00	 20.00	 14.00
600	 1.31	 18.60	 -162.93	 10.00	 19.00	 14.00
700	 1.31	 18.60	 -162.93	 10.00	 19.00	 14.00
800	 1.19	 18.29	 -163.14	 10.00	 20.00	 15.00
900	 1.18	 18.28	 -163.14	 10.00	 20.00	 14.00
1000	 1.18	 18.28	 -163.14	 10.00	 20.00	 14.00
1100	 1.08	 18.03	 -163.35	 10.00	 20.00	 15.00
1200	 1.08	 18.02	 -163.36	 8.00	 21.00	 14.00
1300	 1.08	 18.02	 -163.36	 8.00	 21.00	 14.00
1400	 1.00	 17.83	 -163.57	 11.00	 20.00	 14.00
1500	 0.99	 17.82	 -163.58	 11.00	 19.00	 15.00
1600	 0.99	 17.82	 -163.58	 11.00	 19.00	 15.00
1700	 0.94	 17.66	 -163.79	 11.00	 20.00	 15.00
1800	 0.93	 17.65	 -163.80	 9.00	 20.00	 14.00
1900	 0.93	 17.65	 -163.80	 9.00	 20.00	 14.00
2000	 0.88	 17.53	 -163.99	 10.00	 21.00	 15.00
2100	 0.88	 17.53	 -164.00	 11.00	 20.00	 15.00
2200	 0.88	 17.53	 -164.00	 11.00	 20.00	 15.00
2300	 0.84	 17.43	 -164.21	 10.00	 21.00	 15.00
2400	 0.84	 17.43	 -164.21	 10.00	 22.00	 14.00
2500	 0.84	 17.43	 -164.21	 10.00	 22.00	 14.00
2600	 0.81	 17.35	 -164.42	 9.00	 21.00	 14.00
2700	 0.81	 17.34	 -164.43	 11.00	 19.00	 15.00
2800	 0.81	 17.34	 -164.43	 11.00	 19.00	 15.00
2900	 0.78	 17.28	 -164.62	 9.00	 19.00	 14.00
3000	 0.78	 17.27	 -164.63	 11.00	 20.00	 16.00
3100	 0.78	 17.27	 -164.63	 11.00	 20.00	 16.00
3200	 0.75	 17.23	 -164.83	 11.00	 19.00	 14.00
3300	 0.75	 17.22	 -164.84	 8.00	 20.00	 14.00
3400	 0.75	 17.22	 -164.84	 8.00	 20.00	 14.00
3500	 0.74	 17.19	 -165.04	 11.00	 21.00	 15.00
3600	 0.74	 17.19	 -165.05	 10.00	 20.00	 14.00
3700	 0.74	 17.19	 -165.05	 10.00	 20.00	 14.00
3800	 0.72	 17.15	 -165.24	 11.00	 20.00	 16.00
3900	 0.71	 17.16	 -165.25	 11.00	 20.00	 14.00
4000	 0.71	 17.16	 -165.25	 11.00	 20.00	 14.00
4100	 0.71	 17.14	 -165.46	 9.00	 20.00	 14.00
4200	 0.71	 17.13	 -165.47	 9.00	 20.00	 14.00
4300	 0.71	 17.13	 -165.47	 9.00	 20.00	 14.00
4400	 0.70	 17.11	 -165.66	 11.00	 20.00	 15.00
4500	 0.70	 17.11	 -165.67	 12.00	 22.00	 14.00
4600	 0.70	 17.11	 -165.67	 12.00	 22.00	 14.00
4700	 0.70	 17.09	 -165.87	 11.00	 18.00	 15.00
4800	 0.70	 17.09	 -165.88	 11.00	 21.00	 14.00
4900	 0.70	 17.09	 -165.88	 11.00	 21.00	 14.00
5000	 0.69	 17.07	 -166.08	 12.00	 19.00	 15.00
5100	 0.69	 17.07	 -166.08	 11.00	 19.00	 15.00
5200	 0.69	 17.07	 -166.08	 11.00	 19.00	 15.00
5300	 0.69	 17.06	 -166.29	 11.00	 19.00	 15.00
5400	 0.68	 17.06	 -166.29	 10.00	 20.00	 14.00
5500	 0.68	 17.06	 -166.29	 10.00	 20.00	 14.00
5600	 0.68	 17.05	 -166.49	 11.00	 21.00	 15.00
5700	 0.68	 17.05	 -166.50	 10.00	 21.00	 15.00
5800	 0.68	 17.05	 -166.50	 10.00	 21.00	 15.00
5900	 0.68	 17.05	 -166.70	 11.00	 21.00	 15.00
6000	 0.68	 17.05	 -166.70	 10.00	 21.00	 16.00
6100	 0.68	 17.05	 -166.70	 10.00	 21.00	 16.00
6200	 0.68	 17.04	 -166.90	 10.00	 21.00	 14.00
6300	 0.68	 17.04	 -166.91	 10.00	 20.00	 14.00
6400	 0.68	 17.04	 -166.91	 10.00	 20.00	 14.00
6500	 0.67	 17.04	 -167.11	 11.00	 20.00	 14.00
6600	 0.67	 17.04	 -167.12	 10.00	 21.00	 14.00
6700	 0.67	 17.04	 -167.12	 10.00	 21.00	 14.00
6800	 0.67	 17.04	 -167.32	 10.00	 19.00	 15.00
6900	 0.67	 17.04	 -167.33	 11.00	 19.00	 13.00
7000	 0.67	 17.04	 -167.33	 11.00	 19.00	 13.00
7100	 0.67	 17.03	 -167.52	 11.00	 20.00	 15.00
7200	 0.67	 17.04	 -167.53	 11.00	 21.00	 15.00
7300	 0.67	 17.04	 -167.53	 11.00	 21.00	 15.00
7400	 0.67	 17.04	 -167.73	 10.00	 20.00	 15.00
7500	 0.67	 17.04	 -167.73	 11.00	 19.00	 15.00
7600	 0.67	 17.04	 -167.73	 11.00	 19.00	 15.00
7700	 0.67	 17.03	 -167.93	 11.00	 19.00	 15.00
7800	 0.67	 17.03	 -167.94	 11.00	 20.00	 15.00
7900	 0.67	 17.03	 -167.94	 11.00	 20.00	 15.00
8000	 0.67	 17.03	 -168.14	 10.00	 21.00	 15.00
8100	 0.67	 17.03	 -168.14	 11.00	 20.00	 15.00
8200	 0.67	 17.03	 -168.14	 11.00	 20.00	 15.00
8300	 0.68	 17.02	 -168.34	 10.00	 20.00	 15.00
8400	 0.68	 17.03	 -168.35	 11.00	 21.00	 15.00
8500	 0.68	 17.03	 -168.35	 11.00	 21.00	 15.00
8600	 0.68	 17.03	 -168.55	 10.00	 20.00	 15.00
8700	 0.68	 17.03	 -168.56	 11.00	 20.00	 15.00
8800	 0.68	 17.03	 -168.56	 11.00	 20.00	 15.00
8900	 0.68	 17.04	 -168.76	 10.00	 21.00	 14.00
9000	 0.67	 17.04	 -168.77	 9.00	 20.00	 16.00
9100	 0.67	 17.04	 -168.77	 9.00	 20.00	 16.00
9200	 0.67	 17.04	 -168.97	 10.00	 20.00	 15.00
9300	 0.67	 17.04	 -168.97	 10.00	 21.00	 14.00
9400	 0.67	 17.04	 -168.97	 10.00	 21.00	 14.00
9500	 0.67	 17.03	 -169.17	 10.00	 20.00	 16.00
9600	 0.67	 17.03	 -169.17	 11.00	 21.00	 14.00
9700	 0.67	 17.03	 -169.17	 11.00	 21.00	 14.00
9800	 0.67	 17.04	 -169.37	 10.00	 20.00	 15.00
9900	 0.67	 17.04	 -169.37	 10.00	 21.00	 15.00
10000	 0.67	 17.04	 -169.37	 10.00	 21.00	 15.00
10100	 0.68	 17.03	 -169.58	 11.00	 20.00	 16.00
10200	 0.68	 17.03	 -169.58	 9.00	 21.00	 14.00
10300	 0.68	 17.03	 -169.58	 9.00	 21.00	 14.00
10400	 0.67	 17.03	 -169.78	 10.00	 20.00	 15.00
10500	 0.67	 17.03	 -169.79	 12.00	 20.00	 15.00
10600	 0.67	 17.03	 -169.79	 12.00	 20.00	 15.00
10700	 0.67	 17.03	 -169.98	 9.00	 20.00	 15.00
10800	 0.67	 17.04	 -169.99	 11.00	 21.00	 14.00
10900	 0.67	 17.04	 -169.99	 11.00	 21.00	 14.00
11000	 0.67	 17.04	 -170.19	 10.00	 20.00	 15.00
11100	 0.67	 17.04	 -170.20	 11.00	 19.00	 14.00
11200	 0.67	 17.04	 -170.20	 11.00	 19.00	 14.00
11300	 0.67	 17.04	 -170.39	 11.00	 19.00	 15.00
11400	 0.67	 17.04	 -170.40	 10.00	 19.00	 14.00
11500	 0.67	 17.04	 -170.40	 10.00	 19.00	 14.00
11600	 0.67	 17.04	 -170.60	 10.00	 20.00	 15.00
11700	 0.67	 17.04	 -170.60	 10.00	 22.00	 15.00
11800	 0.67	 17.04	 -170.60	 10.00	 22.00	 15.00
11900	 0.67	 17.04	 -170.80	 11.00	 20.00	 15.00
12000	 0.66	 17.04	 -170.81	 10.00	 20.00	 15.00
12100	 0.66	 17.04	 -170.81	 10.00	 20.00	 15.00
12200	 0.66	 17.04	 -171.01	 11.00	 21.00	 15.00
12300	 0.66	 17.04	 -171.02	 12.00	 20.00	 15.00
12400	 0.66	 17.04	 -171.02	 12.00	 20.00	 15.00
12500	 0.66	 17.04	 -171.22	 11.00	 20.00	 15.00
12600	 0.66	 17.04	 -171.23	 10.00	 21.00	 15.00
12700	 0.66	 17.04	 -171.23	 10.00	 21.00	 15.00
12800	 0.66	 17.04	 -171.43	 11.00	 21.00	 14.00
12900	 0.66	 17.04	 -171.43	 10.00	 21.00	 15.00
13000	 0.66	 17.04	 -171.43	 10.00	 21.00	 15.00
13100	 0.67	 17.03	 -171.63	 11.00	 21.00	 15.00
13200	 0.67	 17.04	 -171.64	 11.00	 20.00	 14.00
13300	 0.67	 17.04	 -171.64	 11.00	 20.00	 14.00
13400	 0.67	 17.03	 -171.84	 10.00	 21.00	 15.00
13500	 0.67	 17.03	 -171.84	 10.00	 21.00	 15.00
13600	 0.67	 17.03	 -171.84	 10.00	 21.00	 15.00
13700	 0.68	 17.03	 -172.04	 10.00	 21.00	 15.00
13800	 0.68	 17.03	 -172.05	 10.00	 21.00	 15.00
13900	 0.68	 17.03	 -172.05	 10.00	 21.00	 15.00
14000	 0.80	 16.87	 -172.17	 11.00	 20.00	 14.00
14100	 0.81	 16.85	 -172.17	 10.00	 20.00	 14.00
14200	 0.81	 16.85	 -172.17	 10.00	 20.00	 14.00
14300	 1.03	 16.56	 -172.17	 11.00	 20.00	 14.00
14400	 1.03	 16.55	 -172.17	 11.00	 19.00	 15.00
14500	 1.03	 16.55	 -172.17	 11.00	 19.00	 15.00
14600	 1.20	 16.32	 -172.18	 10.00	 20.00	 15.00
14700	 1.21	 16.31	 -172.17	 10.00	 20.00	 14.00
14800	 1.21	 16.31	 -172.17	 10.00	 20.00	 14.00
14900	 1.35	 16.12	 -172.17	 11.00	 19.00	 15.00
15000	 1.35	 16.12	 -172.18	 11.00	 20.00	 15.00
15100	 1.35	 16.12	 -172.18	 11.00	 20.00	 15.00
