#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 17.78 	0 	5.33 	12.45 	0 	12.45 
300	 -1.00 	0 	5.33 	6.33 	0 	6.33 
400	 -1.00 	0 	5.33 	6.33 	0 	6.33 
500	 17.78 	0 	9.07 	8.71 	0 	8.71 
600	 17.15 	0 	11.49 	5.66 	0 	5.66 
700	 17.24 	0 	13.22 	4.02 	0 	4.02 
800	 17.24 	1 	14.42 	2.82 	0 	-3 
900	 17.24 	1 	15.27 	1.97 	0 	-3 
1000	 17.24 	1 	15.86 	1.38 	0 	-3 
1100	 -1.00 	0 	15.86 	16.86 	0 	16.86 
1200	 17.24 	1 	16.27 	0.97 	0 	-3 
1300	 -1.00 	0 	16.27 	17.27 	0 	17.27 
1400	 17.15 	1 	16.54 	0.61 	0 	-3 
1500	 -1.00 	0 	16.54 	17.54 	0 	17.54 
1600	 17.24 	1 	16.75 	0.49 	0 	-3 
1700	 17.24 	1 	16.90 	0.34 	0 	-3 
1800	 -1.00 	0 	16.90 	17.90 	0 	17.90 
1900	 17.15 	1 	16.97 	0.18 	0 	-3 
2000	 17.24 	1 	17.05 	0.19 	0 	-3 
2100	 17.15 	1 	17.08 	0.07 	0 	-3 
2200	 17.24 	1 	17.13 	0.11 	0 	-3 
2300	 -1.00 	0 	17.13 	18.13 	0 	18.13 
2400	 17.15 	1 	17.14 	0.01 	0 	-3 
2500	 17.15 	1 	17.14 	0.01 	0 	-3 
2600	 17.24 	1 	17.17 	0.07 	0 	-3 
2700	 17.15 	1 	17.16 	0.01 	0 	-3 
2800	 -1.00 	0 	17.16 	18.16 	0 	18.16 
2900	 17.86 	1 	17.37 	0.49 	0 	-3 
3000	 17.86 	1 	17.52 	0.34 	0 	-3 
3100	 17.15 	1 	17.41 	0.26 	0 	-3 
3200	 17.15 	1 	17.33 	0.18 	0 	-3 
3300	 17.24 	1 	17.30 	0.06 	0 	-3 
3400	 17.24 	1 	17.28 	0.04 	0 	-3 
3500	 17.15 	1 	17.24 	0.09 	0 	-3 
3600	 -1.00 	0 	17.24 	18.24 	0 	18.24 
3700	 17.15 	1 	17.22 	0.07 	0 	-3 
3800	 17.15 	1 	17.20 	0.05 	0 	-3 
3900	 -1.00 	0 	17.20 	18.20 	0 	18.20 
4000	 17.15 	1 	17.18 	0.03 	0 	-3 
4100	 16.35 	1 	16.93 	0.58 	0 	-3 
4200	 17.24 	1 	17.02 	0.22 	0 	-3 
4300	 -1.00 	0 	17.02 	18.02 	0 	18.02 
4400	 17.24 	1 	17.09 	0.15 	0 	-3 
4500	 17.24 	1 	17.13 	0.11 	0 	-3 
4600	 17.78 	1 	17.33 	0.45 	0 	-3 
4700	 17.15 	1 	17.27 	0.12 	0 	-3 
4800	 17.15 	1 	17.24 	0.09 	0 	-3 
4900	 17.24 	1 	17.24 	0.00 	0 	-3 
5000	 -1.00 	0 	17.24 	18.24 	0 	18.24 
5100	 17.86 	1 	17.42 	0.44 	0 	-3 
5200	 17.15 	1 	17.34 	0.19 	0 	-3 
5300	 16.08 	1 	16.96 	0.88 	0 	-3 
5400	 17.15 	1 	17.02 	0.13 	0 	-3 
5500	 17.24 	1 	17.09 	0.15 	0 	-3 
5600	 17.15 	1 	17.10 	0.05 	0 	-3 
5700	 17.24 	1 	17.15 	0.09 	0 	-3 
5800	 17.86 	1 	17.36 	0.50 	0 	-3 
5900	 -1.00 	0 	17.36 	18.36 	0 	18.36 
6000	 17.24 	1 	17.32 	0.08 	0 	-3 
6100	 17.24 	1 	17.30 	0.06 	0 	-3 
6200	 17.24 	1 	17.28 	0.04 	0 	-3 
6300	 17.24 	1 	17.27 	0.03 	0 	-3 
6400	 17.24 	1 	17.26 	0.02 	0 	-3 
6500	 17.24 	1 	17.25 	0.01 	0 	-3 
