#Time(ms)	 Roll 	 Pitch 	 Yaw 	 xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 -9.41	 -2.93	 -0.37	 0.00	 0.00	 0.00	 0	 1	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 -9.41	 -2.93	 -0.37	 0.00	 0.00	 0.00	 0	 1	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 -9.41	 -2.93	 -0.37	 0.00	 0.00	 0.00	 0	 1	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 -9.44	 -2.83	 -0.37	 0.00	 0.00	 0.00	 0	 1	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
600	 -9.44	 -2.82	 -0.37	 0.00	 0.00	 0.00	 0	 1	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
700	 -9.44	 -2.82	 -0.37	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
800	 -9.48	 -2.75	 -0.37	 0.00	 0.00	 2.82	 0	 0	 1	 hover	 1500	 1500	 1500	 1030	 0.00	 0.00	 0.00
900	 -9.48	 -2.75	 -0.37	 0.00	 0.00	 1.97	 0	 0	 1	 hover	 1500	 1500	 1500	 1024	 0.00	 0.00	 0.00
1000	 -9.48	 -2.75	 -0.37	 0.00	 0.00	 1.38	 0	 0	 1	 hover	 1500	 1500	 1500	 1019	 0.00	 0.00	 0.00
1100	 -9.51	 -2.70	 -0.39	 0.00	 0.00	 1.38	 0	 0	 0	 hover	 1500	 1500	 1500	 1019	 0.00	 0.00	 0.00
1200	 -9.51	 -2.69	 -0.39	 0.00	 0.00	 2.35	 0	 0	 1	 hover	 1500	 1500	 1500	 1031	 0.00	 0.00	 0.00
1300	 -9.51	 -2.69	 -0.39	 0.00	 0.00	 2.35	 0	 0	 0	 hover	 1500	 1500	 1500	 1031	 0.00	 0.00	 0.00
1400	 -9.53	 -2.65	 -0.40	 0.00	 0.00	 2.96	 0	 0	 1	 hover	 1500	 1500	 1500	 1041	 0.00	 0.00	 0.00
1500	 -9.53	 -2.65	 -0.40	 0.00	 0.00	 2.96	 0	 0	 0	 hover	 1500	 1500	 1500	 1041	 0.00	 0.00	 0.00
1600	 -9.53	 -2.65	 -0.40	 0.00	 0.00	 3.45	 0	 0	 1	 hover	 1500	 1500	 1500	 1049	 0.00	 0.00	 0.00
1700	 -9.54	 -2.62	 -0.41	 0.00	 2.53	 3.30	 0	 1	 1	 hover	 1497	 1500	 1500	 1051	 0.00	 0.00	 0.00
1800	 -9.54	 -2.62	 -0.42	 0.00	 1.53	 3.30	 0	 1	 0	 hover	 1498	 1500	 1500	 1051	 0.00	 0.00	 0.00
1900	 -9.54	 -2.62	 -0.42	 0.00	 0.94	 2.60	 0	 1	 1	 hover	 1499	 1500	 1500	 1046	 0.00	 0.00	 0.00
2000	 -9.55	 -2.59	 -0.43	 0.00	 1.21	 2.72	 0	 1	 1	 hover	 1498	 1500	 1500	 1050	 0.00	 0.00	 0.00
2100	 -9.55	 -2.59	 -0.43	 0.00	 1.65	 2.97	 0	 1	 1	 hover	 1498	 1500	 1500	 1056	 0.00	 0.00	 0.00
2200	 -9.55	 -2.59	 -0.43	 -0.42	 1.49	 3.05	 1	 1	 1	 hover	 1498	 1500	 1500	 1060	 0.00	 0.00	 0.00
2300	 -9.56	 -2.57	 -0.44	 0.42	 1.10	 3.04	 1	 1	 1	 hover	 1498	 1499	 1500	 1062	 0.00	 0.00	 0.00
2400	 -9.56	 -2.57	 -0.44	 0.42	 1.16	 3.17	 1	 1	 1	 hover	 1498	 1499	 1500	 1067	 0.00	 0.00	 0.00
2500	 -9.56	 -2.57	 -0.44	 0.42	 1.16	 3.17	 0	 0	 1	 hover	 1500	 1500	 1500	 1070	 0.00	 0.00	 0.00
2600	 -9.56	 -2.56	 -0.46	 0.42	 1.16	 3.24	 0	 0	 1	 hover	 1500	 1500	 1500	 1074	 0.00	 0.00	 0.00
2700	 -9.56	 -2.56	 -0.46	 0.42	 0.88	 3.28	 0	 1	 1	 hover	 1499	 1500	 1500	 1078	 0.00	 0.00	 0.00
2800	 -9.56	 -2.56	 -0.46	 0.92	 1.01	 3.85	 1	 1	 1	 hover	 1498	 1499	 1500	 1087	 0.00	 0.00	 0.00
2900	 -9.55	 -2.55	 -0.48	 1.34	 1.23	 4.04	 1	 1	 1	 hover	 1498	 1498	 1500	 1093	 0.00	 0.00	 0.00
3000	 -9.55	 -2.55	 -0.48	 1.13	 1.23	 3.92	 1	 0	 1	 hover	 1500	 1498	 1500	 1096	 0.00	 0.00	 0.00
3100	 -9.55	 -2.55	 -0.48	 1.55	 1.23	 3.91	 1	 0	 1	 hover	 1500	 1498	 1500	 1100	 0.00	 0.00	 0.00
3200	 -9.55	 -2.54	 -0.50	 1.44	 1.23	 4.08	 1	 0	 1	 hover	 1500	 1498	 1500	 1106	 0.00	 0.00	 0.00
3300	 -9.55	 -2.54	 -0.50	 1.22	 1.23	 4.10	 1	 0	 1	 hover	 1500	 1498	 1500	 1110	 0.00	 0.00	 0.00
3400	 -9.55	 -2.54	 -0.50	 0.25	 1.23	 4.12	 1	 0	 1	 hover	 1500	 1499	 1500	 1114	 0.00	 0.00	 0.00
3500	 -9.56	 -2.54	 -0.52	 -0.11	 1.23	 4.13	 1	 0	 1	 hover	 1500	 1500	 1500	 1118	 0.00	 0.00	 0.00
3600	 -9.56	 -2.54	 -0.52	 -0.37	 1.23	 4.02	 1	 0	 1	 hover	 1500	 1500	 1500	 1121	 0.00	 0.00	 0.00
3700	 -9.56	 -2.54	 -0.52	 -0.38	 1.23	 3.87	 1	 0	 1	 hover	 1500	 1500	 1500	 1124	 0.00	 0.00	 0.00
3800	 -9.57	 -2.53	 -0.53	 0.85	 1.23	 3.90	 1	 0	 1	 hover	 1500	 1499	 1500	 1128	 0.00	 0.00	 0.00
3900	 -9.57	 -2.53	 -0.54	 0.85	 1.23	 4.13	 1	 0	 1	 hover	 1500	 1499	 1500	 1134	 0.00	 0.00	 0.00
4000	 -9.57	 -2.53	 -0.54	 0.94	 1.23	 3.88	 1	 0	 1	 hover	 1500	 1499	 1500	 1136	 0.00	 0.00	 0.00
4100	 -9.57	 -2.52	 -0.55	 1.15	 1.23	 4.34	 1	 0	 1	 hover	 1500	 1498	 1500	 1145	 0.00	 0.00	 0.00
4200	 -9.57	 -2.52	 -0.56	 1.06	 1.23	 4.34	 1	 0	 0	 hover	 1500	 1498	 1500	 1145	 0.00	 0.00	 0.00
4300	 -9.57	 -2.52	 -0.56	 0.82	 1.23	 6.67	 1	 0	 1	 hover	 1500	 1499	 1500	 1175	 0.00	 0.00	 0.00
4400	 -9.57	 -2.51	 -0.57	 1.34	 1.23	 6.14	 1	 0	 1	 hover	 1500	 1498	 1500	 1175	 0.00	 0.00	 0.00
4500	 -9.57	 -2.51	 -0.57	 1.54	 1.23	 5.87	 1	 0	 1	 hover	 1500	 1498	 1500	 1179	 0.00	 0.00	 0.00
4600	 -9.57	 -2.51	 -0.57	 1.16	 1.23	 5.87	 1	 0	 0	 hover	 1500	 1498	 1500	 1179	 0.00	 0.00	 0.00
4700	 -9.57	 -2.50	 -0.58	 1.41	 1.23	 5.87	 1	 0	 0	 hover	 1500	 1498	 1500	 1179	 0.00	 0.00	 0.00
4800	 -9.57	 -2.50	 -0.59	 1.18	 1.23	 5.87	 1	 0	 0	 hover	 1500	 1498	 1500	 1179	 0.00	 0.00	 0.00
4900	 -9.57	 -2.50	 -0.59	 0.86	 1.23	 5.87	 1	 0	 0	 hover	 1500	 1499	 1500	 1179	 0.00	 0.00	 0.00
5000	 -9.57	 -2.50	 -0.60	 1.30	 1.23	 3.76	 1	 0	 1	 hover	 1500	 1498	 1500	 1161	 0.00	 0.00	 0.00
5100	 -9.57	 -2.50	 -0.60	 0.27	 1.23	 3.77	 1	 0	 1	 hover	 1500	 1499	 1500	 1165	 0.00	 0.00	 0.00
5200	 -9.57	 -2.50	 -0.60	 0.27	 1.23	 3.96	 0	 0	 1	 hover	 1500	 1500	 1500	 1171	 0.00	 0.00	 0.00
5300	 -9.57	 -2.50	 -0.62	 -2.12	 1.23	 4.66	 1	 0	 1	 hover	 1500	 1502	 1500	 1183	 0.00	 0.00	 0.00
5400	 -9.57	 -2.50	 -0.62	 -1.91	 1.23	 4.66	 1	 0	 0	 hover	 1500	 1501	 1500	 1183	 0.00	 0.00	 0.00
5500	 -9.57	 -2.50	 -0.62	 -1.60	 1.23	 4.66	 1	 0	 0	 hover	 1500	 1501	 1500	 1183	 0.00	 0.00	 0.00
5600	 -9.57	 -2.50	 -0.64	 -1.60	 1.23	 5.25	 0	 0	 1	 hover	 1500	 1500	 1500	 1194	 0.00	 0.00	 0.00
5700	 -9.57	 -2.50	 -0.65	 -2.35	 1.23	 5.02	 1	 0	 1	 hover	 1500	 1502	 1500	 1197	 0.00	 0.00	 0.00
5800	 -9.57	 -2.50	 -0.65	 -2.26	 1.23	 4.71	 1	 0	 1	 hover	 1500	 1502	 1500	 1198	 0.00	 0.00	 0.00
5900	 -9.57	 -2.50	 -0.66	 -1.65	 1.23	 4.72	 1	 0	 1	 hover	 1500	 1501	 1500	 1203	 0.00	 0.00	 0.00
6000	 -9.57	 -2.50	 -0.66	 -1.55	 1.23	 4.40	 1	 0	 1	 hover	 1500	 1501	 1500	 1204	 0.00	 0.00	 0.00
6100	 -9.57	 -2.50	 -0.66	 -1.51	 1.23	 4.23	 1	 0	 1	 hover	 1500	 1501	 1500	 1207	 0.00	 0.00	 0.00
6200	 -9.58	 -2.49	 -0.68	 -1.78	 1.23	 4.09	 1	 0	 1	 hover	 1500	 1501	 1500	 1209	 0.00	 0.00	 0.00
6300	 -9.58	 -2.49	 -0.68	 -2.18	 1.23	 4.25	 1	 0	 1	 hover	 1500	 1502	 1500	 1215	 0.00	 0.00	 0.00
6400	 -9.58	 -2.49	 -0.68	 -1.76	 1.23	 4.36	 1	 0	 1	 hover	 1500	 1501	 1500	 1221	 0.00	 0.00	 0.00
6500	 -9.57	 -2.50	 -0.70	 -1.76	 0.66	 4.35	 0	 1	 1	 hover	 1499	 1500	 1500	 1225	 0.00	 0.00	 0.00
6600	 -9.57	 -2.50	 -0.70	 -1.76	 0.66	 4.29	 0	 0	 1	 hover	 1500	 1500	 1500	 1229	 0.00	 0.00	 0.00
6700	 -9.57	 -2.50	 -0.70	 -1.76	 0.66	 4.30	 0	 0	 1	 hover	 1500	 1500	 1500	 1233	 0.00	 0.00	 0.00
6800	 -9.57	 -2.50	 -0.72	 -1.76	 0.66	 4.38	 0	 0	 1	 hover	 1500	 1500	 1500	 1238	 0.00	 0.00	 0.00
6900	 -9.57	 -2.50	 -0.72	 -1.76	 0.66	 4.41	 0	 0	 1	 hover	 1500	 1500	 1500	 1243	 0.00	 0.00	 0.00
