#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	0 
300	 -1.00 	0 	0.00 	1.00 	1 	0 
400	 -1.00 	0 	0.00 	1.00 	2 	0 
500	 -1.00 	0 	0.00 	1.00 	3 	0 
600	 -1.00 	0 	0.00 	1.00 	4 	0 
700	 -1.00 	0 	0.00 	1.00 	5 	0 
800	 165.05 	0 	49.52 	115.54 	5 	115.54 
900	 165.14 	0 	84.20 	80.94 	0 	80.94 
1000	 165.05 	0 	108.46 	56.59 	0 	56.59 
1100	 164.52 	0 	125.28 	39.24 	0 	39.24 
1200	 165.05 	0 	137.21 	27.84 	0 	27.84 
1300	 165.05 	0 	145.56 	19.49 	0 	19.49 
1400	 166.65 	0 	151.89 	14.76 	0 	14.76 
1500	 165.67 	0 	156.02 	9.65 	0 	9.65 
1600	 166.12 	0 	159.05 	7.07 	0 	7.07 
1700	 166.74 	0 	161.36 	5.38 	0 	5.38 
1800	 166.12 	0 	162.79 	3.33 	0 	3.33 
1900	 166.21 	1 	163.81 	2.40 	0 	-3 
2000	 165.14 	1 	164.21 	0.93 	0 	-3 
2100	 165.67 	1 	164.65 	1.02 	0 	-3 
2200	 169.41 	0 	166.08 	3.33 	0 	3.33 
2300	 167.27 	1 	166.44 	0.83 	0 	-3 
2400	 167.27 	1 	166.44 	0.83 	1 	-3 
2500	 165.67 	1 	166.21 	0.54 	0 	-3 
2600	 165.67 	1 	166.04 	0.37 	0 	-3 
2700	 166.03 	1 	166.04 	0.01 	0 	-3 
2800	 165.67 	1 	165.93 	0.26 	0 	-3 
2900	 164.52 	1 	165.51 	0.99 	0 	-3 
3000	 166.21 	1 	165.72 	0.49 	0 	-3 
3100	 164.34 	1 	165.30 	0.96 	0 	-3 
3200	 165.67 	1 	165.41 	0.26 	0 	-3 
3300	 166.12 	1 	165.63 	0.49 	0 	-3 
3400	 168.88 	1 	166.60 	2.28 	0 	-3 
3500	 167.81 	1 	166.96 	0.85 	0 	-3 
3600	 167.81 	1 	167.22 	0.59 	0 	-3 
3700	 164.52 	1 	166.41 	1.89 	0 	-3 
3800	 165.05 	1 	166.00 	0.95 	0 	-3 
3900	 165.05 	1 	166.00 	0.95 	1 	-3 
4000	 166.12 	1 	166.04 	0.08 	0 	-3 
