#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	0 
300	 -1.00 	0 	0.00 	1.00 	1 	0 
400	 -1.00 	0 	0.00 	1.00 	2 	0 
500	 -1.00 	0 	0.00 	1.00 	3 	0 
600	 -1.00 	0 	0.00 	1.00 	4 	0 
700	 -1.00 	0 	0.00 	1.00 	5 	0 
800	 169.23 	0 	50.77 	118.46 	5 	118.46 
900	 168.70 	0 	86.15 	82.55 	0 	82.55 
1000	 169.32 	0 	111.10 	58.22 	0 	58.22 
1100	 169.86 	0 	128.73 	41.13 	0 	41.13 
1200	 175.91 	0 	142.88 	33.03 	0 	33.03 
1300	 169.86 	0 	150.98 	18.88 	0 	18.88 
1400	 169.77 	0 	156.61 	13.16 	0 	13.16 
1500	 167.90 	0 	160.00 	7.90 	0 	7.90 
1600	 169.05 	0 	162.71 	6.34 	0 	6.34 
1700	 170.92 	0 	165.18 	5.74 	0 	5.74 
1800	 172.08 	0 	167.25 	4.83 	0 	4.83 
1900	 171.99 	0 	168.67 	3.32 	0 	3.32 
2000	 169.86 	1 	169.03 	0.83 	0 	-3 
2100	 171.46 	1 	169.76 	1.70 	0 	-3 
2200	 168.88 	1 	169.49 	0.61 	0 	-3 
2300	 168.43 	1 	169.17 	0.74 	0 	-3 
2400	 168.43 	1 	169.17 	0.74 	1 	-3 
2500	 170.39 	1 	169.54 	0.85 	0 	-3 
2600	 169.23 	1 	169.45 	0.22 	0 	-3 
2700	 168.08 	1 	169.04 	0.96 	0 	-3 
2800	 169.32 	1 	169.12 	0.20 	0 	-3 
2900	 169.86 	1 	169.34 	0.52 	0 	-3 
3000	 172.08 	1 	170.16 	1.92 	0 	-3 
3100	 170.83 	1 	170.36 	0.47 	0 	-3 
3200	 170.12 	1 	170.29 	0.17 	0 	-3 
3300	 168.70 	1 	169.81 	1.11 	0 	-3 
3400	 171.55 	1 	170.33 	1.22 	0 	-3 
3500	 168.70 	1 	169.84 	1.14 	0 	-3 
3600	 170.39 	1 	170.01 	0.38 	0 	-3 
3700	 172.53 	1 	170.76 	1.77 	0 	-3 
3800	 168.61 	1 	170.12 	1.51 	0 	-3 
3900	 168.61 	1 	170.12 	1.51 	1 	-3 
4000	 171.37 	1 	170.49 	0.88 	0 	-3 
