#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	0 
300	 -1.00 	0 	0.00 	1.00 	1 	0 
400	 -1.00 	0 	0.00 	1.00 	2 	0 
500	 -1.00 	0 	0.00 	1.00 	3 	0 
600	 -1.00 	0 	0.00 	1.00 	4 	0 
700	 -1.00 	0 	0.00 	1.00 	5 	0 
800	 142.80 	0 	42.84 	99.96 	5 	99.96 
900	 142.80 	0 	72.83 	69.97 	0 	69.97 
1000	 143.34 	0 	93.98 	49.36 	0 	49.36 
1100	 144.05 	0 	109.00 	35.05 	0 	35.05 
1200	 142.80 	0 	119.14 	23.66 	0 	23.66 
1300	 143.87 	0 	126.56 	17.31 	0 	17.31 
1400	 143.25 	0 	131.57 	11.68 	0 	11.68 
1500	 144.32 	0 	135.39 	8.93 	0 	8.93 
1600	 142.80 	0 	137.62 	5.18 	0 	5.18 
1700	 142.71 	0 	139.14 	3.57 	0 	3.57 
1800	 143.78 	0 	140.53 	3.25 	0 	3.25 
1900	 142.80 	1 	141.21 	1.59 	0 	-3 
2000	 142.27 	1 	141.53 	0.74 	0 	-3 
2100	 143.34 	1 	142.07 	1.27 	0 	-3 
2200	 142.71 	1 	142.26 	0.45 	0 	-3 
2300	 143.16 	1 	142.53 	0.63 	0 	-3 
2400	 143.34 	1 	142.78 	0.56 	0 	-3 
2500	 142.80 	1 	142.78 	0.02 	0 	-3 
2600	 143.34 	1 	142.95 	0.39 	0 	-3 
2700	 143.25 	1 	143.04 	0.21 	0 	-3 
2800	 144.05 	1 	143.34 	0.71 	0 	-3 
2900	 142.98 	1 	143.23 	0.25 	0 	-3 
3000	 142.98 	1 	143.16 	0.18 	0 	-3 
3100	 142.71 	1 	143.02 	0.31 	0 	-3 
3200	 143.87 	1 	143.28 	0.59 	0 	-3 
3300	 143.34 	1 	143.30 	0.04 	0 	-3 
3400	 143.34 	1 	143.31 	0.03 	0 	-3 
3500	 143.25 	1 	143.29 	0.04 	0 	-3 
3600	 144.05 	1 	143.52 	0.53 	0 	-3 
3700	 142.71 	1 	143.28 	0.57 	0 	-3 
3800	 143.43 	1 	143.32 	0.11 	0 	-3 
3900	 144.32 	1 	143.62 	0.70 	0 	-3 
4000	 142.09 	1 	143.16 	1.07 	0 	-3 
