#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	0 
300	 -1.00 	0 	0.00 	1.00 	1 	0 
400	 -1.00 	0 	0.00 	1.00 	2 	0 
500	 -1.00 	0 	0.00 	1.00 	3 	0 
600	 -1.00 	0 	0.00 	1.00 	4 	0 
700	 -1.00 	0 	0.00 	1.00 	5 	0 
800	 151.17 	0 	45.35 	105.82 	5 	105.82 
900	 154.19 	0 	78.00 	76.19 	0 	76.19 
1000	 156.15 	0 	101.45 	54.70 	0 	54.70 
1100	 169.86 	0 	121.97 	47.89 	0 	47.89 
1200	 169.86 	0 	121.97 	47.89 	1 	47.89 
1300	 170.39 	0 	136.50 	33.89 	0 	33.89 
1400	 173.24 	0 	147.52 	25.72 	0 	25.72 
1500	 171.10 	0 	154.59 	16.51 	0 	16.51 
1600	 172.08 	0 	159.84 	12.24 	0 	12.24 
1700	 169.41 	0 	162.71 	6.70 	0 	6.70 
1800	 169.41 	0 	162.71 	6.70 	1 	6.70 
1900	 171.64 	0 	165.39 	6.25 	0 	6.25 
2000	 171.64 	0 	165.39 	6.25 	1 	6.25 
2100	 171.64 	0 	165.39 	6.25 	2 	6.25 
2200	 171.01 	0 	167.08 	3.93 	0 	3.93 
2300	 169.86 	1 	167.91 	1.95 	0 	-3 
2400	 169.32 	1 	168.33 	0.99 	0 	-3 
2500	 -1.00 	0 	168.33 	169.33 	0 	169.33 
2600	 -1.00 	0 	168.33 	169.33 	0 	169.33 
2700	 -1.00 	0 	168.33 	169.33 	1 	169.33 
2800	 -1.00 	0 	168.33 	169.33 	2 	169.33 
2900	 -1.00 	0 	168.33 	169.33 	3 	169.33 
3000	 -1.00 	0 	168.33 	169.33 	4 	169.33 
3100	 -1.00 	0 	168.33 	169.33 	5 	169.33 
3200	 171.55 	1 	169.30 	2.25 	5 	-3 
3300	 169.86 	1 	169.47 	0.39 	0 	-3 
3400	 170.75 	1 	169.85 	0.90 	0 	-3 
3500	 153.04 	0 	164.81 	11.77 	0 	11.77 
3600	 170.48 	0 	166.51 	3.97 	0 	3.97 
3700	 172.17 	0 	168.21 	3.96 	0 	3.96 
3800	 169.94 	1 	168.73 	1.21 	0 	-3 
3900	 169.94 	1 	168.73 	1.21 	1 	-3 
