#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 0.00 	1 	0.00 	0.00 	1 	-3 
300	 0.00 	1 	0.00 	0.00 	2 	-3 
400	 0.00 	1 	0.00 	0.00 	3 	-3 
500	 0.00 	1 	0.00 	0.00 	4 	-3 
600	 0.00 	1 	0.00 	0.00 	5 	-3 
700	 135.33 	0 	40.60 	94.73 	5 	94.73 
800	 136.75 	0 	69.44 	67.31 	0 	67.31 
900	 136.84 	0 	89.66 	47.18 	0 	47.18 
1000	 136.75 	0 	103.79 	32.96 	0 	32.96 
1100	 136.48 	0 	113.60 	22.88 	0 	22.88 
1200	 137.02 	0 	120.62 	16.40 	0 	16.40 
1300	 136.93 	0 	125.52 	11.41 	0 	11.41 
1400	 136.48 	0 	128.80 	7.68 	0 	7.68 
1500	 135.33 	0 	130.76 	4.57 	0 	4.57 
1600	 136.48 	0 	132.48 	4.00 	0 	4.00 
1700	 135.33 	1 	133.33 	2.00 	0 	-3 
1800	 136.84 	1 	134.39 	2.45 	0 	-3 
1900	 136.40 	1 	134.99 	1.41 	0 	-3 
2000	 136.93 	1 	135.57 	1.36 	0 	-3 
2100	 137.02 	1 	136.01 	1.01 	0 	-3 
2200	 137.02 	1 	136.31 	0.71 	0 	-3 
2300	 136.40 	1 	136.34 	0.06 	0 	-3 
2400	 137.37 	1 	136.65 	0.72 	0 	-3 
2500	 135.24 	1 	136.22 	0.98 	0 	-3 
2600	 136.13 	1 	136.20 	0.07 	0 	-3 
2700	 137.02 	1 	136.44 	0.58 	0 	-3 
2800	 136.75 	1 	136.54 	0.21 	0 	-3 
2900	 137.29 	1 	136.76 	0.53 	0 	-3 
3000	 137.02 	1 	136.84 	0.18 	0 	-3 
3100	 136.48 	1 	136.73 	0.25 	0 	-3 
3200	 136.93 	1 	136.79 	0.14 	0 	-3 
3300	 137.02 	1 	136.86 	0.16 	0 	-3 
3400	 136.40 	1 	136.72 	0.32 	0 	-3 
3500	 135.68 	1 	136.41 	0.73 	0 	-3 
3600	 136.40 	1 	136.41 	0.01 	0 	-3 
3700	 135.68 	1 	136.19 	0.51 	0 	-3 
3800	 136.84 	1 	136.38 	0.46 	0 	-3 
3900	 135.86 	1 	136.23 	0.37 	0 	-3 
4000	 137.37 	1 	136.57 	0.80 	0 	-3 
4100	 135.77 	1 	136.33 	0.56 	0 	-3 
4200	 137.37 	1 	136.64 	0.73 	0 	-3 
4300	 137.11 	1 	136.78 	0.33 	0 	-3 
4400	 136.66 	1 	136.75 	0.09 	0 	-3 
4500	 137.29 	1 	136.91 	0.38 	0 	-3 
4600	 135.77 	1 	136.57 	0.80 	0 	-3 
4700	 135.33 	1 	136.20 	0.87 	0 	-3 
4800	 136.48 	1 	136.28 	0.20 	0 	-3 
4900	 135.33 	1 	136.00 	0.67 	0 	-3 
5000	 135.24 	1 	135.77 	0.53 	0 	-3 
5100	 136.48 	1 	135.98 	0.50 	0 	-3 
5200	 135.24 	1 	135.76 	0.52 	0 	-3 
5300	 136.84 	1 	136.08 	0.76 	0 	-3 
5400	 136.84 	1 	136.31 	0.53 	0 	-3 
5500	 136.93 	1 	136.50 	0.43 	0 	-3 
5600	 137.37 	1 	136.76 	0.61 	0 	-3 
5700	 135.33 	1 	136.33 	1.00 	0 	-3 
5800	 137.02 	1 	136.54 	0.48 	0 	-3 
5900	 137.02 	1 	136.68 	0.34 	0 	-3 
6000	 137.29 	1 	136.86 	0.43 	0 	-3 
6100	 136.48 	1 	136.75 	0.27 	0 	-3 
6200	 136.40 	1 	136.64 	0.24 	0 	-3 
6300	 137.02 	1 	136.76 	0.26 	0 	-3 
6400	 136.93 	1 	136.81 	0.12 	0 	-3 
6500	 135.60 	1 	136.45 	0.85 	0 	-3 
6600	 136.84 	1 	136.56 	0.28 	0 	-3 
6700	 135.86 	1 	136.35 	0.49 	0 	-3 
6800	 137.02 	1 	136.55 	0.47 	0 	-3 
6900	 137.37 	1 	136.80 	0.57 	0 	-3 
7000	 137.02 	1 	136.86 	0.16 	0 	-3 
7100	 136.40 	1 	136.73 	0.33 	0 	-3 
7200	 135.86 	1 	136.47 	0.61 	0 	-3 
7300	 136.48 	1 	136.47 	0.01 	0 	-3 
7400	 137.02 	1 	136.64 	0.38 	0 	-3 
7500	 135.60 	1 	136.32 	0.72 	0 	-3 
7600	 136.22 	1 	136.29 	0.07 	0 	-3 
7700	 137.29 	1 	136.59 	0.70 	0 	-3 
7800	 136.93 	1 	136.69 	0.24 	0 	-3 
7900	 135.95 	1 	136.47 	0.52 	0 	-3 
8000	 137.02 	1 	136.64 	0.38 	0 	-3 
8100	 135.95 	1 	136.43 	0.48 	0 	-3 
8200	 137.02 	1 	136.61 	0.41 	0 	-3 
8300	 137.02 	1 	136.73 	0.29 	0 	-3 
