#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	0 
300	 -1.00 	0 	0.00 	1.00 	1 	0 
400	 -1.00 	0 	0.00 	1.00 	2 	-2 
500	 -1.00 	0 	0.00 	1.00 	3 	-2 
600	 -1.00 	0 	0.00 	1.00 	4 	-2 
700	 -1.00 	0 	0.00 	1.00 	5 	-2 
800	 165.05 	0 	49.52 	115.54 	5 	-2 
900	 -1.00 	0 	49.52 	50.52 	5 	-2 
1000	 -1.00 	0 	49.52 	50.52 	5 	-2 
1100	 165.14 	0 	84.20 	80.94 	5 	-2 
1200	 164.61 	0 	108.32 	56.29 	0 	-2 
1300	 165.85 	0 	125.58 	40.27 	0 	-2 
1400	 165.14 	0 	137.45 	27.69 	0 	-2 
1500	 165.14 	0 	145.76 	19.38 	0 	-2 
1600	 164.52 	0 	151.39 	13.13 	0 	-2 
1700	 166.65 	0 	155.97 	10.68 	0 	-2 
1800	 165.58 	0 	158.85 	6.73 	0 	-2 
1900	 164.96 	0 	160.68 	4.28 	0 	-2 
2000	 163.98 	0 	161.67 	2.31 	0 	-2 
2100	 166.03 	0 	162.98 	3.05 	0 	-2 
2200	 166.74 	0 	164.11 	2.63 	0 	-2 
2300	 165.05 	0 	164.39 	0.66 	0 	-2 
2400	 165.58 	0 	164.75 	0.83 	0 	-2 
2500	 164.96 	0 	164.81 	0.15 	0 	-2 
2600	 166.12 	0 	165.20 	0.92 	0 	-2 
2700	 164.52 	0 	165.00 	0.48 	0 	-2 
2800	 165.14 	0 	165.04 	0.10 	0 	-2 
2900	 167.45 	0 	165.76 	1.69 	0 	-2 
3000	 165.67 	0 	165.74 	0.07 	0 	-2 
3100	 166.83 	0 	166.06 	0.77 	0 	-2 
3200	 165.67 	0 	165.95 	0.28 	0 	-2 
3300	 165.67 	0 	165.86 	0.19 	0 	-2 
3400	 165.67 	0 	165.86 	0.19 	1 	-2 
3500	 167.19 	0 	166.26 	0.93 	0 	-2 
3600	 165.05 	0 	165.90 	0.85 	0 	-2 
3700	 165.58 	1 	165.80 	0.22 	0 	-3 
3800	 165.05 	1 	165.58 	0.53 	0 	-3 
3900	 166.65 	0 	165.90 	0.75 	0 	-2 
4000	 162.83 	1 	164.98 	2.15 	0 	-3 
