#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	-2 
300	 -1.00 	0 	0.00 	1.00 	1 	-2 
400	 -1.00 	0 	0.00 	1.00 	2 	-2 
500	 -1.00 	0 	0.00 	1.00 	3 	-2 
600	 -1.00 	0 	0.00 	1.00 	4 	-2 
700	 -1.00 	0 	0.00 	1.00 	5 	-2 
800	 168.52 	0 	50.56 	117.96 	5 	117.96 
900	 165.14 	0 	84.93 	80.21 	0 	-2 
1000	 163.54 	0 	108.51 	55.03 	0 	-2 
1100	 167.10 	0 	126.09 	41.01 	0 	-2 
1200	 168.97 	0 	138.95 	30.02 	0 	-2 
1300	 167.99 	0 	147.66 	20.33 	0 	-2 
1400	 168.61 	0 	153.95 	14.66 	0 	-2 
1500	 169.32 	0 	158.56 	10.76 	0 	-2 
1600	 -1.00 	0 	158.56 	159.56 	0 	-2 
1700	 -1.00 	0 	158.56 	159.56 	1 	-2 
1800	 -1.00 	0 	158.56 	159.56 	2 	-2 
1900	 -1.00 	0 	158.56 	159.56 	3 	-2 
2000	 -1.00 	0 	158.56 	159.56 	4 	-2 
2100	 -1.00 	0 	158.56 	159.56 	5 	-2 
2200	 166.92 	0 	161.07 	5.85 	5 	-2 
2300	 167.45 	0 	162.98 	4.47 	0 	-2 
2400	 166.83 	0 	164.14 	2.69 	0 	-2 
2500	 -1.00 	0 	164.14 	165.14 	0 	-2 
2600	 -1.00 	0 	164.14 	165.14 	0 	-2 
2700	 -1.00 	0 	164.14 	165.14 	1 	-2 
2800	 -1.00 	0 	164.14 	165.14 	2 	-2 
2900	 -1.00 	0 	164.14 	165.14 	3 	-2 
3000	 -1.00 	0 	164.14 	165.14 	3 	-2 
3100	 -1.00 	0 	164.14 	165.14 	3 	-2 
3200	 -1.00 	0 	164.14 	165.14 	4 	-2 
3300	 -1.00 	0 	164.14 	165.14 	5 	-2 
3400	 151.26 	0 	160.27 	9.01 	5 	-2 
3500	 -1.00 	0 	160.27 	161.27 	5 	-2 
3600	 -1.00 	0 	160.27 	161.27 	5 	-2 
3700	 168.52 	0 	162.75 	5.77 	5 	-2 
3800	 170.12 	0 	164.96 	5.16 	0 	-2 
3900	 174.75 	0 	167.90 	6.85 	0 	-2 
4000	 167.45 	0 	167.76 	0.31 	0 	-2 
4100	 -1.00 	0 	167.76 	168.76 	0 	-2 
4200	 -1.00 	0 	167.76 	168.76 	0 	-2 
4300	 -1.00 	0 	167.76 	168.76 	1 	-2 
4400	 -1.00 	0 	167.76 	168.76 	1 	168.76 
4500	 -1.00 	0 	167.76 	168.76 	1 	-2 
4600	 -1.00 	0 	167.76 	168.76 	2 	-2 
4700	 -1.00 	0 	167.76 	168.76 	3 	-2 
4800	 -1.00 	0 	167.76 	168.76 	4 	-2 
4900	 -1.00 	0 	167.76 	168.76 	5 	-2 
5000	 220.22 	0 	183.50 	36.72 	5 	-2 
5100	 164.87 	0 	177.91 	13.04 	5 	-2 
5200	 168.70 	0 	175.15 	6.45 	0 	-2 
5300	 165.76 	0 	172.33 	6.57 	0 	-2 
5400	 167.72 	0 	170.95 	3.23 	0 	-2 
5500	 152.32 	0 	165.36 	13.04 	0 	-2 
5600	 166.92 	0 	165.83 	1.09 	0 	-2 
5700	 167.45 	0 	166.31 	1.14 	0 	-2 
5800	 167.99 	0 	166.82 	1.17 	0 	-2 
5900	 167.99 	0 	166.82 	1.17 	1 	-2 
6000	 166.92 	0 	166.85 	0.07 	0 	-2 
6100	 165.76 	0 	166.52 	0.76 	0 	-2 
6200	 169.14 	0 	167.31 	1.83 	0 	-2 
6300	 175.28 	0 	169.70 	5.58 	0 	-2 
6400	 -1.00 	0 	169.70 	170.70 	0 	-2 
6500	 -1.00 	0 	169.70 	170.70 	0 	-2 
6600	 -1.00 	0 	169.70 	170.70 	1 	-2 
6700	 -1.00 	0 	169.70 	170.70 	2 	-2 
6800	 -1.00 	0 	169.70 	170.70 	3 	-2 
6900	 -1.00 	0 	169.70 	170.70 	4 	-2 
7000	 -1.00 	0 	169.70 	170.70 	5 	-2 
7100	 225.03 	0 	186.30 	38.73 	5 	-2 
7200	 168.97 	0 	181.10 	12.13 	5 	-2 
7300	 203.40 	0 	187.79 	15.61 	5 	-2 
7400	 223.34 	0 	198.45 	24.89 	0 	-2 
7500	 203.85 	0 	200.07 	3.78 	0 	-2 
7600	 203.85 	0 	200.07 	3.78 	1 	-2 
7700	 203.85 	0 	200.07 	3.78 	2 	-2 
7800	 203.85 	0 	200.07 	3.78 	3 	-2 
7900	 -1.00 	0 	200.07 	201.07 	3 	-2 
8000	 -1.00 	0 	200.07 	201.07 	4 	-2 
8100	 -1.00 	0 	200.07 	201.07 	5 	-2 
8200	 166.56 	0 	190.02 	23.46 	5 	-2 
8300	 202.51 	0 	193.77 	8.74 	5 	-2 
8400	 170.48 	0 	186.78 	16.30 	5 	-2 
8500	 222.36 	0 	197.45 	24.91 	5 	-2 
8600	 163.54 	0 	187.28 	23.74 	5 	-2 
8700	 165.67 	0 	180.80 	15.13 	0 	-2 
8800	 167.54 	0 	176.82 	9.28 	0 	-2 
8900	 -1.00 	0 	176.82 	177.82 	0 	-2 
9000	 -1.00 	0 	176.82 	177.82 	0 	-2 
9100	 -1.00 	0 	176.82 	177.82 	1 	-2 
9200	 -1.00 	0 	176.82 	177.82 	1 	-2 
9300	 -1.00 	0 	176.82 	177.82 	1 	-2 
9400	 -1.00 	0 	176.82 	177.82 	2 	-2 
9500	 -1.00 	0 	176.82 	177.82 	3 	-2 
9600	 -1.00 	0 	176.82 	177.82 	4 	-2 
9700	 -1.00 	0 	176.82 	177.82 	5 	-2 
9800	 166.38 	0 	173.69 	7.31 	5 	7.31 
9900	 167.54 	0 	171.84 	4.30 	0 	-2 
10000	 166.47 	0 	170.23 	3.76 	0 	-2 
10100	 -1.00 	0 	170.23 	171.23 	0 	-2 
