#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 16.97 	0 	5.09 	11.88 	0 	-2 
300	 16.89 	0 	8.63 	8.26 	0 	-2 
400	 -1.00 	0 	8.63 	9.63 	0 	-2 
500	 17.24 	0 	11.21 	6.03 	0 	-2 
600	 -1.00 	0 	11.21 	12.21 	0 	-2 
700	 17.95 	0 	13.23 	4.72 	0 	-2 
800	 18.13 	0 	14.70 	3.43 	0 	3.43 
900	 18.84 	0 	15.94 	2.90 	0 	-2 
1000	 18.13 	0 	16.60 	1.53 	0 	-2 
1100	 17.95 	0 	17.00 	0.95 	0 	-2 
1200	 18.31 	0 	17.40 	0.91 	0 	-2 
1300	 18.13 	0 	17.62 	0.51 	0 	-2 
1400	 18.04 	0 	17.74 	0.30 	0 	-2 
1500	 17.33 	0 	17.62 	0.29 	0 	-2 
1600	 17.24 	0 	17.51 	0.27 	0 	-2 
1700	 17.86 	0 	17.61 	0.25 	0 	-2 
1800	 16.89 	0 	17.40 	0.51 	0 	-2 
1900	 17.15 	0 	17.32 	0.17 	0 	-2 
2000	 16.35 	0 	17.03 	0.68 	0 	-2 
2100	 -1.00 	0 	17.03 	18.03 	0 	-2 
2200	 16.80 	0 	16.96 	0.16 	0 	-2 
2300	 -1.00 	0 	16.96 	17.96 	0 	-2 
2400	 16.17 	0 	16.72 	0.55 	0 	-2 
2500	 16.89 	0 	16.77 	0.12 	0 	-2 
2600	 16.53 	0 	16.70 	0.17 	0 	-2 
2700	 16.17 	0 	16.54 	0.37 	0 	-2 
2800	 16.17 	0 	16.43 	0.26 	0 	-2 
2900	 16.08 	0 	16.32 	0.24 	0 	-2 
3000	 16.71 	0 	16.44 	0.27 	0 	-2 
3100	 16.53 	0 	16.47 	0.06 	0 	-2 
3200	 -1.00 	0 	16.47 	17.47 	0 	-2 
3300	 16.89 	0 	16.59 	0.30 	0 	-2 
3400	 17.51 	0 	16.87 	0.64 	0 	-2 
3500	 17.69 	0 	17.12 	0.57 	0 	-2 
3600	 17.42 	0 	17.21 	0.21 	0 	-2 
3700	 17.33 	0 	17.24 	0.09 	0 	-2 
3800	 16.71 	0 	17.08 	0.37 	0 	-2 
3900	 16.80 	0 	17.00 	0.20 	0 	-2 
4000	 -1.00 	0 	17.00 	18.00 	0 	-2 
4100	 17.60 	0 	17.18 	0.42 	0 	-2 
4200	 17.86 	0 	17.38 	0.48 	0 	-2 
4300	 17.69 	0 	17.48 	0.21 	0 	-2 
4400	 17.60 	1 	17.51 	0.09 	0 	-3 
4500	 17.95 	0 	17.64 	0.31 	0 	-2 
4600	 -1.00 	0 	17.64 	18.64 	0 	-2 
4700	 -1.00 	0 	17.64 	18.64 	0 	-2 
4800	 -1.00 	0 	17.64 	18.64 	0 	-2 
4900	 17.33 	0 	17.55 	0.22 	0 	-2 
5000	 17.51 	0 	17.54 	0.03 	0 	-2 
5100	 17.51 	0 	17.53 	0.02 	0 	-2 
5200	 17.78 	0 	17.60 	0.18 	0 	-2 
5300	 17.24 	0 	17.50 	0.26 	0 	-2 
5400	 17.86 	0 	17.60 	0.26 	0 	-2 
5500	 18.13 	0 	17.76 	0.37 	0 	-2 
5600	 17.51 	0 	17.69 	0.18 	0 	-2 
5700	 17.60 	0 	17.66 	0.06 	0 	-2 
5800	 17.51 	0 	17.62 	0.11 	0 	-2 
5900	 17.69 	0 	17.64 	0.05 	0 	-2 
6000	 17.69 	0 	17.65 	0.04 	0 	-2 
