#Time(ms)	 Roll 	 Pitch 	 Yaw 	 xPos 	 yPos 	 zPos 	 xVal 	 yVal 	 zVal 	 State 	 oRoll 	 oPitch 	 oYaw 	 oThrottle 	 spX 	 spY 	 spZ 
200	 -3.93	 -2.57	 0.27	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
300	 -3.93	 -2.55	 0.27	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
400	 -3.93	 -2.55	 0.27	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
500	 -4.19	 -1.68	 -0.40	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
600	 -4.20	 -1.62	 -0.44	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
700	 -4.20	 -1.62	 -0.44	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
800	 -4.32	 0.95	 -1.14	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
900	 -4.32	 1.04	 -1.13	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1000	 -4.32	 1.04	 -1.13	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1100	 -4.72	 0.48	 -1.10	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1200	 -4.73	 0.40	 -1.08	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1300	 -4.73	 0.40	 -1.08	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1400	 -5.00	 -1.06	 -1.02	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1500	 -5.01	 -1.09	 -1.05	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1600	 -5.01	 -1.09	 -1.05	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1700	 -5.06	 -2.34	 -1.70	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1800	 -5.08	 -2.41	 -1.73	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
1900	 -5.08	 -2.41	 -1.73	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2000	 -4.79	 -2.85	 -1.52	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2100	 -4.78	 -2.86	 -1.54	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2200	 -4.78	 -2.86	 -1.54	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2300	 -4.59	 -2.94	 -1.92	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2400	 -4.56	 -2.93	 -1.92	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2500	 -4.56	 -2.93	 -1.92	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2600	 -3.29	 -2.56	 -2.64	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2700	 -3.24	 -2.57	 -2.66	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2800	 -3.24	 -2.57	 -2.66	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
2900	 -2.49	 -2.39	 -3.09	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3000	 -2.47	 -2.39	 -3.10	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3100	 -2.47	 -2.39	 -3.10	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3200	 -3.95	 -2.66	 -3.20	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3300	 -4.01	 -2.66	 -3.20	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3400	 -4.01	 -2.66	 -3.20	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3500	 -5.25	 -2.75	 -2.86	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3600	 -5.30	 -2.75	 -2.87	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3700	 -5.30	 -2.75	 -2.87	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3800	 -6.82	 -2.92	 -3.01	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
3900	 -6.82	 -2.92	 -3.01	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
4000	 -6.82	 -2.92	 -3.01	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
4100	 -8.23	 -3.06	 -3.17	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
4200	 -8.27	 -3.07	 -3.17	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
4300	 -8.27	 -3.07	 -3.17	 0.00	 0.00	 0.00	 0	 0	 0	 hover	 1500	 1500	 1500	 1000	 0.00	 0.00	 0.00
