#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	-2 
300	 -1.00 	0 	0.00 	1.00 	1 	-2 
400	 -1.00 	0 	0.00 	1.00 	2 	-2 
500	 -1.00 	0 	0.00 	1.00 	3 	-2 
600	 -1.00 	0 	0.00 	1.00 	4 	-2 
700	 -1.00 	0 	0.00 	1.00 	5 	-2 
800	 165.50 	0 	49.65 	115.85 	5 	115.85 
900	 163.00 	0 	83.66 	79.34 	0 	-2 
1000	 167.72 	0 	108.87 	58.85 	0 	-2 
1100	 165.41 	0 	125.84 	39.57 	0 	-2 
1200	 165.14 	0 	137.63 	27.51 	0 	-2 
1300	 165.05 	0 	145.85 	19.20 	0 	-2 
1400	 167.90 	0 	152.47 	15.43 	0 	-2 
1500	 165.05 	0 	156.24 	8.81 	0 	-2 
1600	 163.80 	0 	158.51 	5.29 	0 	-2 
1700	 165.32 	0 	160.55 	4.77 	0 	-2 
1800	 -1.00 	0 	160.55 	161.55 	0 	-2 
1900	 -1.00 	0 	160.55 	161.55 	0 	-2 
2000	 -1.00 	0 	160.55 	161.55 	1 	-2 
2100	 -1.00 	0 	160.55 	161.55 	2 	-2 
2200	 -1.00 	0 	160.55 	161.55 	3 	-2 
2300	 -1.00 	0 	160.55 	161.55 	4 	-2 
2400	 -1.00 	0 	160.55 	161.55 	5 	-2 
2500	 166.74 	0 	162.41 	4.33 	5 	-2 
2600	 163.80 	0 	162.83 	0.97 	0 	-2 
2700	 163.98 	0 	163.17 	0.81 	0 	-2 
2800	 163.98 	0 	163.17 	0.81 	1 	-2 
2900	 163.72 	0 	163.34 	0.38 	0 	-2 
3000	 166.65 	0 	164.33 	2.32 	0 	-2 
3100	 168.16 	0 	165.48 	2.68 	0 	-2 
3200	 166.21 	0 	165.70 	0.51 	0 	-2 
3300	 163.45 	0 	165.02 	1.57 	0 	-2 
3400	 166.83 	0 	165.57 	1.26 	0 	-2 
3500	 165.23 	0 	165.47 	0.24 	0 	-2 
3600	 165.67 	0 	165.53 	0.14 	0 	-2 
3700	 164.69 	0 	165.28 	0.59 	0 	-2 
3800	 169.41 	0 	166.52 	2.89 	0 	-2 
3900	 164.78 	0 	166.00 	1.22 	0 	-2 
4000	 164.07 	0 	165.42 	1.35 	0 	-2 
4100	 166.12 	0 	165.63 	0.49 	0 	-2 
4200	 165.14 	0 	165.48 	0.34 	0 	-2 
4300	 165.14 	0 	165.48 	0.34 	1 	-2 
4400	 166.21 	1 	165.70 	0.51 	0 	-3 
4500	 165.23 	0 	165.56 	0.33 	0 	-2 
4600	 163.63 	0 	164.98 	1.35 	0 	-2 
4700	 164.61 	0 	164.87 	0.26 	0 	-2 
4800	 165.05 	0 	164.92 	0.13 	0 	-2 
4900	 165.14 	0 	164.99 	0.15 	0 	-2 
5000	 162.91 	0 	164.36 	1.45 	0 	-2 
5100	 -1.00 	0 	164.36 	165.36 	0 	-2 
5200	 -1.00 	0 	164.36 	165.36 	0 	-2 
5300	 -1.00 	0 	164.36 	165.36 	0 	-2 
5400	 -1.00 	0 	164.36 	165.36 	0 	-2 
5500	 -1.00 	0 	164.36 	165.36 	1 	-2 
5600	 -1.00 	0 	164.36 	165.36 	2 	-2 
5700	 -1.00 	0 	164.36 	165.36 	3 	-2 
5800	 -1.00 	0 	164.36 	165.36 	4 	-2 
5900	 -1.00 	0 	164.36 	165.36 	5 	-2 
6000	 165.67 	0 	164.76 	0.91 	5 	-2 
6100	 162.74 	0 	164.15 	1.41 	0 	-2 
6200	 164.07 	0 	164.13 	0.06 	0 	-2 
6300	 163.54 	0 	163.95 	0.41 	0 	-2 
6400	 163.89 	0 	163.93 	0.04 	0 	-2 
6500	 165.76 	0 	164.48 	1.28 	0 	-2 
6600	 165.58 	0 	164.81 	0.77 	0 	-2 
6700	 152.77 	0 	161.20 	8.43 	0 	-2 
6800	 167.45 	0 	163.07 	4.38 	0 	-2 
6900	 149.39 	0 	158.97 	9.58 	0 	-2 
7000	 152.24 	0 	156.95 	4.71 	0 	-2 
7100	 148.94 	0 	154.55 	5.61 	0 	-2 
7200	 148.94 	0 	154.55 	5.61 	1 	-2 
7300	 154.91 	0 	154.66 	0.25 	0 	-2 
7400	 165.58 	0 	157.93 	7.65 	0 	-2 
7500	 165.58 	0 	160.23 	5.35 	0 	-2 
7600	 166.30 	0 	162.05 	4.25 	0 	-2 
7700	 163.89 	0 	162.60 	1.29 	0 	-2 
7800	 165.41 	0 	163.44 	1.97 	0 	-2 
7900	 168.16 	0 	164.86 	3.30 	0 	-2 
8000	 164.16 	0 	164.65 	0.49 	0 	-2 
8100	 165.94 	0 	165.04 	0.90 	0 	-2 
8200	 165.32 	0 	165.12 	0.20 	0 	-2 
8300	 165.32 	0 	165.12 	0.20 	1 	-2 
8400	 164.96 	0 	165.07 	0.11 	0 	-2 
8500	 165.58 	0 	165.23 	0.35 	0 	-2 
8600	 166.21 	0 	165.52 	0.69 	0 	-2 
8700	 166.21 	0 	165.52 	0.69 	1 	-2 
8800	 165.05 	0 	165.38 	0.33 	0 	-2 
8900	 165.14 	0 	165.31 	0.17 	0 	-2 
9000	 167.27 	0 	165.90 	1.37 	0 	-2 
9100	 162.91 	0 	165.00 	2.09 	0 	-2 
9200	 164.52 	0 	164.86 	0.34 	0 	-2 
9300	 164.43 	0 	164.73 	0.30 	0 	-2 
9400	 -1.00 	0 	164.73 	165.73 	0 	-2 
9500	 -1.00 	0 	164.73 	165.73 	0 	-2 
9600	 -1.00 	0 	164.73 	165.73 	1 	-2 
9700	 -1.00 	0 	164.73 	165.73 	2 	-2 
9800	 -1.00 	0 	164.73 	165.73 	3 	165.73 
9900	 -1.00 	0 	164.73 	165.73 	4 	-2 
10000	 -1.00 	0 	164.73 	165.73 	5 	-2 
10100	 166.03 	0 	165.12 	0.91 	5 	-2 
