#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	-2 
300	 -1.00 	0 	0.00 	1.00 	1 	-2 
400	 -1.00 	0 	0.00 	1.00 	2 	-2 
500	 -1.00 	0 	0.00 	1.00 	3 	-2 
600	 -1.00 	0 	0.00 	1.00 	4 	-2 
700	 -1.00 	0 	0.00 	1.00 	5 	-2 
800	 175.02 	0 	52.51 	122.51 	5 	122.51 
900	 168.52 	0 	87.31 	81.21 	0 	-2 
1000	 168.08 	0 	111.54 	56.54 	0 	-2 
1100	 172.17 	0 	129.73 	42.44 	0 	-2 
1200	 173.86 	0 	142.97 	30.89 	0 	-2 
1300	 170.03 	0 	151.09 	18.94 	0 	-2 
1400	 164.52 	0 	155.12 	9.40 	0 	-2 
1500	 166.12 	0 	158.42 	7.70 	0 	-2 
1600	 165.05 	0 	160.41 	4.64 	0 	-2 
1700	 154.37 	0 	158.60 	4.23 	0 	-2 
1800	 152.06 	0 	156.64 	4.58 	0 	-2 
1900	 151.17 	0 	155.00 	3.83 	0 	-2 
2000	 151.35 	0 	153.90 	2.55 	0 	-2 
2100	 147.52 	0 	151.99 	4.47 	0 	-2 
2200	 147.70 	0 	150.70 	3.00 	0 	-2 
2300	 146.99 	0 	149.59 	2.60 	0 	-2 
2400	 150.28 	0 	149.80 	0.48 	0 	-2 
2500	 149.39 	0 	149.67 	0.28 	0 	-2 
2600	 145.47 	0 	148.41 	2.94 	0 	-2 
2700	 152.77 	0 	149.72 	3.05 	0 	-2 
2800	 152.77 	0 	149.72 	3.05 	1 	-2 
2900	 150.90 	0 	150.07 	0.83 	0 	-2 
3000	 147.16 	0 	149.20 	2.04 	0 	-2 
3100	 148.32 	0 	148.94 	0.62 	0 	-2 
3200	 148.94 	0 	148.94 	0.00 	0 	-2 
3300	 151.97 	0 	149.85 	2.12 	0 	-2 
3400	 153.48 	0 	150.94 	2.54 	0 	-2 
3500	 148.68 	0 	150.26 	1.58 	0 	-2 
3600	 153.13 	0 	151.12 	2.01 	0 	-2 
3700	 159.18 	0 	153.54 	5.64 	0 	-2 
3800	 158.02 	0 	154.88 	3.14 	0 	-2 
3900	 159.35 	0 	156.22 	3.13 	0 	-2 
4000	 164.78 	0 	158.79 	5.99 	0 	-2 
4100	 168.88 	0 	161.82 	7.06 	0 	-2 
4200	 168.88 	0 	161.82 	7.06 	1 	-2 
4300	 168.88 	0 	161.82 	7.06 	2 	-2 
4400	 168.88 	0 	161.82 	7.06 	3 	7.06 
4500	 168.25 	0 	163.75 	4.50 	0 	-2 
4600	 173.15 	0 	166.57 	6.58 	0 	-2 
4700	 173.15 	0 	166.57 	6.58 	1 	-2 
4800	 192.99 	0 	174.49 	18.50 	0 	-2 
4900	 175.64 	0 	174.84 	0.80 	0 	-2 
5000	 167.10 	0 	172.52 	5.42 	0 	-2 
5100	 166.56 	0 	170.73 	4.17 	0 	-2 
5200	 165.67 	0 	169.21 	3.54 	0 	-2 
5300	 174.39 	0 	170.77 	3.62 	0 	-2 
5400	 174.57 	0 	171.91 	2.66 	0 	-2 
5500	 175.19 	0 	172.89 	2.30 	0 	-2 
5600	 192.46 	0 	178.76 	13.70 	0 	-2 
5700	 177.06 	0 	178.25 	1.19 	0 	-2 
5800	 178.93 	0 	178.46 	0.47 	0 	-2 
5900	 178.93 	0 	178.60 	0.33 	0 	-2 
6000	 173.77 	0 	177.15 	3.38 	0 	-2 
6100	 171.01 	0 	175.31 	4.30 	0 	-2 
6200	 169.41 	0 	173.54 	4.13 	0 	-2 
6300	 164.52 	0 	170.83 	6.31 	0 	-2 
6400	 174.13 	0 	171.82 	2.31 	0 	-2 
6500	 180.09 	0 	174.30 	5.79 	0 	-2 
6600	 174.22 	0 	174.28 	0.06 	0 	-2 
6700	 173.68 	0 	174.10 	0.42 	0 	-2 
6800	 179.82 	0 	175.81 	4.01 	0 	-2 
6900	 181.07 	0 	177.39 	3.68 	0 	-2 
7000	 190.77 	0 	181.40 	9.37 	0 	-2 
7100	 178.67 	0 	180.58 	1.91 	0 	-2 
7200	 178.67 	0 	180.58 	1.91 	1 	-2 
7300	 175.28 	0 	178.99 	3.71 	0 	-2 
7400	 170.75 	0 	176.52 	5.77 	0 	-2 
7500	 174.75 	0 	175.99 	1.24 	0 	-2 
7600	 170.92 	0 	174.47 	3.55 	0 	-2 
7700	 170.92 	0 	174.47 	3.55 	1 	-2 
7800	 170.92 	0 	174.47 	3.55 	2 	-2 
7900	 170.92 	0 	174.47 	3.55 	3 	-2 
8000	 170.92 	0 	174.47 	3.55 	4 	-2 
8100	 170.92 	0 	174.47 	3.55 	5 	-2 
8200	 149.21 	0 	166.89 	17.68 	5 	-2 
8300	 174.84 	0 	169.28 	5.56 	5 	-2 
8400	 167.19 	0 	168.65 	1.46 	0 	-2 
8500	 167.54 	0 	168.32 	0.78 	0 	-2 
8600	 165.58 	0 	167.50 	1.92 	0 	-2 
8700	 150.46 	0 	162.39 	11.93 	0 	-2 
8800	 164.52 	0 	163.03 	1.49 	0 	-2 
8900	 165.05 	0 	163.63 	1.42 	0 	-2 
9000	 169.23 	0 	165.31 	3.92 	0 	-2 
9100	 167.99 	0 	166.12 	1.87 	0 	-2 
9200	 166.12 	0 	166.12 	0.00 	0 	-2 
9300	 169.77 	0 	167.21 	2.56 	0 	-2 
9400	 163.00 	0 	165.95 	2.95 	0 	-2 
9500	 163.72 	0 	165.28 	1.56 	0 	-2 
9600	 159.09 	0 	163.42 	4.33 	0 	-2 
9700	 164.61 	0 	163.78 	0.83 	0 	-2 
9800	 172.97 	0 	166.54 	6.43 	0 	6.43 
9900	 168.34 	0 	167.08 	1.26 	0 	-2 
10000	 171.81 	0 	168.50 	3.31 	0 	-2 
10100	 163.00 	0 	166.85 	3.85 	0 	-2 
