#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 0.00 	0 	0.00 	0.00 	1 	-2 
300	 0.00 	0 	0.00 	0.00 	2 	-2 
400	 0.00 	0 	0.00 	0.00 	3 	-2 
500	 0.00 	0 	0.00 	0.00 	4 	-2 
600	 0.00 	0 	0.00 	0.00 	5 	-2 
700	 135.68 	0 	40.70 	94.98 	5 	-2 
800	 135.24 	0 	69.06 	66.18 	0 	66.18 
900	 135.24 	0 	88.92 	46.32 	0 	-2 
1000	 135.15 	0 	102.79 	32.36 	0 	-2 
1100	 134.71 	0 	112.36 	22.35 	0 	-2 
1200	 136.40 	0 	119.57 	16.83 	0 	-2 
1300	 136.40 	0 	124.62 	11.78 	0 	-2 
1400	 135.77 	0 	127.97 	7.80 	0 	-2 
1500	 134.79 	0 	130.01 	4.78 	0 	-2 
1600	 135.77 	0 	131.74 	4.03 	0 	-2 
1700	 134.88 	0 	132.68 	2.20 	0 	-2 
1800	 135.33 	0 	133.48 	1.85 	0 	-2 
1900	 135.33 	0 	134.03 	1.30 	0 	-2 
2000	 135.06 	0 	134.34 	0.72 	0 	-2 
2100	 136.40 	0 	134.96 	1.44 	0 	-2 
2200	 135.77 	0 	135.20 	0.57 	0 	-2 
2300	 135.60 	0 	135.32 	0.28 	0 	-2 
2400	 137.20 	0 	135.88 	1.32 	0 	-2 
2500	 137.11 	0 	136.25 	0.86 	0 	-2 
2600	 137.20 	0 	136.54 	0.66 	0 	-2 
2700	 137.02 	0 	136.68 	0.34 	0 	-2 
2800	 136.57 	0 	136.65 	0.08 	0 	-2 
2900	 136.48 	0 	136.60 	0.12 	0 	-2 
3000	 136.48 	0 	136.56 	0.08 	0 	-2 
3100	 137.20 	0 	136.75 	0.45 	0 	-2 
3200	 137.64 	0 	137.02 	0.62 	0 	-2 
3300	 137.11 	0 	137.05 	0.06 	0 	-2 
3400	 137.55 	0 	137.20 	0.35 	0 	-2 
3500	 135.77 	0 	136.77 	1.00 	0 	-2 
3600	 136.13 	0 	136.58 	0.45 	0 	-2 
3700	 136.22 	0 	136.47 	0.25 	0 	-2 
3800	 135.68 	0 	136.23 	0.55 	0 	-2 
3900	 134.97 	0 	135.85 	0.88 	0 	-2 
4000	 135.15 	0 	135.64 	0.49 	0 	-2 
4100	 136.40 	0 	135.87 	0.53 	0 	-2 
4200	 136.04 	0 	135.92 	0.12 	0 	-2 
4300	 135.06 	0 	135.66 	0.60 	0 	-2 
