#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	-2 
300	 -1.00 	0 	0.00 	1.00 	1 	-2 
400	 -1.00 	0 	0.00 	1.00 	2 	-2 
500	 -1.00 	0 	0.00 	1.00 	3 	-2 
600	 -1.00 	0 	0.00 	1.00 	4 	-2 
700	 -1.00 	0 	0.00 	1.00 	5 	-2 
800	 142.36 	0 	42.71 	99.65 	5 	99.65 
900	 140.67 	0 	72.10 	68.57 	0 	-2 
1000	 142.45 	0 	93.20 	49.25 	0 	-2 
1100	 141.91 	0 	107.81 	34.10 	0 	-2 
1200	 140.31 	0 	117.56 	22.75 	0 	-2 
1300	 141.20 	0 	124.65 	16.55 	0 	-2 
1400	 140.67 	0 	129.46 	11.21 	0 	-2 
1500	 141.29 	0 	133.01 	8.28 	0 	-2 
1600	 141.38 	0 	135.52 	5.86 	0 	-2 
1700	 142.36 	0 	137.57 	4.79 	0 	-2 
1800	 142.18 	0 	138.95 	3.23 	0 	-2 
1900	 142.80 	0 	140.11 	2.69 	0 	-2 
2000	 143.87 	0 	141.24 	2.63 	0 	-2 
2100	 142.36 	0 	141.57 	0.79 	0 	-2 
2200	 142.80 	0 	141.94 	0.86 	0 	-2 
2300	 142.63 	0 	142.15 	0.48 	0 	-2 
2400	 142.63 	0 	142.29 	0.34 	0 	-2 
2500	 142.36 	0 	142.31 	0.05 	0 	-2 
2600	 142.54 	0 	142.38 	0.16 	0 	-2 
2700	 143.78 	0 	142.80 	0.98 	0 	-2 
2800	 143.52 	0 	143.02 	0.50 	0 	-2 
2900	 141.91 	0 	142.68 	0.77 	0 	-2 
3000	 143.07 	0 	142.80 	0.27 	0 	-2 
3100	 143.16 	0 	142.91 	0.25 	0 	-2 
3200	 142.54 	0 	142.80 	0.26 	0 	-2 
3300	 143.34 	0 	142.96 	0.38 	0 	-2 
3400	 141.82 	0 	142.62 	0.80 	0 	-2 
3500	 141.74 	0 	142.35 	0.61 	0 	-2 
3600	 141.38 	0 	142.06 	0.68 	0 	-2 
3700	 143.43 	0 	142.47 	0.96 	0 	-2 
3800	 143.60 	0 	142.81 	0.79 	0 	-2 
3900	 144.05 	0 	143.18 	0.87 	0 	-2 
4000	 143.96 	0 	143.42 	0.54 	0 	-2 
4100	 141.74 	0 	142.91 	1.17 	0 	-2 
4200	 141.11 	0 	142.37 	1.26 	0 	-2 
4300	 142.71 	0 	142.47 	0.24 	0 	-2 
4400	 141.02 	1 	142.04 	1.02 	0 	-3 
4500	 141.74 	0 	141.95 	0.21 	0 	-2 
4600	 142.80 	0 	142.20 	0.60 	0 	-2 
4700	 143.25 	0 	142.52 	0.73 	0 	-2 
4800	 142.18 	0 	142.42 	0.24 	0 	-2 
4900	 141.82 	0 	142.24 	0.42 	0 	-2 
5000	 141.74 	0 	142.09 	0.35 	0 	-2 
5100	 142.80 	0 	142.30 	0.50 	0 	-2 
5200	 140.49 	0 	141.76 	1.27 	0 	-2 
5300	 140.93 	0 	141.51 	0.58 	0 	-2 
5400	 141.02 	0 	141.36 	0.34 	0 	-2 
5500	 140.04 	0 	140.97 	0.93 	0 	-2 
5600	 142.09 	0 	141.30 	0.79 	0 	-2 
5700	 140.31 	0 	141.01 	0.70 	0 	-2 
5800	 140.31 	0 	140.80 	0.49 	0 	-2 
5900	 140.93 	0 	140.84 	0.09 	0 	-2 
6000	 141.02 	0 	140.89 	0.13 	0 	-2 
6100	 141.02 	0 	140.93 	0.09 	0 	-2 
6200	 142.89 	0 	141.52 	1.37 	0 	-2 
6300	 141.82 	0 	141.61 	0.21 	0 	-2 
6400	 140.67 	0 	141.33 	0.66 	0 	-2 
6500	 142.27 	0 	141.61 	0.66 	0 	-2 
6600	 142.36 	0 	141.83 	0.53 	0 	-2 
6700	 141.82 	0 	141.83 	0.01 	0 	-2 
6800	 141.65 	0 	141.78 	0.13 	0 	-2 
6900	 139.96 	0 	141.23 	1.27 	0 	-2 
7000	 140.93 	0 	141.14 	0.21 	0 	-2 
7100	 139.78 	0 	140.73 	0.95 	0 	-2 
7200	 140.49 	0 	140.66 	0.17 	0 	-2 
7300	 141.82 	0 	141.01 	0.81 	0 	-2 
7400	 142.27 	0 	141.39 	0.88 	0 	-2 
7500	 141.02 	0 	141.28 	0.26 	0 	-2 
7600	 142.54 	0 	141.66 	0.88 	0 	-2 
7700	 141.47 	0 	141.60 	0.13 	0 	-2 
7800	 141.02 	0 	141.43 	0.41 	0 	-2 
7900	 141.56 	0 	141.47 	0.09 	0 	-2 
8000	 143.16 	0 	141.97 	1.19 	0 	-2 
8100	 142.98 	0 	142.28 	0.70 	0 	-2 
8200	 142.98 	0 	142.49 	0.49 	0 	-2 
8300	 143.69 	0 	142.85 	0.84 	0 	-2 
8400	 142.45 	0 	142.73 	0.28 	0 	-2 
8500	 143.60 	0 	142.99 	0.61 	0 	-2 
8600	 142.00 	0 	142.69 	0.69 	0 	-2 
8700	 141.56 	0 	142.35 	0.79 	0 	-2 
8800	 142.45 	0 	142.38 	0.07 	0 	-2 
8900	 142.36 	0 	142.38 	0.02 	0 	-2 
9000	 141.20 	0 	142.02 	0.82 	0 	-2 
9100	 141.56 	0 	141.88 	0.32 	0 	-2 
9200	 144.32 	0 	142.61 	1.71 	0 	-2 
9300	 143.60 	0 	142.91 	0.69 	0 	-2 
9400	 142.63 	0 	142.83 	0.20 	0 	-2 
9500	 142.00 	0 	142.58 	0.58 	0 	-2 
9600	 143.60 	0 	142.88 	0.72 	0 	-2 
9700	 141.47 	0 	142.46 	0.99 	0 	-2 
9800	 142.54 	1 	142.48 	0.06 	0 	-3 
9900	 150.46 	0 	144.88 	5.58 	0 	-2 
10000	 142.54 	0 	144.18 	1.64 	0 	-2 
10100	 142.80 	0 	143.76 	0.96 	0 	-2 
