#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	-2 
300	 -1.00 	0 	0.00 	1.00 	1 	-2 
400	 -1.00 	0 	0.00 	1.00 	1 	-2 
500	 -1.00 	0 	0.00 	1.00 	1 	-2 
600	 -1.00 	0 	0.00 	1.00 	2 	-2 
700	 -1.00 	0 	0.00 	1.00 	3 	-2 
800	 -1.00 	0 	0.00 	1.00 	4 	-2 
900	 -1.00 	0 	0.00 	1.00 	5 	-2 
1000	 170.30 	0 	51.09 	119.21 	5 	-2 
1100	 170.21 	0 	86.83 	83.38 	0 	-2 
1200	 168.97 	0 	111.47 	57.50 	0 	-2 
1300	 175.28 	0 	130.61 	44.67 	0 	-2 
1400	 172.17 	0 	143.08 	29.09 	0 	-2 
1500	 163.80 	0 	149.30 	14.50 	0 	-2 
1600	 168.52 	0 	155.06 	13.46 	0 	-2 
1700	 168.52 	0 	155.06 	13.46 	1 	-2 
1800	 167.19 	0 	158.70 	8.49 	0 	-2 
1900	 168.88 	0 	161.75 	7.13 	0 	-2 
2000	 167.90 	0 	163.60 	4.30 	0 	-2 
2100	 -1.00 	0 	163.60 	164.60 	0 	-2 
2200	 -1.00 	0 	163.60 	164.60 	0 	-2 
2300	 -1.00 	0 	163.60 	164.60 	1 	-2 
2400	 -1.00 	0 	163.60 	164.60 	2 	-2 
2500	 -1.00 	0 	163.60 	164.60 	3 	-2 
2600	 -1.00 	0 	163.60 	164.60 	4 	-2 
2700	 -1.00 	0 	163.60 	164.60 	5 	-2 
2800	 165.94 	0 	164.30 	1.64 	5 	-2 
2900	 166.74 	0 	165.03 	1.71 	0 	-2 
3000	 149.48 	0 	160.37 	10.89 	0 	-2 
3100	 168.16 	0 	162.70 	5.46 	0 	-2 
3200	 155.35 	0 	160.50 	5.15 	0 	-2 
3300	 170.12 	0 	163.38 	6.74 	0 	-2 
3400	 167.36 	0 	164.58 	2.78 	0 	-2 
3500	 149.66 	0 	160.10 	10.44 	0 	-2 
3600	 149.57 	0 	156.94 	7.37 	0 	-2 
3700	 150.19 	0 	154.92 	4.73 	0 	-2 
3800	 167.01 	0 	158.54 	8.47 	0 	-2 
3900	 167.45 	0 	161.22 	6.23 	0 	-2 
4000	 170.75 	0 	164.08 	6.67 	0 	-2 
4100	 169.23 	0 	165.62 	3.61 	0 	-2 
4200	 169.23 	0 	165.62 	3.61 	1 	-2 
4300	 165.67 	0 	165.64 	0.03 	0 	-2 
4400	 168.52 	0 	166.50 	2.02 	0 	-2 
4500	 169.14 	0 	167.29 	1.85 	0 	-2 
4600	 169.14 	0 	167.85 	1.29 	0 	-2 
4700	 166.92 	0 	167.57 	0.65 	0 	-2 
4800	 166.74 	0 	167.32 	0.58 	0 	-2 
4900	 165.76 	0 	166.85 	1.09 	0 	-2 
5000	 172.53 	0 	168.56 	3.97 	0 	-2 
5100	 170.39 	0 	169.11 	1.28 	0 	-2 
5200	 -1.00 	0 	169.11 	170.11 	0 	-2 
5300	 -1.00 	0 	169.11 	170.11 	0 	-2 
5400	 -1.00 	0 	169.11 	170.11 	1 	-2 
5500	 -1.00 	0 	169.11 	170.11 	2 	-2 
5600	 -1.00 	0 	169.11 	170.11 	3 	-2 
5700	 -1.00 	0 	169.11 	170.11 	4 	-2 
5800	 -1.00 	0 	169.11 	170.11 	5 	-2 
5900	 222.54 	0 	185.14 	37.40 	5 	-2 
6000	 168.08 	0 	180.02 	11.94 	5 	-2 
6100	 168.79 	0 	176.65 	7.86 	0 	-2 
6200	 167.72 	0 	173.97 	6.25 	0 	-2 
6300	 168.34 	0 	172.28 	3.94 	0 	-2 
6400	 169.14 	0 	171.34 	2.20 	0 	-2 
6500	 -1.00 	0 	171.34 	172.34 	0 	-2 
6600	 -1.00 	0 	171.34 	172.34 	0 	-2 
6700	 -1.00 	0 	171.34 	172.34 	1 	-2 
6800	 -1.00 	0 	171.34 	172.34 	2 	-2 
6900	 -1.00 	0 	171.34 	172.34 	3 	172.34 
7000	 -1.00 	0 	171.34 	172.34 	4 	172.34 
7100	 -1.00 	0 	171.34 	172.34 	5 	-2 
7200	 170.75 	0 	171.16 	0.41 	5 	-2 
7300	 170.12 	0 	170.85 	0.73 	0 	-2 
7400	 166.83 	0 	169.64 	2.81 	0 	-2 
7500	 167.19 	0 	168.91 	1.72 	0 	-2 
7600	 167.19 	0 	168.39 	1.20 	0 	-2 
7700	 169.32 	0 	168.67 	0.65 	0 	-2 
7800	 167.19 	0 	168.23 	1.04 	0 	-2 
7900	 150.81 	0 	163.00 	12.19 	0 	-2 
8000	 169.32 	0 	164.90 	4.42 	0 	-2 
8100	 172.61 	0 	167.21 	5.40 	0 	-2 
8200	 -1.00 	0 	167.21 	168.21 	0 	-2 
8300	 -1.00 	0 	167.21 	168.21 	0 	-2 
8400	 -1.00 	0 	167.21 	168.21 	1 	-2 
8500	 -1.00 	0 	167.21 	168.21 	2 	-2 
8600	 -1.00 	0 	167.21 	168.21 	3 	-2 
8700	 -1.00 	0 	167.21 	168.21 	4 	-2 
8800	 -1.00 	0 	167.21 	168.21 	5 	-2 
8900	 171.37 	0 	168.46 	2.91 	5 	-2 
9000	 167.45 	0 	168.16 	0.71 	0 	-2 
9100	 167.45 	0 	168.16 	0.71 	1 	-2 
9200	 167.45 	0 	168.16 	0.71 	2 	-2 
9300	 167.36 	0 	167.92 	0.56 	0 	-2 
9400	 155.62 	0 	164.23 	8.61 	0 	-2 
9500	 155.62 	0 	164.23 	8.61 	1 	-2 
9600	 149.57 	0 	159.83 	10.26 	0 	-2 
9700	 152.41 	0 	157.60 	5.19 	0 	-2 
9800	 166.83 	0 	160.37 	6.46 	0 	-2 
9900	 166.83 	0 	160.37 	6.46 	1 	-2 
10000	 166.92 	0 	162.34 	4.58 	0 	-2 
10100	 166.92 	0 	162.34 	4.58 	1 	-2 
