#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 18.67 	0 	5.60 	13.07 	0 	-2 
300	 17.42 	0 	9.15 	8.27 	0 	-2 
400	 17.06 	0 	11.52 	5.54 	0 	-2 
500	 -1.00 	0 	11.52 	12.52 	0 	-2 
600	 16.89 	0 	13.13 	3.76 	0 	-2 
700	 -1.00 	0 	13.13 	14.13 	0 	-2 
800	 16.26 	0 	14.07 	2.19 	0 	-2 
900	 16.26 	0 	14.73 	1.53 	0 	-2 
1000	 16.17 	0 	15.16 	1.01 	0 	-2 
1100	 16.17 	0 	15.46 	0.71 	0 	-2 
1200	 16.17 	0 	15.68 	0.49 	0 	-2 
1300	 16.00 	0 	15.77 	0.23 	0 	-2 
1400	 16.00 	0 	15.84 	0.16 	0 	-2 
1500	 16.08 	0 	15.91 	0.17 	0 	-2 
1600	 16.80 	0 	16.18 	0.62 	0 	-2 
1700	 16.00 	0 	16.13 	0.13 	0 	-2 
1800	 16.00 	0 	16.09 	0.09 	0 	-2 
1900	 16.17 	0 	16.11 	0.06 	0 	-2 
2000	 16.17 	0 	16.13 	0.04 	0 	-2 
2100	 16.26 	0 	16.17 	0.09 	0 	-2 
2200	 17.06 	0 	16.44 	0.62 	0 	-2 
2300	 16.89 	0 	16.57 	0.32 	0 	-2 
2400	 -1.00 	0 	16.57 	17.57 	0 	-2 
2500	 17.06 	0 	16.72 	0.34 	0 	-2 
2600	 -1.00 	0 	16.72 	17.72 	0 	-2 
2700	 -1.00 	0 	16.72 	17.72 	0 	-2 
2800	 17.15 	0 	16.85 	0.30 	0 	-2 
2900	 -1.00 	0 	16.85 	17.85 	0 	-2 
3000	 -1.00 	0 	16.85 	17.85 	0 	-2 
3100	 16.71 	0 	16.81 	0.10 	0 	-2 
3200	 16.44 	0 	16.70 	0.26 	0 	-2 
3300	 16.26 	0 	16.57 	0.31 	0 	-2 
3400	 -1.00 	0 	16.57 	17.57 	0 	-2 
3500	 16.89 	0 	16.66 	0.23 	0 	-2 
3600	 -1.00 	0 	16.66 	17.66 	0 	-2 
3700	 16.97 	0 	16.76 	0.21 	0 	-2 
3800	 16.26 	0 	16.61 	0.35 	0 	-2 
3900	 16.26 	0 	16.50 	0.24 	0 	-2 
4000	 16.35 	0 	16.46 	0.11 	0 	-2 
4100	 16.26 	0 	16.40 	0.14 	0 	-2 
4200	 -1.00 	0 	16.40 	17.40 	0 	-2 
4300	 -1.00 	0 	16.40 	17.40 	0 	-2 
4400	 16.17 	0 	16.33 	0.16 	0 	-2 
4500	 16.26 	0 	16.31 	0.05 	0 	-2 
4600	 16.35 	0 	16.32 	0.03 	0 	-2 
4700	 16.44 	0 	16.36 	0.08 	0 	-2 
4800	 16.80 	0 	16.49 	0.31 	0 	-2 
4900	 16.53 	0 	16.50 	0.03 	0 	-2 
5000	 -1.00 	0 	16.50 	17.50 	0 	-2 
5100	 -1.00 	0 	16.50 	17.50 	0 	-2 
5200	 16.80 	0 	16.59 	0.21 	0 	-2 
5300	 17.60 	0 	16.89 	0.71 	0 	-2 
5400	 16.89 	0 	16.89 	0.00 	0 	-2 
5500	 -1.00 	0 	16.89 	17.89 	0 	-2 
5600	 17.69 	0 	17.13 	0.56 	0 	-2 
5700	 17.95 	0 	17.38 	0.57 	0 	-2 
5800	 18.13 	0 	17.60 	0.53 	0 	-2 
5900	 17.51 	0 	17.58 	0.07 	0 	-2 
6000	 17.33 	0 	17.50 	0.17 	0 	-2 
6100	 17.15 	0 	17.40 	0.25 	0 	-2 
6200	 16.89 	0 	17.24 	0.35 	0 	-2 
6300	 16.80 	0 	17.11 	0.31 	0 	-2 
6400	 16.53 	0 	16.94 	0.41 	0 	-2 
6500	 16.35 	0 	16.76 	0.41 	0 	-2 
6600	 16.53 	0 	16.69 	0.16 	0 	-2 
6700	 16.26 	0 	16.56 	0.30 	0 	-2 
6800	 -1.00 	0 	16.56 	17.56 	0 	-2 
6900	 16.35 	1 	16.50 	0.15 	0 	-3 
7000	 16.26 	1 	16.43 	0.17 	0 	-3 
7100	 17.06 	0 	16.62 	0.44 	0 	-2 
7200	 -1.00 	0 	16.62 	17.62 	0 	-2 
7300	 17.33 	0 	16.83 	0.50 	0 	-2 
7400	 16.80 	0 	16.82 	0.02 	0 	-2 
7500	 16.80 	0 	16.82 	0.02 	0 	-2 
7600	 17.42 	0 	17.00 	0.42 	0 	-2 
7700	 16.71 	0 	16.91 	0.20 	0 	-2 
7800	 -1.00 	0 	16.91 	17.91 	0 	-2 
7900	 17.15 	0 	16.98 	0.17 	0 	-2 
8000	 16.35 	0 	16.79 	0.44 	0 	-2 
8100	 16.44 	0 	16.69 	0.25 	0 	-2 
8200	 16.17 	0 	16.53 	0.36 	0 	-2 
8300	 16.44 	0 	16.50 	0.06 	0 	-2 
8400	 16.26 	0 	16.43 	0.17 	0 	-2 
8500	 16.26 	0 	16.38 	0.12 	0 	-2 
8600	 16.26 	0 	16.34 	0.08 	0 	-2 
8700	 16.89 	0 	16.51 	0.38 	0 	-2 
8800	 16.35 	0 	16.46 	0.11 	0 	-2 
8900	 17.06 	0 	16.64 	0.42 	0 	-2 
9000	 -1.00 	0 	16.64 	17.64 	0 	-2 
9100	 17.15 	0 	16.79 	0.36 	0 	-2 
9200	 17.15 	0 	16.90 	0.25 	0 	-2 
9300	 16.80 	0 	16.87 	0.07 	0 	-2 
9400	 17.33 	0 	17.01 	0.32 	0 	-2 
9500	 16.53 	0 	16.86 	0.33 	0 	-2 
9600	 -1.00 	0 	16.86 	17.86 	0 	-2 
9700	 16.97 	0 	16.90 	0.07 	0 	-2 
9800	 16.35 	0 	16.73 	0.38 	0 	-2 
9900	 -1.00 	0 	16.73 	17.73 	0 	-2 
10000	 16.35 	0 	16.62 	0.27 	0 	-2 
10100	 16.35 	0 	16.54 	0.19 	0 	-2 
