#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	-2 
300	 -1.00 	0 	0.00 	1.00 	1 	-2 
400	 -1.00 	0 	0.00 	1.00 	2 	-2 
500	 -1.00 	0 	0.00 	1.00 	3 	-2 
600	 -1.00 	0 	0.00 	1.00 	4 	-2 
700	 -1.00 	0 	0.00 	1.00 	5 	-2 
800	 142.80 	0 	42.84 	99.96 	5 	-2 
900	 143.34 	0 	72.99 	70.35 	0 	-2 
1000	 143.96 	0 	94.28 	49.68 	0 	-2 
1100	 142.18 	0 	108.65 	33.53 	0 	-2 
1200	 142.09 	0 	118.68 	23.41 	0 	-2 
1300	 142.63 	0 	125.87 	16.76 	0 	-2 
1400	 141.91 	0 	130.68 	11.23 	0 	-2 
1500	 143.07 	0 	134.40 	8.67 	0 	-2 
1600	 141.29 	0 	136.46 	4.83 	0 	-2 
1700	 142.36 	0 	138.23 	4.13 	0 	-2 
1800	 142.00 	0 	139.36 	2.64 	0 	-2 
1900	 143.69 	0 	140.66 	3.03 	0 	-2 
2000	 142.71 	0 	141.28 	1.43 	0 	-2 
2100	 142.54 	0 	141.66 	0.88 	0 	-2 
2200	 142.89 	0 	142.03 	0.86 	0 	-2 
2300	 142.18 	0 	142.07 	0.11 	0 	-2 
2400	 142.63 	0 	142.24 	0.39 	0 	-2 
2500	 141.47 	0 	142.01 	0.54 	0 	-2 
2600	 142.89 	0 	142.27 	0.62 	0 	-2 
2700	 142.89 	0 	142.46 	0.43 	0 	-2 
2800	 142.00 	0 	142.32 	0.32 	0 	-2 
2900	 142.63 	0 	142.41 	0.22 	0 	-2 
3000	 142.80 	0 	142.53 	0.27 	0 	-2 
3100	 143.52 	0 	142.83 	0.69 	0 	-2 
3200	 142.00 	0 	142.58 	0.58 	0 	-2 
3300	 143.87 	0 	142.97 	0.90 	0 	-2 
3400	 144.32 	0 	143.37 	0.95 	0 	-2 
3500	 141.74 	0 	142.88 	1.14 	0 	-2 
3600	 143.96 	0 	143.21 	0.75 	0 	-2 
3700	 141.82 	0 	142.79 	0.97 	0 	-2 
3800	 142.63 	0 	142.74 	0.11 	0 	-2 
3900	 142.00 	0 	142.52 	0.52 	0 	-2 
4000	 142.89 	0 	142.63 	0.26 	0 	-2 
4100	 142.80 	0 	142.68 	0.12 	0 	-2 
4200	 143.16 	0 	142.82 	0.34 	0 	-2 
4300	 143.07 	0 	142.90 	0.17 	0 	-2 
4400	 140.93 	0 	142.31 	1.38 	0 	-2 
4500	 142.27 	0 	142.30 	0.03 	0 	-2 
4600	 143.52 	0 	142.66 	0.86 	0 	-2 
4700	 141.91 	0 	142.44 	0.53 	0 	-2 
4800	 142.00 	0 	142.31 	0.31 	0 	-2 
4900	 143.16 	0 	142.56 	0.60 	0 	-2 
5000	 144.76 	0 	143.22 	1.54 	0 	-2 
5100	 142.98 	0 	143.15 	0.17 	0 	-2 
5200	 141.91 	0 	142.78 	0.87 	0 	-2 
5300	 141.38 	0 	142.36 	0.98 	0 	-2 
5400	 143.52 	0 	142.71 	0.81 	0 	-2 
5500	 143.34 	0 	142.90 	0.44 	0 	-2 
5600	 142.27 	0 	142.71 	0.44 	0 	-2 
5700	 141.38 	0 	142.31 	0.93 	0 	-2 
5800	 141.29 	0 	142.00 	0.71 	0 	-2 
5900	 141.29 	0 	141.79 	0.50 	0 	-2 
6000	 142.45 	0 	141.99 	0.46 	0 	-2 
6100	 141.91 	0 	141.96 	0.05 	0 	-2 
6200	 142.09 	0 	142.00 	0.09 	0 	-2 
6300	 143.25 	0 	142.38 	0.87 	0 	-2 
6400	 143.43 	0 	142.69 	0.74 	0 	-2 
6500	 143.43 	0 	142.91 	0.52 	0 	-2 
6600	 143.43 	0 	143.07 	0.36 	0 	-2 
6700	 142.36 	0 	142.86 	0.50 	0 	-2 
6800	 143.96 	0 	143.19 	0.77 	0 	-2 
6900	 142.27 	1 	142.91 	0.64 	0 	-3 
7000	 143.52 	1 	143.09 	0.43 	0 	-3 
7100	 148.77 	0 	144.80 	3.97 	0 	-2 
7200	 142.89 	0 	144.22 	1.33 	0 	-2 
7300	 142.45 	0 	143.69 	1.24 	0 	-2 
7400	 142.89 	0 	143.45 	0.56 	0 	-2 
7500	 141.91 	0 	142.99 	1.08 	0 	-2 
7600	 142.36 	0 	142.80 	0.44 	0 	-2 
7700	 143.60 	0 	143.04 	0.56 	0 	-2 
7800	 144.23 	0 	143.40 	0.83 	0 	-2 
7900	 142.80 	0 	143.22 	0.42 	0 	-2 
8000	 141.91 	0 	142.83 	0.92 	0 	-2 
8100	 142.98 	0 	142.87 	0.11 	0 	-2 
8200	 143.07 	0 	142.93 	0.14 	0 	-2 
8300	 142.36 	0 	142.76 	0.40 	0 	-2 
8400	 143.69 	0 	143.04 	0.65 	0 	-2 
8500	 143.69 	0 	143.23 	0.46 	0 	-2 
8600	 142.54 	0 	143.03 	0.49 	0 	-2 
8700	 142.27 	0 	142.80 	0.53 	0 	-2 
8800	 143.16 	0 	142.91 	0.25 	0 	-2 
8900	 143.07 	0 	142.96 	0.11 	0 	-2 
9000	 144.58 	0 	143.44 	1.14 	0 	-2 
9100	 141.82 	0 	142.96 	1.14 	0 	-2 
9200	 141.20 	0 	142.43 	1.23 	0 	-2 
9300	 143.52 	0 	142.76 	0.76 	0 	-2 
9400	 142.54 	0 	142.69 	0.15 	0 	-2 
9500	 143.07 	0 	142.81 	0.26 	0 	-2 
9600	 143.43 	0 	142.99 	0.44 	0 	-2 
9700	 142.98 	0 	142.99 	0.01 	0 	-2 
9800	 142.71 	0 	142.91 	0.20 	0 	-2 
9900	 143.87 	0 	143.19 	0.68 	0 	-2 
10000	 144.85 	0 	143.69 	1.16 	0 	-2 
10100	 144.85 	0 	143.69 	1.16 	1 	-2 
