#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
200	 -1.89	 5.07	 -1.79	 -32.00	 26.00	 2.00
300	 -1.91	 5.06	 -1.79	 -18.00	 57.00	 -14.00
400	 -1.91	 5.06	 -1.79	 -18.00	 57.00	 -14.00
500	 -2.54	 4.41	 -1.52	 -28.00	 136.00	 -78.00
600	 -2.56	 4.36	 -1.48	 -23.00	 90.00	 -50.00
700	 -2.56	 4.36	 -1.48	 -23.00	 90.00	 -50.00
800	 -2.89	 2.90	 -0.33	 19.00	 147.00	 -75.00
900	 -2.89	 2.85	 -0.29	 -51.00	 184.00	 -58.00
1000	 -2.89	 2.85	 -0.29	 -51.00	 184.00	 -58.00
1100	 -3.25	 0.72	 1.05	 -42.00	 165.00	 -133.00
1200	 -3.30	 0.65	 1.12	 -27.00	 169.00	 -119.00
1300	 -3.30	 0.65	 1.12	 -27.00	 169.00	 -119.00
1400	 -3.88	 -1.34	 3.46	 -69.00	 181.00	 -161.00
1500	 -3.89	 -1.42	 3.54	 -146.00	 192.00	 -160.00
1600	 -3.89	 -1.42	 3.54	 -146.00	 192.00	 -160.00
1700	 -5.63	 -3.41	 6.30	 -277.00	 21.00	 -210.00
1800	 -5.76	 -3.44	 6.40	 -249.00	 32.00	 -224.00
1900	 -5.76	 -3.44	 6.40	 -249.00	 32.00	 -224.00
2000	 -10.09	 -2.76	 9.86	 -102.00	 49.00	 -131.00
2100	 -10.23	 -2.77	 9.96	 -7.00	 -48.00	 -77.00
2200	 -10.23	 -2.77	 9.96	 -7.00	 -48.00	 -77.00
2300	 -10.94	 -1.28	 11.88	 94.00	 -106.00	 2.00
2400	 -10.90	 -1.12	 11.91	 87.00	 17.00	 25.00
2500	 -10.90	 -1.12	 11.91	 87.00	 17.00	 25.00
2600	 -8.90	 0.80	 12.06	 125.00	 203.00	 -54.00
2700	 -8.80	 0.75	 12.07	 30.00	 152.00	 -72.00
2800	 -8.80	 0.75	 12.07	 30.00	 152.00	 -72.00
2900	 -6.94	 -0.99	 13.37	 -43.00	 165.00	 -106.00
3000	 -6.94	 -1.04	 13.44	 -12.00	 169.00	 -105.00
3100	 -6.94	 -1.04	 13.44	 -12.00	 169.00	 -105.00
3200	 -6.87	 -2.56	 15.43	 -54.00	 148.00	 -108.00
3300	 -6.85	 -2.63	 15.50	 -27.00	 150.00	 -103.00
3400	 -6.85	 -2.63	 15.50	 -27.00	 150.00	 -103.00
3500	 -6.89	 -4.15	 17.47	 -98.00	 250.00	 -124.00
3600	 -6.88	 -4.27	 17.53	 -138.00	 112.00	 -124.00
3700	 -6.88	 -4.27	 17.53	 -138.00	 112.00	 -124.00
3800	 -8.19	 -5.72	 19.43	 23.00	 -165.00	 -89.00
3900	 -8.22	 -5.62	 19.48	 21.00	 -85.00	 -64.00
4000	 -8.22	 -5.62	 19.48	 21.00	 -85.00	 -64.00
4100	 -7.58	 -2.09	 20.86	 3.00	 -25.00	 -64.00
4200	 -7.56	 -2.02	 20.90	 56.00	 -40.00	 -87.00
4300	 -7.56	 -2.02	 20.90	 56.00	 -40.00	 -87.00
4400	 -6.63	 0.21	 22.27	 -20.00	 -138.00	 -51.00
4500	 -6.60	 0.30	 22.30	 88.00	 -78.00	 -54.00
4600	 -6.60	 0.30	 22.30	 88.00	 -78.00	 -54.00
4700	 -5.31	 3.28	 23.21	 146.00	 179.00	 -2.00
4800	 -5.21	 3.30	 23.21	 162.00	 231.00	 -65.00
4900	 -5.21	 3.30	 23.21	 162.00	 231.00	 -65.00
5000	 -2.04	 1.20	 23.89	 78.00	 221.00	 -74.00
5100	 -1.94	 1.09	 23.94	 29.00	 210.00	 -133.00
5200	 -1.94	 1.09	 23.94	 29.00	 210.00	 -133.00
5300	 -0.65	 -1.25	 25.89	 -170.00	 112.00	 -155.00
5400	 -0.69	 -1.29	 25.97	 -162.00	 152.00	 -136.00
5500	 -0.69	 -1.29	 25.97	 -162.00	 152.00	 -136.00
5600	 -3.03	 -2.25	 28.49	 -390.00	 245.00	 -172.00
5700	 -3.15	 -2.31	 28.58	 -435.00	 265.00	 -129.00
5800	 -3.15	 -2.31	 28.58	 -435.00	 265.00	 -129.00
5900	 -9.37	 -5.02	 30.83	 -264.00	 238.00	 -104.00
6000	 -9.62	 -5.12	 30.88	 -44.00	 107.00	 -89.00
6100	 -9.62	 -5.12	 30.88	 -44.00	 107.00	 -89.00
6200	 -12.13	 -6.27	 32.48	 210.00	 -5.00	 -8.00
6300	 -12.02	 -6.17	 32.53	 156.00	 112.00	 -31.00
6400	 -12.02	 -6.17	 32.53	 156.00	 112.00	 -31.00
6500	 -8.27	 -5.21	 33.73	 106.00	 76.00	 -66.00
6600	 -8.22	 -5.22	 33.79	 124.00	 72.00	 -39.00
6700	 -8.22	 -5.22	 33.79	 124.00	 72.00	 -39.00
6800	 -5.82	 -5.02	 35.28	 -34.00	 165.00	 -60.00
6900	 -5.78	 -4.97	 35.33	 -12.00	 62.00	 -87.00
7000	 -5.78	 -4.97	 35.33	 -12.00	 62.00	 -87.00
7100	 -5.89	 -4.84	 36.85	 -39.00	 99.00	 -83.00
7200	 -5.89	 -4.83	 36.90	 -34.00	 76.00	 -92.00
7300	 -5.89	 -4.83	 36.90	 -34.00	 76.00	 -92.00
7400	 -6.02	 -4.91	 38.59	 -33.00	 92.00	 -87.00
7500	 -6.02	 -4.92	 38.65	 -33.00	 86.00	 -91.00
7600	 -6.02	 -4.92	 38.65	 -33.00	 86.00	 -91.00
7700	 -6.03	 -4.91	 40.37	 -44.00	 117.00	 -88.00
7800	 -6.04	 -4.88	 40.43	 -21.00	 69.00	 -87.00
7900	 -6.04	 -4.88	 40.43	 -21.00	 69.00	 -87.00
8000	 -6.01	 -4.88	 42.12	 -23.00	 69.00	 -87.00
8100	 -6.01	 -4.90	 42.17	 -43.00	 105.00	 -85.00
8200	 -6.01	 -4.90	 42.17	 -43.00	 105.00	 -85.00
8300	 -6.05	 -4.94	 43.81	 -37.00	 95.00	 -85.00
8400	 -6.05	 -4.93	 43.87	 -32.00	 84.00	 -85.00
8500	 -6.05	 -4.93	 43.87	 -32.00	 84.00	 -85.00
8600	 -6.05	 -4.95	 45.49	 -33.00	 87.00	 -85.00
8700	 -6.05	 -4.94	 45.55	 -34.00	 90.00	 -86.00
8800	 -6.05	 -4.94	 45.55	 -34.00	 90.00	 -86.00
8900	 -6.07	 -4.95	 47.17	 -34.00	 90.00	 -85.00
9000	 -6.07	 -4.95	 47.22	 -33.00	 87.00	 -86.00
9100	 -6.07	 -4.95	 47.22	 -33.00	 87.00	 -86.00
9200	 -6.08	 -4.95	 48.85	 -34.00	 86.00	 -85.00
9300	 -6.09	 -4.95	 48.90	 -34.00	 88.00	 -85.00
9400	 -6.09	 -4.95	 48.90	 -34.00	 88.00	 -85.00
9500	 -6.10	 -4.96	 50.52	 -33.00	 89.00	 -84.00
9600	 -6.09	 -4.96	 50.58	 -34.00	 88.00	 -85.00
9700	 -6.09	 -4.96	 50.58	 -34.00	 88.00	 -85.00
9800	 -6.10	 -4.96	 52.20	 -34.00	 86.00	 -85.00
9900	 -6.10	 -4.95	 52.26	 -34.00	 88.00	 -86.00
10000	 -6.10	 -4.95	 52.26	 -34.00	 88.00	 -86.00
10100	 -6.10	 -4.96	 53.88	 -34.00	 88.00	 -85.00
