#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	-2 
300	 -1.00 	0 	0.00 	1.00 	1 	-2 
400	 -1.00 	0 	0.00 	1.00 	2 	-2 
500	 -1.00 	0 	0.00 	1.00 	3 	-2 
600	 -1.00 	0 	0.00 	1.00 	4 	-2 
700	 -1.00 	0 	0.00 	1.00 	5 	-2 
800	 158.38 	0 	47.51 	110.87 	5 	-2 
900	 161.85 	0 	81.81 	80.04 	0 	-2 
1000	 161.67 	0 	105.77 	55.90 	0 	-2 
1100	 161.85 	0 	122.59 	39.26 	0 	-2 
1200	 161.67 	0 	134.32 	27.35 	0 	-2 
1300	 163.18 	0 	142.98 	20.20 	0 	-2 
1400	 161.58 	0 	148.56 	13.02 	0 	-2 
1500	 161.76 	0 	152.52 	9.24 	0 	-2 
1600	 163.09 	0 	155.69 	7.40 	0 	-2 
1700	 174.84 	0 	161.43 	13.41 	0 	-2 
1800	 165.05 	0 	162.52 	2.53 	0 	-2 
1900	 165.05 	0 	162.52 	2.53 	1 	-2 
2000	 166.12 	0 	163.60 	2.52 	0 	-2 
2100	 171.19 	0 	165.88 	5.31 	0 	-2 
2200	 180.98 	0 	170.41 	10.57 	0 	-2 
2300	 199.76 	0 	179.21 	20.55 	0 	-2 
2400	 180.53 	0 	179.61 	0.92 	0 	-2 
2500	 174.93 	0 	178.20 	3.27 	0 	-2 
2600	 176.35 	0 	177.65 	1.30 	0 	-2 
2700	 176.35 	0 	177.65 	1.30 	1 	-2 
2800	 163.36 	0 	173.36 	10.00 	0 	-2 
2900	 165.50 	0 	171.00 	5.50 	0 	-2 
3000	 180.18 	0 	173.76 	6.42 	0 	-2 
3100	 177.60 	0 	174.91 	2.69 	0 	-2 
3200	 173.68 	0 	174.54 	0.86 	0 	-2 
3300	 175.28 	0 	174.76 	0.52 	0 	-2 
3400	 161.13 	0 	170.67 	9.54 	0 	-2 
3500	 164.69 	0 	168.88 	4.19 	0 	-2 
3600	 160.69 	0 	166.42 	5.73 	0 	-2 
3700	 162.56 	0 	165.26 	2.70 	0 	-2 
3800	 162.56 	0 	164.45 	1.89 	0 	-2 
3900	 164.61 	0 	164.50 	0.11 	0 	-2 
4000	 178.93 	0 	168.83 	10.10 	0 	-2 
4100	 176.35 	0 	171.09 	5.26 	0 	-2 
4200	 173.59 	0 	171.84 	1.75 	0 	-2 
4300	 167.19 	0 	170.44 	3.25 	0 	-2 
4400	 179.02 	0 	173.02 	6.00 	0 	-2 
4500	 168.25 	0 	171.59 	3.34 	0 	-2 
4600	 167.19 	0 	170.27 	3.08 	0 	-2 
4700	 167.27 	0 	169.37 	2.10 	0 	-2 
4800	 165.94 	0 	168.34 	2.40 	0 	-2 
4900	 165.14 	0 	167.38 	2.24 	0 	-2 
5000	 174.48 	0 	169.51 	4.97 	0 	-2 
5100	 174.48 	0 	169.51 	4.97 	1 	-2 
5200	 174.48 	0 	169.51 	4.97 	2 	-2 
5300	 174.48 	0 	169.51 	4.97 	3 	-2 
5400	 174.48 	0 	169.51 	4.97 	4 	-2 
5500	 174.48 	0 	169.51 	4.97 	5 	-2 
5600	 139.78 	0 	160.59 	20.81 	5 	-2 
5700	 140.40 	0 	154.53 	14.13 	0 	-2 
5800	 140.40 	0 	154.53 	14.13 	1 	-2 
5900	 140.40 	0 	154.53 	14.13 	2 	-2 
6000	 140.40 	0 	154.53 	14.13 	3 	-2 
6100	 140.40 	0 	154.53 	14.13 	4 	-2 
6200	 140.40 	0 	154.53 	14.13 	5 	-2 
6300	 162.56 	0 	156.94 	5.62 	5 	-2 
6400	 163.36 	0 	158.87 	4.49 	0 	-2 
6500	 163.98 	0 	160.40 	3.58 	0 	-2 
6600	 166.92 	0 	162.36 	4.56 	0 	-2 
6700	 162.91 	0 	162.52 	0.39 	0 	-2 
6800	 161.67 	0 	162.27 	0.60 	0 	-2 
6900	 161.58 	0 	162.06 	0.48 	0 	-2 
7000	 161.49 	0 	161.89 	0.40 	0 	-2 
7100	 160.42 	0 	161.45 	1.03 	0 	-2 
7200	 160.51 	0 	161.17 	0.66 	0 	-2 
7300	 160.60 	0 	161.00 	0.40 	0 	-2 
7400	 160.87 	0 	160.96 	0.09 	0 	-2 
7500	 160.42 	0 	160.80 	0.38 	0 	-2 
7600	 164.25 	0 	161.83 	2.42 	0 	-2 
7700	 162.11 	0 	161.92 	0.19 	0 	-2 
7800	 161.05 	0 	161.66 	0.61 	0 	-2 
7900	 160.51 	0 	161.31 	0.80 	0 	-2 
8000	 162.29 	0 	161.61 	0.68 	0 	-2 
8100	 161.58 	0 	161.60 	0.02 	0 	-2 
8200	 163.72 	0 	162.23 	1.49 	0 	-2 
8300	 161.67 	0 	162.07 	0.40 	0 	-2 
8400	 164.69 	0 	162.85 	1.84 	0 	-2 
8500	 160.42 	0 	162.12 	1.70 	0 	-2 
8600	 160.87 	0 	161.75 	0.88 	0 	-2 
8700	 164.52 	0 	162.58 	1.94 	0 	-2 
8800	 160.87 	0 	162.07 	1.20 	0 	-2 
8900	 160.96 	0 	161.73 	0.77 	0 	-2 
9000	 161.94 	0 	161.80 	0.14 	0 	-2 
9100	 160.60 	0 	161.44 	0.84 	0 	-2 
9200	 160.60 	0 	161.19 	0.59 	0 	-2 
9300	 161.76 	0 	161.36 	0.40 	0 	-2 
9400	 165.14 	0 	162.49 	2.65 	0 	-2 
9500	 161.76 	0 	162.27 	0.51 	0 	-2 
9600	 161.22 	0 	161.96 	0.74 	0 	-2 
9700	 163.63 	0 	162.46 	1.17 	0 	-2 
9800	 160.60 	0 	161.90 	1.30 	0 	-2 
9900	 161.76 	0 	161.86 	0.10 	0 	-2 
10000	 160.96 	0 	161.59 	0.63 	0 	-2 
10100	 163.18 	0 	162.07 	1.11 	0 	-2 
