#Time(ms)	 Value 	 Validity 	 avgValue 	 Diff 	 Outliers 	 invalidReason 
200	 -1.00 	0 	0.00 	1.00 	0 	-2 
300	 -1.00 	0 	0.00 	1.00 	1 	-2 
400	 -1.00 	0 	0.00 	1.00 	2 	-2 
500	 -1.00 	0 	0.00 	1.00 	3 	-2 
600	 -1.00 	0 	0.00 	1.00 	4 	-2 
700	 -1.00 	0 	0.00 	1.00 	5 	-2 
800	 149.30 	0 	44.79 	104.51 	5 	-2 
900	 148.32 	0 	75.85 	72.47 	0 	-2 
1000	 147.70 	0 	97.40 	50.30 	0 	-2 
1100	 147.25 	0 	112.36 	34.89 	0 	-2 
1200	 149.30 	0 	123.44 	25.86 	0 	-2 
1300	 147.70 	0 	130.72 	16.98 	0 	-2 
1400	 149.12 	0 	136.24 	12.88 	0 	-2 
1500	 148.59 	0 	139.94 	8.65 	0 	-2 
1600	 147.79 	0 	142.30 	5.49 	0 	-2 
1700	 148.14 	0 	144.05 	4.09 	0 	-2 
1800	 148.05 	0 	145.25 	2.80 	0 	-2 
1900	 149.39 	0 	146.49 	2.90 	0 	-2 
2000	 148.05 	0 	146.96 	1.09 	0 	-2 
2100	 148.05 	0 	147.29 	0.76 	0 	-2 
2200	 148.59 	0 	147.68 	0.91 	0 	-2 
2300	 148.59 	0 	147.95 	0.64 	0 	-2 
2400	 148.05 	0 	147.98 	0.07 	0 	-2 
2500	 148.68 	0 	148.19 	0.49 	0 	-2 
2600	 147.96 	0 	148.12 	0.16 	0 	-2 
2700	 148.85 	0 	148.34 	0.51 	0 	-2 
2800	 147.25 	0 	148.01 	0.76 	0 	-2 
2900	 149.83 	0 	148.56 	1.27 	0 	-2 
3000	 148.41 	0 	148.51 	0.10 	0 	-2 
3100	 149.83 	0 	148.91 	0.92 	0 	-2 
3200	 147.52 	0 	148.49 	0.97 	0 	-2 
3300	 149.30 	0 	148.73 	0.57 	0 	-2 
3400	 147.34 	0 	148.32 	0.98 	0 	-2 
3500	 147.16 	0 	147.97 	0.81 	0 	-2 
3600	 147.70 	0 	147.89 	0.19 	0 	-2 
3700	 147.16 	0 	147.67 	0.51 	0 	-2 
3800	 146.99 	0 	147.47 	0.48 	0 	-2 
3900	 147.96 	0 	147.61 	0.35 	0 	-2 
4000	 149.83 	0 	148.28 	1.55 	0 	-2 
4100	 148.32 	0 	148.29 	0.03 	0 	-2 
4200	 149.39 	0 	148.62 	0.77 	0 	-2 
4300	 148.50 	0 	148.58 	0.08 	0 	-2 
4400	 147.79 	0 	148.35 	0.56 	0 	-2 
4500	 148.14 	0 	148.28 	0.14 	0 	-2 
4600	 148.50 	0 	148.35 	0.15 	0 	-2 
4700	 148.50 	0 	148.39 	0.11 	0 	-2 
4800	 149.12 	0 	148.61 	0.51 	0 	-2 
4900	 147.61 	0 	148.31 	0.70 	0 	-2 
5000	 148.94 	0 	148.50 	0.44 	0 	-2 
5100	 151.17 	0 	149.30 	1.87 	0 	-2 
5200	 148.94 	0 	149.19 	0.25 	0 	-2 
5300	 149.21 	0 	149.20 	0.01 	0 	-2 
5400	 147.96 	0 	148.83 	0.87 	0 	-2 
5500	 151.79 	0 	149.72 	2.07 	0 	-2 
5600	 149.48 	0 	149.64 	0.16 	0 	-2 
5700	 148.14 	0 	149.19 	1.05 	0 	-2 
5800	 148.32 	0 	148.93 	0.61 	0 	-2 
5900	 148.32 	0 	148.75 	0.43 	0 	-2 
6000	 148.50 	0 	148.67 	0.17 	0 	-2 
6100	 147.34 	0 	148.27 	0.93 	0 	-2 
6200	 146.81 	0 	147.83 	1.02 	0 	-2 
6300	 148.68 	0 	148.09 	0.59 	0 	-2 
6400	 147.43 	0 	147.89 	0.46 	0 	-2 
6500	 147.34 	0 	147.73 	0.39 	0 	-2 
6600	 148.23 	0 	147.88 	0.35 	0 	-2 
6700	 149.30 	0 	148.30 	1.00 	0 	-2 
6800	 147.88 	0 	148.18 	0.30 	0 	-2 
6900	 149.12 	0 	148.46 	0.66 	0 	-2 
7000	 148.77 	0 	148.55 	0.22 	0 	-2 
7100	 147.79 	0 	148.32 	0.53 	0 	-2 
7200	 147.79 	0 	148.16 	0.37 	0 	-2 
7300	 148.94 	0 	148.40 	0.54 	0 	-2 
7400	 149.30 	0 	148.67 	0.63 	0 	-2 
7500	 149.30 	0 	148.86 	0.44 	0 	-2 
7600	 148.68 	0 	148.80 	0.12 	0 	-2 
7700	 149.30 	0 	148.95 	0.35 	0 	-2 
7800	 148.94 	0 	148.95 	0.01 	0 	-2 
7900	 148.32 	0 	148.76 	0.44 	0 	-2 
8000	 148.41 	0 	148.66 	0.25 	0 	-2 
8100	 147.88 	0 	148.42 	0.54 	0 	-2 
8200	 148.68 	0 	148.50 	0.18 	0 	-2 
8300	 147.70 	0 	148.26 	0.56 	0 	-2 
8400	 148.68 	0 	148.39 	0.29 	0 	-2 
8500	 148.41 	0 	148.39 	0.02 	0 	-2 
8600	 147.61 	0 	148.16 	0.55 	0 	-2 
8700	 148.32 	0 	148.21 	0.11 	0 	-2 
8800	 147.25 	0 	147.92 	0.67 	0 	-2 
8900	 148.05 	0 	147.96 	0.09 	0 	-2 
9000	 149.21 	0 	148.33 	0.88 	0 	-2 
9100	 147.25 	0 	148.01 	0.76 	0 	-2 
9200	 147.79 	0 	147.94 	0.15 	0 	-2 
9300	 147.25 	0 	147.74 	0.49 	0 	-2 
9400	 147.79 	0 	147.75 	0.04 	0 	-2 
9500	 148.94 	0 	148.11 	0.83 	0 	-2 
9600	 149.21 	0 	148.44 	0.77 	0 	-2 
9700	 147.52 	0 	148.16 	0.64 	0 	-2 
9800	 147.79 	0 	148.05 	0.26 	0 	-2 
9900	 148.32 	0 	148.13 	0.19 	0 	-2 
10000	 148.59 	0 	148.27 	0.32 	0 	-2 
10100	 149.21 	0 	148.55 	0.66 	0 	-2 
